"","単語","品詞名","文字数","出現数"
"1","my","PP$",2,1
"2","fellow","JJ",6,1
"3","citizens","NNS",8,1
"4",":","SENT",1,1
"5","when","WRB",4,2
"6","we","PP",2,2
"7","assembled","VBD",9,2
"8","here","RB",4,2
"9","on","IN",2,2
"10","the","DT",3,2
"11","4","CD",1,2
"12","th","NN",2,2
"13","of","IN",2,2
"14","march","NN",5,2
"15","1897","CD",4,2
"16","there","EX",5,2
"17","was","VBD",3,2
"18","great","JJ",5,2
"19","anxiety","NN",7,2
"20","with","IN",4,2
"21","regard","NN",6,2
"22","to","TO",2,2
"23","our","PP$",3,2
"24","currency","NN",8,2
"25","and","CC",3,2
"26","credit","NN",6,2
"27","none","NN",4,2
"28","exists","VBZ",6,2
"29","now","RB",3,2
"30","then","RB",4,2
"31","our","PP$",3,2
"32","treasury","NN",8,2
"33","receipts","NNS",8,2
"34","were","VBD",4,2
"35","inadequate","JJ",10,2
"36","to","TO",2,2
"37","meet","VB",4,2
"38","the","DT",3,2
"39","current","JJ",7,2
"40","obligations","NNS",11,2
"41","of","IN",2,2
"42","the","DT",3,2
"43","government","NN",10,2
"44","now","RB",3,2
"45","they","PP",4,2
"46","are","VBP",3,2
"47","sufficient","JJ",10,2
"48","for","IN",3,2
"49","all","DT",3,2
"50","public","JJ",6,2
"51","needs","NNS",5,2
"52","and","CC",3,2
"53","we","PP",2,2
"54","have","VBP",4,2
"55","a","DT",1,2
"56","surplus","NN",7,2
"57","instead","RB",7,2
"58","of","IN",2,2
"59","a","DT",1,2
"60","deficit","NN",7,2
"61","then","RB",4,2
"62","i","NP",1,2
"63","felt","VBD",4,2
"64","constrained","VBN",11,2
"65","to","TO",2,2
"66","convene","VB",7,2
"67","the","DT",3,2
"68","congress","NN",8,2
"69","in","IN",2,2
"70","extraordinary","JJ",13,2
"71","session","NN",7,2
"72","to","TO",2,2
"73","devise","VB",6,2
"74","revenues","NNS",8,2
"75","to","TO",2,2
"76","pay","VB",3,2
"77","the","DT",3,2
"78","ordinary","JJ",8,2
"79","expenses","NNS",8,2
"80","of","IN",2,2
"81","the","DT",3,2
"82","government","NN",10,2
"83","now","IN",3,2
"84","i","NP",1,2
"85","have","VBP",4,2
"86","the","DT",3,2
"87","satisfaction","NN",12,2
"88","to","TO",2,2
"89","announce","VB",8,2
"90","that","IN",4,2
"91","the","DT",3,2
"92","congress","NN",8,2
"93","just","RB",4,2
"94","closed","JJ",6,2
"95","has","VBZ",3,2
"96","reduced","VBN",7,2
"97","taxation","NN",8,2
"98","in","IN",2,2
"99","the","DT",3,2
"100","sum","NN",3,2
"101","of","IN",2,2
"102","$","$",1,2
"103","41","CD",2,2
"104","000","CD",3,2
"105","000","CD",3,2
"106","then","RB",4,2
"107","there","EX",5,2
"108","was","VBD",3,2
"109","deep","JJ",4,2
"110","solicitude","NN",10,2
"111","because","IN",7,2
"112","of","IN",2,2
"113","the","DT",3,2
"114","long","JJ",4,2
"115","depression","NN",10,2
"116","in","IN",2,2
"117","our","PP$",3,2
"118","manufacturing","NN",13,2
"119","mining","NN",6,2
"120","agricultural","JJ",12,2
"121","and","CC",3,2
"122","mercantile","JJ",10,2
"123","industries","NNS",10,2
"124","and","CC",3,2
"125","the","DT",3,2
"126","consequent","JJ",10,2
"127","distress","NN",8,2
"128","of","IN",2,2
"129","our","PP$",3,2
"130","laboring","VBG",8,2
"131","population","NN",10,2
"132","now","RB",3,2
"133","every","DT",5,2
"134","avenue","NN",6,2
"135","of","IN",2,2
"136","production","NN",10,2
"137","is","VBZ",2,2
"138","crowded","VBN",7,2
"139","with","IN",4,2
"140","activity","NN",8,2
"141","labor","NN",5,2
"142","is","VBZ",2,2
"143","well","RB",4,2
"144","employed","VBN",8,2
"145","and","CC",3,2
"146","american","JJ",8,2
"147","products","NNS",8,2
"148","find","VBP",4,2
"149","good","JJ",4,2
"150","markets","NNS",7,2
"151","at","IN",2,2
"152","home","NN",4,2
"153","and","CC",3,2
"154","abroad","RB",6,2
"155","our","PP$",3,2
"156","diversified","JJ",11,2
"157","productions","NNS",11,2
"158","however","RB",7,2
"159","are","VBP",3,2
"160","increasing","VBG",10,2
"161","in","IN",2,2
"162","such","JJ",4,2
"163","unprecedented","JJ",13,2
"164","volume","NN",6,2
"165","as","RB",2,2
"166","to","TO",2,2
"167","admonish","VB",8,2
"168","us","PP",2,2
"169","of","IN",2,2
"170","the","DT",3,2
"171","necessity","NN",9,2
"172","of","IN",2,2
"173","still","RB",5,2
"174","further","RBR",7,2
"175","enlarging","VBG",9,2
"176","our","PP$",3,2
"177","foreign","JJ",7,2
"178","markets","NNS",7,2
"179","by","IN",2,2
"180","broader","JJR",7,2
"181","commercial","JJ",10,2
"182","relations","NNS",9,2
"183","for","IN",3,2
"184","this","DT",4,2
"185","purpose","NN",7,2
"186","reciprocal","JJ",10,2
"187","trade","NN",5,2
"188","arrangements","NNS",12,2
"189","with","IN",4,2
"190","other","JJ",5,2
"191","nations","NNS",7,2
"192","should","MD",6,2
"193","in","IN",2,2
"194","liberal","JJ",7,2
"195","spirit","NN",6,2
"196","be","VB",2,2
"197","carefully","RB",9,2
"198","cultivated","VBN",10,2
"199","and","CC",3,2
"200","promoted","VBN",8,2
"201","the","DT",3,2
"202","national","JJ",8,2
"203","verdict","NN",7,2
"204","of","IN",2,2
"205","1896","CD",4,2
"206","has","VBZ",3,2
"207","for","IN",3,2
"208","the","DT",3,2
"209","most","JJS",4,2
"210","part","NN",4,2
"211","been","VBN",4,2
"212","executed","VBN",8,2
"213","whatever","WDT",8,2
"214","remains","VBZ",7,2
"215","unfulfilled","JJ",11,2
"216","is","VBZ",2,2
"217","a","DT",1,2
"218","continuing","VBG",10,2
"219","obligation","NN",10,2
"220","resting","VBG",7,2
"221","with","IN",4,2
"222","undiminished","JJ",12,2
"223","force","NN",5,2
"224","upon","IN",4,2
"225","the","DT",3,2
"226","executive","NN",9,2
"227","and","CC",3,2
"228","the","DT",3,2
"229","congress","NN",8,2
"230","but","CC",3,2
"231","fortunate","JJ",9,2
"232","as","IN",2,2
"233","our","PP$",3,2
"234","condition","NN",9,2
"235","is","VBZ",2,2
"236","its","PP$",3,2
"237","permanence","NN",10,2
"238","can","MD",3,2
"239","only","RB",4,2
"240","be","VB",2,2
"241","assured","VBN",7,2
"242","by","IN",2,2
"243","sound","JJ",5,2
"244","business","NN",8,2
"245","methods","NNS",7,2
"246","and","CC",3,2
"247","strict","JJ",6,2
"248","economy","NN",7,2
"249","in","IN",2,2
"250","national","JJ",8,2
"251","administration","NN",14,2
"252","and","CC",3,2
"253","legislation","NN",11,2
"254","we","PP",2,2
"255","should","MD",6,2
"256","not","RB",3,2
"257","permit","VB",6,2
"258","our","PP$",3,2
"259","great","JJ",5,2
"260","prosperity","NN",10,2
"261","to","TO",2,2
"262","lead","VB",4,2
"263","us","PP",2,2
"264","to","TO",2,2
"265","reckless","JJ",8,2
"266","ventures","NNS",8,2
"267","in","IN",2,2
"268","business","NN",8,2
"269","or","CC",2,2
"270","profligacy","NN",10,2
"271","in","IN",2,2
"272","public","JJ",6,2
"273","expenditures","NNS",12,2
"274","while","IN",5,2
"275","the","DT",3,2
"276","congress","NN",8,2
"277","determines","VBZ",10,2
"278","the","DT",3,2
"279","objects","NNS",7,2
"280","and","CC",3,2
"281","the","DT",3,2
"282","sum","NN",3,2
"283","of","IN",2,2
"284","appropriations","NNS",14,2
"285","the","DT",3,2
"286","officials","NNS",9,2
"287","of","IN",2,2
"288","the","DT",3,2
"289","executive","JJ",9,2
"290","departments","NNS",11,2
"291","are","VBP",3,2
"292","responsible","JJ",11,2
"293","for","IN",3,2
"294","honest","JJ",6,2
"295","and","CC",3,2
"296","faithful","JJ",8,2
"297","disbursement","NN",12,2
"298","and","CC",3,2
"299","it","PP",2,2
"300","should","MD",6,2
"301","be","VB",2,2
"302","their","PP$",5,2
"303","constant","JJ",8,2
"304","care","NN",4,2
"305","to","TO",2,2
"306","avoid","VB",5,2
"307","waste","NN",5,2
"308","and","CC",3,2
"309","extravagance","NN",12,2
"310","honesty","NN",7,2
"311","capacity","NN",8,2
"312","and","CC",3,2
"313","industry","NN",8,2
"314","are","VBP",3,2
"315","nowhere","RB",7,2
"316","more","RBR",4,2
"317","indispensable","JJ",13,2
"318","than","IN",4,2
"319","in","IN",2,2
"320","public","JJ",6,2
"321","employment","NN",10,2
"322","these","DT",5,2
"323","should","MD",6,2
"324","be","VB",2,2
"325","fundamental","JJ",11,2
"326","requisites","NNS",10,2
"327","to","TO",2,2
"328","original","JJ",8,2
"329","appointment","NN",11,2
"330","and","CC",3,2
"331","the","DT",3,2
"332","surest","JJS",6,2
"333","guaranties","NNS",10,2
"334","against","IN",7,2
"335","removal","NN",7,2
"336","four","CD",4,2
"337","years","NNS",5,2
"338","ago","RB",3,2
"339","we","PP",2,2
"340","stood","VBD",5,2
"341","on","IN",2,2
"342","the","DT",3,2
"343","brink","NN",5,2
"344","of","IN",2,2
"345","war","NN",3,2
"346","without","IN",7,2
"347","the","DT",3,2
"348","people","NNS",6,2
"349","knowing","VBG",7,2
"350","it","PP",2,2
"351","and","CC",3,2
"352","without","IN",7,2
"353","any","DT",3,2
"354","preparation","NN",11,2
"355","or","CC",2,2
"356","effort","NN",6,2
"357","at","IN",2,2
"358","preparation","NN",11,2
"359","for","IN",3,2
"360","the","DT",3,2
"361","impending","JJ",9,2
"362","peril","NN",5,2
"363","i","NP",1,2
"364","did","VBD",3,2
"365","all","RB",3,2
"366","that","IN",4,2
"367","in","IN",2,2
"368","honor","NN",5,2
"369","could","MD",5,2
"370","be","VB",2,2
"371","done","VBN",4,2
"372","to","TO",2,2
"373","avert","VB",5,2
"374","the","DT",3,2
"375","war","NN",3,2
"376","but","CC",3,2
"377","without","IN",7,2
"378","avail","NN",5,2
"379","it","PP",2,2
"380","became","VBD",6,2
"381","inevitable","JJ",10,2
"382",";","SENT",1,2
"383","and","CC",3,3
"384","the","DT",3,3
"385","congress","NN",8,3
"386","at","IN",2,3
"387","its","PP$",3,3
"388","first","JJ",5,3
"389","regular","JJ",7,3
"390","session","NN",7,3
"391","without","IN",7,3
"392","party","NN",5,3
"393","division","NN",8,3
"394","provided","VBD",8,3
"395","money","NN",5,3
"396","in","IN",2,3
"397","anticipation","NN",12,3
"398","of","IN",2,3
"399","the","DT",3,3
"400","crisis","NN",6,3
"401","and","CC",3,3
"402","in","IN",2,3
"403","preparation","NN",11,3
"404","to","TO",2,3
"405","meet","VB",4,3
"406","it","PP",2,3
"407","it","PP",2,3
"408","came","VBD",4,3
"409","the","DT",3,3
"410","result","NN",6,3
"411","was","VBD",3,3
"412","signally","RB",8,3
"413","favorable","JJ",9,3
"414","to","TO",2,3
"415","american","JJ",8,3
"416","arms","NNS",4,3
"417","and","CC",3,3
"418","in","IN",2,3
"419","the","DT",3,3
"420","highest","JJS",7,3
"421","degree","NN",6,3
"422","honorable","JJ",9,3
"423","to","TO",2,3
"424","the","DT",3,3
"425","government","NN",10,3
"426","it","PP",2,3
"427","imposed","VBD",7,3
"428","upon","IN",4,3
"429","us","PP",2,3
"430","obligations","NNS",11,3
"431","from","IN",4,3
"432","which","WDT",5,3
"433","we","PP",2,3
"434","cannot","MD",6,3
"435","escape","VB",6,3
"436","and","CC",3,3
"437","from","IN",4,3
"438","which","WDT",5,3
"439","it","PP",2,3
"440","would","MD",5,3
"441","be","VB",2,3
"442","dishonorable","JJ",12,3
"443","to","TO",2,3
"444","seek","VB",4,3
"445","escape","VB",6,3
"446","we","PP",2,3
"447","are","VBP",3,3
"448","now","RB",3,3
"449","at","IN",2,3
"450","peace","NN",5,3
"451","with","IN",4,3
"452","the","DT",3,3
"453","world","NN",5,3
"454","and","CC",3,3
"455","it","PP",2,3
"456","is","VBZ",2,3
"457","my","PP$",2,3
"458","fervent","JJ",7,3
"459","prayer","NN",6,3
"460","that","IN",4,3
"461","if","IN",2,3
"462","differences","NNS",11,3
"463","arise","VBP",5,3
"464","between","IN",7,3
"465","us","PP",2,3
"466","and","CC",3,3
"467","other","JJ",5,3
"468","powers","NNS",6,3
"469","they","PP",4,3
"470","may","MD",3,3
"471","be","VB",2,3
"472","settled","VBN",7,3
"473","by","IN",2,3
"474","peaceful","JJ",8,3
"475","arbitration","NN",11,3
"476","and","CC",3,3
"477","that","IN",4,3
"478","hereafter","RB",9,3
"479","we","PP",2,3
"480","may","MD",3,3
"481","be","VB",2,3
"482","spared","VBN",6,3
"483","the","DT",3,3
"484","horrors","NNS",7,3
"485","of","IN",2,3
"486","war","NN",3,3
"487","intrusted","VBN",9,3
"488","by","IN",2,3
"489","the","DT",3,3
"490","people","NNS",6,3
"491","for","IN",3,3
"492","a","DT",1,3
"493","second","JJ",6,3
"494","time","NN",4,3
"495","with","IN",4,3
"496","the","DT",3,3
"497","office","NN",6,3
"498","of","IN",2,3
"499","president","NN",9,3
"500","i","NNS",1,3
"501","enter","VBP",5,3
"502","upon","IN",4,3
"503","its","PP$",3,3
"504","administration","NN",14,3
"505","appreciating","VBG",12,3
"506","the","DT",3,3
"507","great","JJ",5,3
"508","responsibilities","NNS",16,3
"509","which","WDT",5,3
"510","attach","VBP",6,3
"511","to","TO",2,3
"512","this","DT",4,3
"513","renewed","JJ",7,3
"514","honor","NN",5,3
"515","and","CC",3,3
"516","commission","NN",10,3
"517","promising","VBG",9,3
"518","unreserved","JJ",10,3
"519","devotion","NN",8,3
"520","on","IN",2,3
"521","my","PP$",2,3
"522","part","NN",4,3
"523","to","TO",2,3
"524","their","PP$",5,3
"525","faithful","JJ",8,3
"526","discharge","NN",9,3
"527","and","CC",3,3
"528","reverently","RB",10,3
"529","invoking","VBG",8,3
"530","for","IN",3,3
"531","my","PP$",2,3
"532","guidance","NN",8,3
"533","the","DT",3,3
"534","direction","NN",9,3
"535","and","CC",3,3
"536","favor","NN",5,3
"537","of","IN",2,3
"538","almighty","JJ",8,3
"539","god","NN",3,3
"540","i","NP",1,3
"541","should","MD",6,3
"542","shrink","VB",6,3
"543","from","IN",4,3
"544","the","DT",3,3
"545","duties","NNS",6,3
"546","this","DT",4,3
"547","day","NN",3,3
"548","assumed","VBN",7,3
"549","if","IN",2,3
"550","i","NP",1,3
"551","did","VBD",3,3
"552","not","RB",3,3
"553","feel","VB",4,3
"554","that","IN",4,3
"555","in","IN",2,3
"556","their","PP$",5,3
"557","performance","NN",11,3
"558","i","NP",1,3
"559","should","MD",6,3
"560","have","VB",4,3
"561","the","DT",3,3
"562","co","NN",2,3
"563","operation","NN",9,3
"564","of","IN",2,3
"565","the","DT",3,3
"566","wise","JJ",4,3
"567","and","CC",3,3
"568","patriotic","JJ",9,3
"569","men","NNS",3,3
"570","of","IN",2,3
"571","all","DT",3,3
"572","parties","NNS",7,3
"573","it","PP",2,3
"574","encourages","VBZ",10,3
"575","me","PP",2,3
"576","for","IN",3,3
"577","the","DT",3,3
"578","great","JJ",5,3
"579","task","NN",4,3
"580","which","WDT",5,3
"581","i","NP",1,3
"582","now","RB",3,3
"583","undertake","VB",9,3
"584","to","TO",2,3
"585","believe","VB",7,3
"586","that","IN",4,3
"587","those","DT",5,3
"588","who","WP",3,3
"589","voluntarily","RB",11,3
"590","committed","VBD",9,3
"591","to","TO",2,3
"592","me","PP",2,3
"593","the","DT",3,3
"594","trust","NN",5,3
"595","imposed","VBN",7,3
"596","upon","IN",4,3
"597","the","DT",3,3
"598","chief","JJ",5,3
"599","executive","NN",9,3
"600","of","IN",2,3
"601","the","DT",3,3
"602","republic","NN",8,3
"603","will","MD",4,3
"604","give","VB",4,3
"605","to","TO",2,3
"606","me","PP",2,3
"607","generous","JJ",8,3
"608","support","NN",7,3
"609","in","IN",2,3
"610","my","PP$",2,3
"611","duties","NNS",6,3
"612","to","TO",2,3
"613","""","``",1,3
"614","preserve","VB",8,3
"615","protect","VB",7,3
"616","and","CC",3,3
"617","defend","VB",6,3
"618","the","DT",3,3
"619","constitution","NN",12,3
"620","of","IN",2,3
"621","the","DT",3,3
"622","united","VBN",6,3
"623","states","NNS",6,3
"624","""","''",1,3
"625","and","CC",3,3
"626","to","TO",2,3
"627","""","``",1,3
"628","care","VB",4,3
"629","that","IN",4,3
"630","the","DT",3,3
"631","laws","NNS",4,3
"632","be","VB",2,3
"633","faithfully","RB",10,3
"634","executed","VBN",8,3
"635","""","``",1,3
"636","the","DT",3,3
"637","national","JJ",8,3
"638","purpose","NN",7,3
"639","is","VBZ",2,3
"640","indicated","VBN",9,3
"641","through","IN",7,3
"642","a","DT",1,3
"643","national","JJ",8,3
"644","election","NN",8,3
"645","it","PP",2,3
"646","is","VBZ",2,3
"647","the","DT",3,3
"648","constitutional","JJ",14,3
"649","method","NN",6,3
"650","of","IN",2,3
"651","ascertaining","VBG",12,3
"652","the","DT",3,3
"653","public","JJ",6,3
"654","will","NN",4,3
"655","when","WRB",4,3
"656","once","RB",4,3
"657","it","PP",2,3
"658","is","VBZ",2,3
"659","registered","JJ",10,3
"660","it","PP",2,3
"661","is","VBZ",2,3
"662","a","DT",1,3
"663","law","NN",3,3
"664","to","TO",2,3
"665","us","PP",2,3
"666","all","RB",3,3
"667","and","CC",3,3
"668","faithful","JJ",8,3
"669","observance","NN",10,3
"670","should","MD",6,3
"671","follow","VB",6,3
"672","its","PP$",3,3
"673","decrees","NNS",7,3
"674","strong","JJ",6,3
"675","hearts","NNS",6,3
"676","and","CC",3,3
"677","helpful","JJ",7,3
"678","hands","NNS",5,3
"679","are","VBP",3,3
"680","needed","VBN",6,3
"681","and","CC",3,3
"682","fortunately","RB",11,3
"683","we","PP",2,3
"684","have","VBP",4,3
"685","them","PP",4,3
"686","in","IN",2,3
"687","every","DT",5,3
"688","part","NN",4,3
"689","of","IN",2,3
"690","our","PP$",3,3
"691","beloved","JJ",7,3
"692","country","NN",7,3
"693","we","PP",2,3
"694","are","VBP",3,3
"695","reunited","VBN",8,3
"696","sectionalism","NN",12,3
"697","has","VBZ",3,3
"698","disappeared","VBN",11,3
"699","division","NN",8,3
"700","on","IN",2,3
"701","public","JJ",6,3
"702","questions","NNS",9,3
"703","can","MD",3,3
"704","no","RB",2,3
"705","longer","RBR",6,3
"706","be","VB",2,3
"707","traced","VBN",6,3
"708","by","IN",2,3
"709","the","DT",3,3
"710","war","NN",3,3
"711","maps","NNS",4,3
"712","of","IN",2,3
"713","1861","CD",4,3
"714","these","DT",5,3
"715","old","JJ",3,3
"716","differences","NNS",11,3
"717","less","RBR",4,3
"718","and","CC",3,3
"719","less","RBR",4,3
"720","disturb","VB",7,3
"721","the","DT",3,3
"722","judgment","NN",8,3
"723","existing","VBG",8,3
"724","problems","NNS",8,3
"725","demand","VBP",6,3
"726","the","DT",3,3
"727","thought","NN",7,3
"728","and","CC",3,3
"729","quicken","VB",7,3
"730","the","DT",3,3
"731","conscience","NN",10,3
"732","of","IN",2,3
"733","the","DT",3,3
"734","country","NN",7,3
"735","and","CC",3,3
"736","the","DT",3,3
"737","responsibility","NN",14,3
"738","for","IN",3,3
"739","their","PP$",5,3
"740","presence","NN",8,3
"741","as","IN",2,3
"742","well","RB",4,3
"743","as","RB",2,3
"744","for","IN",3,3
"745","their","PP$",5,3
"746","righteous","JJ",9,3
"747","settlement","NN",10,3
"748","rests","VBZ",5,3
"749","upon","IN",4,3
"750","us","PP",2,3
"751","all","DT",3,3
"752","no","RB",2,3
"753","more","JJR",4,3
"754","upon","IN",4,3
"755","me","PP",2,3
"756","than","IN",4,3
"757","upon","IN",4,3
"758","you","PP",3,3
"759","there","EX",5,3
"760","are","VBP",3,3
"761","some","DT",4,3
"762","national","JJ",8,3
"763","questions","NNS",9,3
"764","in","IN",2,3
"765","the","DT",3,3
"766","solution","NN",8,3
"767","of","IN",2,3
"768","which","WDT",5,3
"769","patriotism","NN",10,3
"770","should","MD",6,3
"771","exclude","VB",7,3
"772","partisanship","NN",12,3
"773","magnifying","VBG",10,3
"774","their","PP$",5,3
"775","difficulties","NNS",12,3
"776","will","MD",4,3
"777","not","RB",3,3
"778","take","VB",4,3
"779","them","PP",4,3
"780","off","RP",3,3
"781","our","PP$",3,3
"782","hands","NNS",5,3
"783","nor","CC",3,3
"784","facilitate","VB",10,3
"785","their","PP$",5,3
"786","adjustment","NN",10,3
"787","distrust","NN",8,3
"788","of","IN",2,3
"789","the","DT",3,3
"790","capacity","NN",8,3
"791","integrity","NN",9,3
"792","and","CC",3,3
"793","high","JJ",4,3
"794","purposes","NNS",8,3
"795","of","IN",2,3
"796","the","DT",3,3
"797","american","JJ",8,3
"798","people","NNS",6,3
"799","will","MD",4,3
"800","not","RB",3,3
"801","be","VB",2,3
"802","an","DT",2,3
"803","inspiring","JJ",9,3
"804","theme","NN",5,3
"805","for","IN",3,3
"806","future","JJ",6,3
"807","political","JJ",9,3
"808","contests","NNS",8,3
"809","dark","JJ",4,3
"810","pictures","NNS",8,3
"811","and","CC",3,3
"812","gloomy","JJ",6,3
"813","forebodings","NNS",11,3
"814","are","VBP",3,3
"815","worse","JJR",5,3
"816","than","IN",4,3
"817","useless","JJ",7,3
"818","these","NNS",5,3
"819","only","RB",4,3
"820","becloud","VBP",7,3
"821","they","PP",4,3
"822","do","VBP",2,3
"823","not","RB",3,3
"824","help","VB",4,3
"825","to","TO",2,3
"826","point","VB",5,3
"827","the","DT",3,3
"828","way","NN",3,3
"829","of","IN",2,3
"830","safety","NN",6,3
"831","and","CC",3,3
"832","honor","VB",5,3
"833","""","``",1,3
"834","hope","NN",4,3
"835","maketh","VBZ",6,3
"836","not","RB",3,3
"837","ashamed","JJ",7,3
"838","""","''",1,3
"839","the","DT",3,3
"840","prophets","NNS",8,3
"841","of","IN",2,3
"842","evil","NN",4,3
"843","were","VBD",4,3
"844","not","RB",3,3
