"","単語","品詞名","文字数","出現数"
"1","my","PP$",2,1
"2","fellow","JJ",6,1
"3","citizens","NNS",8,1
"4",":","SENT",1,1
"5","anyone","NN",6,2
"6","who","WP",3,2
"7","has","VBZ",3,2
"8","taken","VBN",5,2
"9","the","DT",3,2
"10","oath","NN",4,2
"11","i","NNS",1,2
"12","have","VBP",4,2
"13","just","RB",4,2
"14","taken","VBN",5,2
"15","must","MD",4,2
"16","feel","VB",4,2
"17","a","DT",1,2
"18","heavy","JJ",5,2
"19","weight","NN",6,2
"20","of","IN",2,2
"21","responsibility","NN",14,2
"22","if","IN",2,2
"23","not","RB",3,2
"24","he","PP",2,2
"25","has","VBZ",3,2
"26","no","DT",2,2
"27","conception","NN",10,2
"28","of","IN",2,2
"29","the","DT",3,2
"30","powers","NNS",6,2
"31","and","CC",3,2
"32","duties","NNS",6,2
"33","of","IN",2,2
"34","the","DT",3,2
"35","office","NN",6,2
"36","upon","IN",4,2
"37","which","WDT",5,2
"38","he","PP",2,2
"39","is","VBZ",2,2
"40","about","RB",5,2
"41","to","TO",2,2
"42","enter","VB",5,2
"43","or","CC",2,2
"44","he","PP",2,2
"45","is","VBZ",2,2
"46","lacking","VBG",7,2
"47","in","IN",2,2
"48","a","DT",1,2
"49","proper","JJ",6,2
"50","sense","NN",5,2
"51","of","IN",2,2
"52","the","DT",3,2
"53","obligation","NN",10,2
"54","which","WDT",5,2
"55","the","DT",3,2
"56","oath","NN",4,2
"57","imposes","VBZ",7,2
"58","the","DT",3,2
"59","office","NN",6,2
"60","of","IN",2,2
"61","an","DT",2,2
"62","inaugural","JJ",9,2
"63","address","NN",7,2
"64","is","VBZ",2,2
"65","to","TO",2,2
"66","give","VB",4,2
"67","a","DT",1,2
"68","summary","NN",7,2
"69","outline","NN",7,2
"70","of","IN",2,2
"71","the","DT",3,2
"72","main","JJ",4,2
"73","policies","NNS",8,2
"74","of","IN",2,2
"75","the","DT",3,2
"76","new","JJ",3,2
"77","administration","NN",14,2
"78","so","RB",2,2
"79","far","RB",3,2
"80","as","IN",2,2
"81","they","PP",4,2
"82","can","MD",3,2
"83","be","VB",2,2
"84","anticipated","VBN",11,2
"85","i","NP",1,2
"86","have","VBP",4,2
"87","had","VBN",3,2
"88","the","DT",3,2
"89","honor","NN",5,2
"90","to","TO",2,2
"91","be","VB",2,2
"92","one","CD",3,2
"93","of","IN",2,2
"94","the","DT",3,2
"95","advisers","NNS",8,2
"96","of","IN",2,2
"97","my","PP$",2,2
"98","distinguished","JJ",13,2
"99","predecessor","NN",11,2
"100","and","CC",3,2
"101","as","RB",2,2
"102","such","JJ",4,2
"103","to","TO",2,2
"104","hold","VB",4,2
"105","up","RP",2,2
"106","his","PP$",3,2
"107","hands","NNS",5,2
"108","in","IN",2,2
"109","the","DT",3,2
"110","reforms","NNS",7,2
"111","he","PP",2,2
"112","has","VBZ",3,2
"113","initiated","VBN",9,2
"114","i","NP",1,2
"115","should","MD",6,2
"116","be","VB",2,2
"117","untrue","JJ",6,2
"118","to","TO",2,2
"119","myself","PP",6,2
"120","to","TO",2,2
"121","my","PP$",2,2
"122","promises","NNS",8,2
"123","and","CC",3,2
"124","to","TO",2,2
"125","the","DT",3,2
"126","declarations","NNS",12,2
"127","of","IN",2,2
"128","the","DT",3,2
"129","party","NN",5,2
"130","platform","NN",8,2
"131","upon","IN",4,2
"132","which","WDT",5,2
"133","i","NP",1,2
"134","was","VBD",3,2
"135","elected","VBN",7,2
"136","to","TO",2,2
"137","office","NN",6,2
"138","if","IN",2,2
"139","i","NP",1,2
"140","did","VBD",3,2
"141","not","RB",3,2
"142","make","VB",4,2
"143","the","DT",3,2
"144","maintenance","NN",11,2
"145","and","CC",3,2
"146","enforcement","NN",11,2
"147","of","IN",2,2
"148","those","DT",5,2
"149","reforms","NNS",7,2
"150","a","DT",1,2
"151","most","RBS",4,2
"152","important","JJ",9,2
"153","feature","NN",7,2
"154","of","IN",2,2
"155","my","PP$",2,2
"156","administration","NN",14,2
"157","they","PP",4,2
"158","were","VBD",4,2
"159","directed","VBN",8,2
"160","to","TO",2,2
"161","the","DT",3,2
"162","suppression","NN",11,2
"163","of","IN",2,2
"164","the","DT",3,2
"165","lawlessness","NN",11,2
"166","and","CC",3,2
"167","abuses","NNS",6,2
"168","of","IN",2,2
"169","power","NN",5,2
"170","of","IN",2,2
"171","the","DT",3,2
"172","great","JJ",5,2
"173","combinations","NNS",12,2
"174","of","IN",2,2
"175","capital","NN",7,2
"176","invested","VBN",8,2
"177","in","IN",2,2
"178","railroads","NNS",9,2
"179","and","CC",3,2
"180","in","IN",2,2
"181","industrial","JJ",10,2
"182","enterprises","NNS",11,2
"183","carrying","VBG",8,2
"184","on","IN",2,2
"185","interstate","JJ",10,2
"186","commerce","NN",8,2
"187","the","DT",3,2
"188","steps","NNS",5,2
"189","which","WDT",5,2
"190","my","PP$",2,2
"191","predecessor","NN",11,2
"192","took","VBD",4,2
"193","and","CC",3,2
"194","the","DT",3,2
"195","legislation","NN",11,2
"196","passed","VBN",6,2
"197","on","IN",2,2
"198","his","PP$",3,2
"199","recommendation","NN",14,2
"200","have","VBP",4,2
"201","accomplished","VBN",12,2
"202","much","RB",4,2
"203","have","VBP",4,2
"204","caused","VBN",6,2
"205","a","DT",1,2
"206","general","JJ",7,2
"207","halt","NN",4,2
"208","in","IN",2,2
"209","the","DT",3,2
"210","vicious","JJ",7,2
"211","policies","NNS",8,2
"212","which","WDT",5,2
"213","created","VBD",7,2
"214","popular","JJ",7,2
"215","alarm","NN",5,2
"216","and","CC",3,2
"217","have","VBP",4,2
"218","brought","VBN",7,2
"219","about","RB",5,2
"220","in","IN",2,2
"221","the","DT",3,2
"222","business","NN",8,2
"223","affected","VBD",8,2
"224","a","DT",1,2
"225","much","RB",4,2
"226","higher","JJR",6,2
"227","regard","NN",6,2
"228","for","IN",3,2
"229","existing","VBG",8,2
"230","law","NN",3,2
"231","to","TO",2,2
"232","render","VB",6,2
"233","the","DT",3,2
"234","reforms","NNS",7,2
"235","lasting","VBG",7,2
"236","however","RB",7,2
"237","and","CC",3,2
"238","to","TO",2,2
"239","secure","VB",6,2
"240","at","IN",2,2
"241","the","DT",3,2
"242","same","JJ",4,2
"243","time","NN",4,2
"244","freedom","NN",7,2
"245","from","IN",4,2
"246","alarm","NN",5,2
"247","on","IN",2,2
"248","the","DT",3,2
"249","part","NN",4,2
"250","of","IN",2,2
"251","those","DT",5,2
"252","pursuing","VBG",8,2
"253","proper","JJ",6,2
"254","and","CC",3,2
"255","progressive","JJ",11,2
"256","business","NN",8,2
"257","methods","NNS",7,2
"258","further","RBR",7,2
"259","legislative","JJ",11,2
"260","and","CC",3,2
"261","executive","JJ",9,2
"262","action","NN",6,2
"263","are","VBP",3,2
"264","needed","VBN",6,2
"265","relief","NN",6,2
"266","of","IN",2,2
"267","the","DT",3,2
"268","railroads","NNS",9,2
"269","from","IN",4,2
"270","certain","JJ",7,2
"271","restrictions","NNS",12,2
"272","of","IN",2,2
"273","the","DT",3,2
"274","antitrust","JJ",9,2
"275","law","NN",3,2
"276","have","VBP",4,2
"277","been","VBN",4,2
"278","urged","VBN",5,2
"279","by","IN",2,2
"280","my","PP$",2,2
"281","predecessor","NN",11,2
"282","and","CC",3,2
"283","will","MD",4,2
"284","be","VB",2,2
"285","urged","VBN",5,2
"286","by","IN",2,2
"287","me","PP",2,2
"288","on","IN",2,2
"289","the","DT",3,2
"290","other","JJ",5,2
"291","hand","NN",4,2
"292","the","DT",3,2
"293","administration","NN",14,2
"294","is","VBZ",2,2
"295","pledged","VBN",7,2
"296","to","TO",2,2
"297","legislation","NN",11,2
"298","looking","VBG",7,2
"299","to","TO",2,2
"300","a","DT",1,2
"301","proper","JJ",6,2
"302","federal","JJ",7,2
"303","supervision","NN",11,2
"304","and","CC",3,2
"305","restriction","NN",11,2
"306","to","TO",2,2
"307","prevent","VB",7,2
"308","excessive","JJ",9,2
"309","issues","NNS",6,2
"310","of","IN",2,2
"311","bonds","NNS",5,2
"312","and","CC",3,2
"313","stock","NN",5,2
"314","by","IN",2,2
"315","companies","NNS",9,2
"316","owning","VBG",6,2
"317","and","CC",3,2
"318","operating","VBG",9,2
"319","interstate","JJ",10,2
"320","commerce","NN",8,2
"321","railroads","NNS",9,2
"322","then","RB",4,2
"323","too","RB",3,2
"324","a","DT",1,2
"325","reorganization","NN",14,2
"326","of","IN",2,2
"327","the","DT",3,2
"328","department","NN",10,2
"329","of","IN",2,2
"330","justice","NN",7,2
"331","of","IN",2,2
"332","the","DT",3,2
"333","bureau","NN",6,2
"334","of","IN",2,2
"335","corporations","NNS",12,2
"336","in","IN",2,2
"337","the","DT",3,2
"338","department","NN",10,2
"339","of","IN",2,2
"340","commerce","NN",8,2
"341","and","CC",3,2
"342","labor","NN",5,2
"343","and","CC",3,2
"344","of","IN",2,2
"345","the","DT",3,2
"346","interstate","JJ",10,2
"347","commerce","NN",8,2
"348","commission","NN",10,2
"349","looking","VBG",7,2
"350","to","TO",2,2
"351","effective","JJ",9,2
"352","cooperation","NN",11,2
"353","of","IN",2,2
"354","these","DT",5,2
"355","agencies","NNS",8,2
"356","is","VBZ",2,2
"357","needed","VBN",6,2
"358","to","TO",2,2
"359","secure","VB",6,2
"360","a","DT",1,2
"361","more","RBR",4,2
"362","rapid","JJ",5,2
"363","and","CC",3,2
"364","certain","JJ",7,2
"365","enforcement","NN",11,2
"366","of","IN",2,2
"367","the","DT",3,2
"368","laws","NNS",4,2
"369","affecting","VBG",9,2
"370","interstate","JJ",10,2
"371","railroads","NNS",9,2
"372","and","CC",3,2
"373","industrial","JJ",10,2
"374","combinations","NNS",12,2
"375","i","NNS",1,2
"376","hope","VBP",4,2
"377","to","TO",2,2
"378","be","VB",2,2
"379","able","JJ",4,2
"380","to","TO",2,2
"381","submit","VB",6,2
"382","at","IN",2,2
"383","the","DT",3,2
"384","first","JJ",5,2
"385","regular","JJ",7,2
"386","session","NN",7,2
"387","of","IN",2,2
"388","the","DT",3,2
"389","incoming","JJ",8,2
"390","congress","NN",8,2
"391","in","IN",2,2
"392","december","JJ",8,2
"393","next","JJ",4,2
"394","definite","JJ",8,2
"395","suggestions","NNS",11,2
"396","in","IN",2,2
"397","respect","NN",7,2
"398","to","TO",2,2
"399","the","DT",3,2
"400","needed","VBN",6,2
"401","amendments","NNS",10,2
"402","to","TO",2,2
"403","the","DT",3,2
"404","antitrust","JJ",9,2
"405","and","CC",3,2
"406","the","DT",3,2
"407","interstate","JJ",10,2
"408","commerce","NN",8,2
"409","law","NN",3,2
"410","and","CC",3,2
"411","the","DT",3,2
"412","changes","NNS",7,2
"413","required","VBN",8,2
"414","in","IN",2,2
"415","the","DT",3,2
"416","executive","JJ",9,2
"417","departments","NNS",11,2
"418","concerned","VBN",9,2
"419","in","IN",2,2
"420","their","PP$",5,2
"421","enforcement","NN",11,2
"422","it","PP",2,2
"423","is","VBZ",2,2
"424","believed","VBN",8,2
"425","that","IN",4,2
"426","with","IN",4,2
"427","the","DT",3,2
"428","changes","NNS",7,2
"429","to","TO",2,2
"430","be","VB",2,2
"431","recommended","VBN",11,2
"432","american","JJ",8,2
"433","business","NN",8,2
"434","can","MD",3,2
"435","be","VB",2,2
"436","assured","VBN",7,2
"437","of","IN",2,2
"438","that","DT",4,2
"439","measure","NN",7,2
"440","of","IN",2,2
"441","stability","NN",9,2
"442","and","CC",3,2
"443","certainty","NN",9,2
"444","in","IN",2,2
"445","respect","NN",7,2
"446","to","TO",2,2
"447","those","DT",5,2
"448","things","NNS",6,2
"449","that","WDT",4,2
"450","may","MD",3,2
"451","be","VB",2,2
"452","done","VBN",4,2
"453","and","CC",3,2
"454","those","DT",5,2
"455","that","WDT",4,2
"456","are","VBP",3,2
"457","prohibited","VBN",10,2
"458","which","WDT",5,2
"459","is","VBZ",2,2
"460","essential","JJ",9,2
"461","to","TO",2,2
"462","the","DT",3,2
"463","life","NN",4,2
"464","and","CC",3,2
"465","growth","NN",6,2
"466","of","IN",2,2
"467","all","DT",3,2
"468","business","NN",8,2
"469","such","JJ",4,2
"470","a","DT",1,2
"471","plan","NN",4,2
"472","must","MD",4,2
"473","include","VB",7,2
"474","the","DT",3,2
"475","right","NN",5,2
"476","of","IN",2,2
"477","the","DT",3,2
"478","people","NNS",6,2
"479","to","TO",2,2
"480","avail","VB",5,2
"481","themselves","PP",10,2
"482","of","IN",2,2
"483","those","DT",5,2
"484","methods","NNS",7,2
"485","of","IN",2,2
"486","combining","VBG",9,2
"487","capital","NN",7,2
"488","and","CC",3,2
"489","effort","NN",6,2
"490","deemed","VBD",6,2
"491","necessary","JJ",9,2
"492","to","TO",2,2
"493","reach","VB",5,2
"494","the","DT",3,2
"495","highest","JJS",7,2
"496","degree","NN",6,2
"497","of","IN",2,2
"498","economic","JJ",8,2
"499","efficiency","NN",10,2
"500","at","IN",2,2
"501","the","DT",3,2
"502","same","JJ",4,2
"503","time","NN",4,2
"504","differentiating","VBG",15,2
"505","between","IN",7,2
"506","combinations","NNS",12,2
"507","based","VBN",5,2
"508","upon","IN",4,2
"509","legitimate","JJ",10,2
"510","economic","JJ",8,2
"511","reasons","NNS",7,2
"512","and","CC",3,2
"513","those","DT",5,2
"514","formed","VBN",6,2
"515","with","IN",4,2
"516","the","DT",3,2
"517","intent","NN",6,2
"518","of","IN",2,2
"519","creating","VBG",8,2
"520","monopolies","NNS",10,2
"521","and","CC",3,2
"522","artificially","RB",12,2
"523","controlling","VBG",11,2
"524","prices","NNS",6,2
"525","the","DT",3,2
"526","work","NN",4,2
"527","of","IN",2,2
"528","formulating","VBG",11,2
"529","into","IN",4,2
"530","practical","JJ",9,2
"531","shape","NN",5,2
"532","such","JJ",4,2
"533","changes","NNS",7,2
"534","is","VBZ",2,2
"535","creative","JJ",8,2
"536","word","NN",4,2
"537","of","IN",2,2
"538","the","DT",3,2
"539","highest","JJS",7,2
"540","order","NN",5,2
"541","and","CC",3,2
"542","requires","VBZ",8,2
"543","all","PDT",3,2
"544","the","DT",3,2
"545","deliberation","NN",12,2
"546","possible","JJ",8,2
"547","in","IN",2,2
"548","the","DT",3,2
"549","interval","NN",8,2
"550","i","NNS",1,2
"551","believe","VBP",7,2
"552","that","IN",4,2
"553","the","DT",3,2
"554","amendments","NNS",10,2
"555","to","TO",2,2
"556","be","VB",2,2
"557","proposed","VBN",8,2
"558","are","VBP",3,2
"559","just","RB",4,2
"560","as","RB",2,2
"561","necessary","JJ",9,2
"562","in","IN",2,2
"563","the","DT",3,2
"564","protection","NN",10,2
"565","of","IN",2,2
"566","legitimate","JJ",10,2
"567","business","NN",8,2
"568","as","IN",2,2
"569","in","IN",2,2
"570","the","DT",3,2
"571","clinching","VBG",9,2
"572","of","IN",2,2
"573","the","DT",3,2
"574","reforms","NNS",7,2
"575","which","WDT",5,2
"576","properly","RB",8,2
"577","bear","VBP",4,2
"578","the","DT",3,2
"579","name","NN",4,2
"580","of","IN",2,2
"581","my","PP$",2,2
"582","predecessor","NN",11,2
"583","a","DT",1,2
"584","matter","NN",6,2
"585","of","IN",2,2
"586","most","JJS",4,2
"587","pressing","VBG",8,2
"588","importance","NN",10,2
"589","is","VBZ",2,2
"590","the","DT",3,2
"591","revision","NN",8,2
"592","of","IN",2,2
"593","the","DT",3,2
"594","tariff","NN",6,2
"595","in","IN",2,2
"596","accordance","NN",10,2
"597","with","IN",4,2
"598","the","DT",3,2
"599","promises","NNS",8,2
"600","of","IN",2,2
"601","the","DT",3,2
"602","platform","NN",8,2
"603","upon","IN",4,2
"604","which","WDT",5,2
"605","i","NP",1,2
"606","was","VBD",3,2
"607","elected","VBN",7,2
"608","i","NP",1,2
"609","shall","MD",5,2
"610","call","VB",4,2
"611","congress","NN",8,2
"612","into","IN",4,2
"613","extra","JJ",5,2
"614","session","NN",7,2
"615","to","TO",2,2
"616","meet","VB",4,2
"617","on","IN",2,2
"618","the","DT",3,2
"619","15","CD",2,2
"620","th","NN",2,2
"621","day","NN",3,2
"622","of","IN",2,2
"623","march","NN",5,2
"624","in","IN",2,2
"625","order","NN",5,2
"626","that","IN",4,2
"627","consideration","NN",13,2
"628","may","MD",3,2
"629","be","VB",2,2
"630","at","IN",2,2
"631","once","RB",4,2
"632","given","VBN",5,2
"633","to","TO",2,2
"634","a","DT",1,2
"635","bill","NN",4,2
"636","revising","VBG",8,2
"637","the","DT",3,2
"638","dingley","NN",7,2
"639","act","VB",3,2
"640","this","DT",4,2
"641","should","MD",6,2
"642","secure","VB",6,2
"643","an","DT",2,2
"644","adequate","JJ",8,2
"645","revenue","NN",7,2
"646","and","CC",3,2
"647","adjust","VB",6,2
"648","the","DT",3,2
"649","duties","NNS",6,2
"650","in","IN",2,2
"651","such","PDT",4,2
"652","a","DT",1,2
"653","manner","NN",6,2
"654","as","RB",2,2
"655","to","TO",2,2
"656","afford","VB",6,2
"657","to","TO",2,2
"658","labor","NN",5,2
"659","and","CC",3,2
"660","to","TO",2,2
"661","all","DT",3,2
"662","industries","NNS",10,2
"663","in","IN",2,2
"664","this","DT",4,2
"665","country","NN",7,2
"666","whether","IN",7,2
"667","of","IN",2,2
"668","the","DT",3,2
"669","farm","NN",4,2
"670","mine","NN",4,2
"671","or","CC",2,2
"672","factory","NN",7,2
"673","protection","NN",10,2
"674","by","IN",2,2
"675","tariff","NN",6,2
"676","equal","JJ",5,2
"677","to","TO",2,2
"678","the","DT",3,2
"679","difference","NN",10,2
"680","between","IN",7,2
"681","the","DT",3,2
"682","cost","NN",4,2
"683","of","IN",2,2
"684","production","NN",10,2
"685","abroad","RB",6,2
"686","and","CC",3,2
"687","the","DT",3,2
"688","cost","NN",4,2
"689","of","IN",2,2
"690","production","NN",10,2
"691","here","RB",4,2
"692","and","CC",3,2
"693","have","VB",4,2
"694","a","DT",1,2
"695","provision","NN",9,2
"696","which","WDT",5,2
"697","shall","MD",5,2
"698","put","VB",3,2
"699","into","IN",4,2
"700","force","NN",5,2
"701","upon","IN",4,2
"702","executive","JJ",9,2
"703","determination","NN",13,2
"704","of","IN",2,2
"705","certain","JJ",7,2
"706","facts","NNS",5,2
"707","a","DT",1,2
"708","higher","JJR",6,2
"709","or","CC",2,2
"710","maximum","JJ",7,2
"711","tariff","NN",6,2
"712","against","IN",7,2
"713","those","DT",5,2
"714","countries","NNS",9,2
"715","whose","WP$",5,2
"716","trade","NN",5,2
"717","policy","NN",6,2
"718","toward","IN",6,2
"719","us","PP",2,2
"720","equitably","RB",9,2
"721","requires","VBZ",8,2
"722","such","JJ",4,2
"723","discrimination","NN",14,2
"724","it","PP",2,2
"725","is","VBZ",2,2
"726","thought","VBN",7,2
"727","that","IN",4,2
"728","there","EX",5,2
"729","has","VBZ",3,2
"730","been","VBN",4,2
"731","such","JJ",4,2
"732","a","DT",1,2
"733","change","NN",6,2
"734","in","IN",2,2
"735","conditions","NNS",10,2
"736","since","IN",5,2
"737","the","DT",3,2
"738","enactment","NN",9,2
"739","of","IN",2,2
"740","the","DT",3,2
"741","dingley","NN",7,2
"742","act","NN",3,2
"743","drafted","VBN",7,2
"744","on","IN",2,2
"745","a","DT",1,2
"746","similarly","RB",9,2
"747","protective","JJ",10,2
"748","principle","NN",9,2
"749","that","IN",4,2
"750","the","DT",3,2
"751","measure","NN",7,2
"752","of","IN",2,2
"753","the","DT",3,2
"754","tariff","NN",6,2
"755","above","IN",5,2
"756","stated","VBN",6,2
"757","will","MD",4,2
"758","permit","VB",6,2
"759","the","DT",3,2
"760","reduction","NN",9,2
"761","of","IN",2,2
"762","rates","NNS",5,2
"763","in","IN",2,2
"764","certain","JJ",7,2
"765","schedules","NNS",9,2
"766","and","CC",3,2
"767","will","MD",4,2
"768","require","VB",7,2
"769","the","DT",3,2
"770","advancement","NN",11,2
"771","of","IN",2,2
"772","few","JJ",3,2
"773","if","IN",2,2
"774","any","DT",3,2
"775","the","DT",3,2
"776","proposal","NN",8,2
"777","to","TO",2,2
"778","revise","VB",6,2
"779","the","DT",3,2
"780","tariff","NN",6,2
"781","made","VBN",4,2
"782","in","IN",2,2
"783","such","PDT",4,2
"784","an","DT",2,2
"785","authoritative","JJ",13,2
"786","way","NN",3,2
"787","as","RB",2,2
"788","to","TO",2,2
"789","lead","VB",4,2
"790","the","DT",3,2
"791","business","NN",8,2
"792","community","NN",9,2
"793","to","TO",2,2
"794","count","VB",5,2
"795","upon","IN",4,2
"796","it","PP",2,2
"797","necessarily","RB",11,2
"798","halts","VBZ",5,2
"799","all","PDT",3,2
"800","those","DT",5,2
"801","branches","NNS",8,2
"802","of","IN",2,2
"803","business","NN",8,2
"804","directly","RB",8,2
"805","affected","VBN",8,2
"806",";","SENT",1,2
"807","and","CC",3,3
"808","as","IN",2,3
"809","these","DT",5,3
"810","are","VBP",3,3
"811","most","RBS",4,3
"812","important","JJ",9,3
"813","it","PP",2,3
"814","disturbs","VBZ",8,3
"815","the","DT",3,3
"816","whole","JJ",5,3
"817","business","NN",8,3
"818","of","IN",2,3
"819","the","DT",3,3
"820","country","NN",7,3
"821","it","PP",2,3
"822","is","VBZ",2,3
"823","imperatively","RB",12,3
"824","necessary","JJ",9,3
"825","therefore","RB",9,3
"826","that","IN",4,3
"827","a","DT",1,3
"828","tariff","NN",6,3
"829","bill","NN",4,3
"830","be","VB",2,3
"831","drawn","VBN",5,3
"832","in","IN",2,3
"833","good","JJ",4,3
"834","faith","NN",5,3
"835","in","IN",2,3
"836","accordance","NN",10,3
"837","with","IN",4,3
"838","promises","NNS",8,3
"839","made","VBN",4,3
"840","before","IN",6,3
"841","the","DT",3,3
"842","election","NN",8,3
"843","by","IN",2,3
"844","the","DT",3,3
"845","party","NN",5,3
"846","in","IN",2,3
"847","power","NN",5,3
