"","単語","品詞名","文字数","出現数"
"1","my","PP$",2,1
"2","fellow","JJ",6,1
"3","citizens","NNS",8,1
"4",":","SENT",1,1
"5","the","DT",3,2
"6","four","CD",4,2
"7","years","NNS",5,2
"8","which","WDT",5,2
"9","have","VBP",4,2
"10","elapsed","VBN",7,2
"11","since","IN",5,2
"12","last","JJ",4,2
"13","i","NNS",1,2
"14","stood","VBD",5,2
"15","in","IN",2,2
"16","this","DT",4,2
"17","place","NN",5,2
"18","have","VBP",4,2
"19","been","VBN",4,2
"20","crowded","VBN",7,2
"21","with","IN",4,2
"22","counsel","NN",7,2
"23","and","CC",3,2
"24","action","NN",6,2
"25","of","IN",2,2
"26","the","DT",3,2
"27","most","RBS",4,2
"28","vital","JJ",5,2
"29","interest","NN",8,2
"30","and","CC",3,2
"31","consequence","NN",11,2
"32","perhaps","RB",7,2
"33","no","DT",2,2
"34","equal","JJ",5,2
"35","period","NN",6,2
"36","in","IN",2,2
"37","our","PP$",3,2
"38","history","NN",7,2
"39","has","VBZ",3,2
"40","been","VBN",4,2
"41","so","RB",2,2
"42","fruitful","JJ",8,2
"43","of","IN",2,2
"44","important","JJ",9,2
"45","reforms","NNS",7,2
"46","in","IN",2,2
"47","our","PP$",3,2
"48","economic","JJ",8,2
"49","and","CC",3,2
"50","industrial","JJ",10,2
"51","life","NN",4,2
"52","or","CC",2,2
"53","so","RB",2,2
"54","full","JJ",4,2
"55","of","IN",2,2
"56","significant","JJ",11,2
"57","changes","NNS",7,2
"58","in","IN",2,2
"59","the","DT",3,2
"60","spirit","NN",6,2
"61","and","CC",3,2
"62","purpose","NN",7,2
"63","of","IN",2,2
"64","our","PP$",3,2
"65","political","JJ",9,2
"66","action","NN",6,2
"67","we","PP",2,2
"68","have","VBP",4,2
"69","sought","VBN",6,2
"70","very","RB",4,2
"71","thoughtfully","RB",12,2
"72","to","TO",2,2
"73","set","VB",3,2
"74","our","PP$",3,2
"75","house","NN",5,2
"76","in","IN",2,2
"77","order","NN",5,2
"78","correct","VB",7,2
"79","the","DT",3,2
"80","grosser","JJR",7,2
"81","errors","NNS",6,2
"82","and","CC",3,2
"83","abuses","NNS",6,2
"84","of","IN",2,2
"85","our","PP$",3,2
"86","industrial","JJ",10,2
"87","life","NN",4,2
"88","liberate","VB",8,2
"89","and","CC",3,2
"90","quicken","VB",7,2
"91","the","DT",3,2
"92","processes","NNS",9,2
"93","of","IN",2,2
"94","our","PP$",3,2
"95","national","JJ",8,2
"96","genius","NN",6,2
"97","and","CC",3,2
"98","energy","NN",6,2
"99","and","CC",3,2
"100","lift","VB",4,2
"101","our","PP$",3,2
"102","politics","NNS",8,2
"103","to","TO",2,2
"104","a","DT",1,2
"105","broader","JJR",7,2
"106","view","NN",4,2
"107","of","IN",2,2
"108","the","DT",3,2
"109","people","NNS",6,2
"110","essential","JJ",9,2
"111","interests","NNS",9,2
"112","it","PP",2,2
"113","is","VBZ",2,2
"114","a","DT",1,2
"115","record","NN",6,2
"116","of","IN",2,2
"117","singular","JJ",8,2
"118","variety","NN",7,2
"119","and","CC",3,2
"120","singular","JJ",8,2
"121","distinction","NN",11,2
"122","but","CC",3,2
"123","i","NP",1,2
"124","shall","MD",5,2
"125","not","RB",3,2
"126","attempt","VB",7,2
"127","to","TO",2,2
"128","review","VB",6,2
"129","it","PP",2,2
"130","it","PP",2,2
"131","speaks","VBZ",6,2
"132","for","IN",3,2
"133","itself","PP",6,2
"134","and","CC",3,2
"135","will","MD",4,2
"136","be","VB",2,2
"137","of","IN",2,2
"138","increasing","VBG",10,2
"139","influence","NN",9,2
"140","as","IN",2,2
"141","the","DT",3,2
"142","years","NNS",5,2
"143","go","VBP",2,2
"144","by","IN",2,2
"145","this","DT",4,2
"146","is","VBZ",2,2
"147","not","RB",3,2
"148","the","DT",3,2
"149","time","NN",4,2
"150","for","IN",3,2
"151","retrospect","NN",10,2
"152","it","PP",2,2
"153","is","VBZ",2,2
"154","time","NN",4,2
"155","rather","RB",6,2
"156","to","TO",2,2
"157","speak","VB",5,2
"158","our","PP$",3,2
"159","thoughts","NNS",8,2
"160","and","CC",3,2
"161","purposes","NNS",8,2
"162","concerning","VBG",10,2
"163","the","DT",3,2
"164","present","NN",7,2
"165","and","CC",3,2
"166","the","DT",3,2
"167","immediate","JJ",9,2
"168","future","NN",6,2
"169","although","IN",8,2
"170","we","PP",2,2
"171","have","VBP",4,2
"172","centered","VBN",8,2
"173","counsel","NN",7,2
"174","and","CC",3,2
"175","action","NN",6,2
"176","with","IN",4,2
"177","such","JJ",4,2
"178","unusual","JJ",7,2
"179","concentration","NN",13,2
"180","and","CC",3,2
"181","success","NN",7,2
"182","upon","IN",4,2
"183","the","DT",3,2
"184","great","JJ",5,2
"185","problems","NNS",8,2
"186","of","IN",2,2
"187","domestic","JJ",8,2
"188","legislation","NN",11,2
"189","to","TO",2,2
"190","which","WDT",5,2
"191","we","PP",2,2
"192","addressed","VBD",9,2
"193","ourselves","PP",9,2
"194","four","CD",4,2
"195","years","NNS",5,2
"196","ago","RB",3,2
"197","other","JJ",5,2
"198","matters","NNS",7,2
"199","have","VBP",4,2
"200","more","RBR",4,2
"201","and","CC",3,2
"202","more","RBR",4,2
"203","forced","VBD",6,2
"204","themselves","PP",10,2
"205","upon","IN",4,2
"206","our","PP$",3,2
"207","attention","NN",9,2
"208","matters","NNS",7,2
"209","lying","VBG",5,2
"210","outside","IN",7,2
"211","our","PP$",3,2
"212","own","JJ",3,2
"213","life","NN",4,2
"214","as","IN",2,2
"215","a","DT",1,2
"216","nation","NN",6,2
"217","and","CC",3,2
"218","over","IN",4,2
"219","which","WDT",5,2
"220","we","PP",2,2
"221","had","VBD",3,2
"222","no","DT",2,2
"223","control","NN",7,2
"224","but","CC",3,2
"225","which","WDT",5,2
"226","despite","IN",7,2
"227","our","PP$",3,2
"228","wish","NN",4,2
"229","to","TO",2,2
"230","keep","VB",4,2
"231","free","JJ",4,2
"232","of","IN",2,2
"233","them","PP",4,2
"234","have","VBP",4,2
"235","drawn","VBN",5,2
"236","us","PP",2,2
"237","more","JJR",4,2
"238","and","CC",3,2
"239","more","RBR",4,2
"240","irresistibly","RB",12,2
"241","into","IN",4,2
"242","their","PP$",5,2
"243","own","JJ",3,2
"244","current","JJ",7,2
"245","and","CC",3,2
"246","influence","VB",9,2
"247","it","PP",2,2
"248","has","VBZ",3,2
"249","been","VBN",4,2
"250","impossible","JJ",10,2
"251","to","TO",2,2
"252","avoid","VB",5,2
"253","them","PP",4,2
"254","they","PP",4,2
"255","have","VBP",4,2
"256","affected","VBN",8,2
"257","the","DT",3,2
"258","life","NN",4,2
"259","of","IN",2,2
"260","the","DT",3,2
"261","whole","JJ",5,2
"262","world","NN",5,2
"263","they","PP",4,2
"264","have","VBP",4,2
"265","shaken","VBN",6,2
"266","men","NNS",3,2
"267","everywhere","RB",10,2
"268","with","IN",4,2
"269","a","DT",1,2
"270","passion","NN",7,2
"271","and","CC",3,2
"272","an","DT",2,2
"273","apprehension","NN",12,2
"274","they","PP",4,2
"275","never","RB",5,2
"276","knew","VBD",4,2
"277","before","IN",6,2
"278","it","PP",2,2
"279","has","VBZ",3,2
"280","been","VBN",4,2
"281","hard","JJ",4,2
"282","to","TO",2,2
"283","preserve","VB",8,2
"284","calm","JJ",4,2
"285","counsel","NN",7,2
"286","while","IN",5,2
"287","the","DT",3,2
"288","thought","NN",7,2
"289","of","IN",2,2
"290","our","PP$",3,2
"291","own","JJ",3,2
"292","people","NNS",6,2
"293","swayed","VBD",6,2
"294","this","DT",4,2
"295","way","NN",3,2
"296","and","CC",3,2
"297","that","IN",4,2
"298","under","IN",5,2
"299","their","PP$",5,2
"300","influence","NN",9,2
"301","we","PP",2,2
"302","are","VBP",3,2
"303","a","DT",1,2
"304","composite","JJ",9,2
"305","and","CC",3,2
"306","cosmopolitan","JJ",12,2
"307","people","NNS",6,2
"308","we","PP",2,2
"309","are","VBP",3,2
"310","of","IN",2,2
"311","the","DT",3,2
"312","blood","NN",5,2
"313","of","IN",2,2
"314","all","PDT",3,2
"315","the","DT",3,2
"316","nations","NNS",7,2
"317","that","WDT",4,2
"318","are","VBP",3,2
"319","at","IN",2,2
"320","war","NN",3,2
"321","the","DT",3,2
"322","currents","NNS",8,2
"323","of","IN",2,2
"324","our","PP$",3,2
"325","thoughts","NNS",8,2
"326","as","RB",2,2
"327","well","RB",4,2
"328","as","IN",2,2
"329","the","DT",3,2
"330","currents","NNS",8,2
"331","of","IN",2,2
"332","our","PP$",3,2
"333","trade","NN",5,2
"334","run","VB",3,2
"335","quick","JJ",5,2
"336","at","IN",2,2
"337","all","DT",3,2
"338","seasons","NNS",7,2
"339","back","RB",4,2
"340","and","CC",3,2
"341","forth","RB",5,2
"342","between","IN",7,2
"343","us","PP",2,2
"344","and","CC",3,2
"345","them","PP",4,2
"346","the","DT",3,2
"347","war","NN",3,2
"348","inevitably","RB",10,2
"349","set","VBD",3,2
"350","its","PP$",3,2
"351","mark","NN",4,2
"352","from","IN",4,2
"353","the","DT",3,2
"354","first","JJ",5,2
"355","alike","RB",5,2
"356","upon","IN",4,2
"357","our","PP$",3,2
"358","minds","NNS",5,2
"359","our","PP$",3,2
"360","industries","NNS",10,2
"361","our","PP$",3,2
"362","commerce","NN",8,2
"363","our","PP$",3,2
"364","politics","NNS",8,2
"365","and","CC",3,2
"366","our","PP$",3,2
"367","social","JJ",6,2
"368","action","NN",6,2
"369","to","TO",2,2
"370","be","VB",2,2
"371","indifferent","JJ",11,2
"372","to","TO",2,2
"373","it","PP",2,2
"374","or","CC",2,2
"375","independent","JJ",11,2
"376","of","IN",2,2
"377","it","PP",2,2
"378","was","VBD",3,2
"379","out","RP",3,2
"380","of","IN",2,2
"381","the","DT",3,2
"382","question","NN",8,2
"383","and","CC",3,2
"384","yet","RB",3,2
"385","all","PDT",3,2
"386","the","DT",3,2
"387","while","IN",5,2
"388","we","PP",2,2
"389","have","VBP",4,2
"390","been","VBN",4,2
"391","conscious","JJ",9,2
"392","that","IN",4,2
"393","we","PP",2,2
"394","were","VBD",4,2
"395","not","RB",3,2
"396","part","NN",4,2
"397","of","IN",2,2
"398","it","PP",2,2
"399","in","IN",2,2
"400","that","DT",4,2
"401","consciousness","NN",13,2
"402","despite","IN",7,2
"403","many","JJ",4,2
"404","divisions","NNS",9,2
"405","we","PP",2,2
"406","have","VBP",4,2
"407","drawn","VBN",5,2
"408","closer","RBR",6,2
"409","together","RB",8,2
"410","we","PP",2,2
"411","have","VBP",4,2
"412","been","VBN",4,2
"413","deeply","RB",6,2
"414","wronged","VBN",7,2
"415","upon","IN",4,2
"416","the","DT",3,2
"417","seas","NNS",4,2
"418","but","CC",3,2
"419","we","PP",2,2
"420","have","VBP",4,2
"421","not","RB",3,2
"422","wished","VBN",6,2
"423","to","TO",2,2
"424","wrong","VB",5,2
"425","or","CC",2,2
"426","injure","VB",6,2
"427","in","IN",2,2
"428","return","NN",6,2
"429",";","SENT",1,2
"430","have","VBP",4,3
"431","retained","VBN",8,3
"432","throughout","IN",10,3
"433","the","DT",3,3
"434","consciousness","NN",13,3
"435","of","IN",2,3
"436","standing","VBG",8,3
"437","in","IN",2,3
"438","some","DT",4,3
"439","sort","NN",4,3
"440","apart","RB",5,3
"441","intent","JJ",6,3
"442","upon","IN",4,3
"443","an","DT",2,3
"444","interest","NN",8,3
"445","that","WDT",4,3
"446","transcended","VBD",11,3
"447","the","DT",3,3
"448","immediate","JJ",9,3
"449","issues","NNS",6,3
"450","of","IN",2,3
"451","the","DT",3,3
"452","war","NN",3,3
"453","itself","PP",6,3
"454","as","IN",2,3
"455","some","DT",4,3
"456","of","IN",2,3
"457","the","DT",3,3
"458","injuries","NNS",8,3
"459","done","VBN",4,3
"460","us","PP",2,3
"461","have","VBP",4,3
"462","become","VBN",6,3
"463","intolerable","JJ",11,3
"464","we","PP",2,3
"465","have","VBP",4,3
"466","still","RB",5,3
"467","been","VBN",4,3
"468","clear","JJ",5,3
"469","that","IN",4,3
"470","we","PP",2,3
"471","wished","VBD",6,3
"472","nothing","NN",7,3
"473","for","IN",3,3
"474","ourselves","PP",9,3
"475","that","IN",4,3
"476","we","PP",2,3
"477","were","VBD",4,3
"478","not","RB",3,3
"479","ready","JJ",5,3
"480","to","TO",2,3
"481","demand","VB",6,3
"482","for","IN",3,3
"483","all","DT",3,3
"484","mankind","NN",7,3
"485","fair","JJ",4,3
"486","dealing","VBG",7,3
"487","justice","NN",7,3
"488","the","DT",3,3
"489","freedom","NN",7,3
"490","to","TO",2,3
"491","live","VB",4,3
"492","and","CC",3,3
"493","to","TO",2,3
"494","be","VB",2,3
"495","at","IN",2,3
"496","ease","NN",4,3
"497","against","IN",7,3
"498","organized","VBN",9,3
"499","wrong","JJ",5,3
"500","it","PP",2,3
"501","is","VBZ",2,3
"502","in","IN",2,3
"503","this","DT",4,3
"504","spirit","NN",6,3
"505","and","CC",3,3
"506","with","IN",4,3
"507","this","DT",4,3
"508","thought","NN",7,3
"509","that","IN",4,3
"510","we","PP",2,3
"511","have","VBP",4,3
"512","grown","VBN",5,3
"513","more","JJR",4,3
"514","and","CC",3,3
"515","more","JJR",4,3
"516","aware","JJ",5,3
"517","more","RBR",4,3
"518","and","CC",3,3
"519","more","RBR",4,3
"520","certain","JJ",7,3
"521","that","IN",4,3
"522","the","DT",3,3
"523","part","NN",4,3
"524","we","PP",2,3
"525","wished","VBD",6,3
"526","to","TO",2,3
"527","play","VB",4,3
"528","was","VBD",3,3
"529","the","DT",3,3
"530","part","NN",4,3
"531","of","IN",2,3
"532","those","DT",5,3
"533","who","WP",3,3
"534","mean","VBP",4,3
"535","to","TO",2,3
"536","vindicate","VB",9,3
"537","and","CC",3,3
"538","fortify","VB",7,3
"539","peace","NN",5,3
"540","we","PP",2,3
"541","have","VBP",4,3
"542","been","VBN",4,3
"543","obliged","VBN",7,3
"544","to","TO",2,3
"545","arm","VB",3,3
"546","ourselves","PP",9,3
"547","to","TO",2,3
"548","make","VB",4,3
"549","good","JJ",4,3
"550","our","PP$",3,3
"551","claim","NN",5,3
"552","to","TO",2,3
"553","a","DT",1,3
"554","certain","JJ",7,3
"555","minimum","NN",7,3
"556","of","IN",2,3
"557","right","NN",5,3
"558","and","CC",3,3
"559","of","IN",2,3
"560","freedom","NN",7,3
"561","of","IN",2,3
"562","action","NN",6,3
"563","we","PP",2,3
"564","stand","VBP",5,3
"565","firm","NN",4,3
"566","in","IN",2,3
"567","armed","JJ",5,3
"568","neutrality","NN",10,3
"569","since","IN",5,3
"570","it","PP",2,3
"571","seems","VBZ",5,3
"572","that","IN",4,3
"573","in","IN",2,3
"574","no","DT",2,3
"575","other","JJ",5,3
"576","way","NN",3,3
"577","we","PP",2,3
"578","can","MD",3,3
"579","demonstrate","VB",11,3
"580","what","WP",4,3
"581","it","PP",2,3
"582","is","VBZ",2,3
"583","we","PP",2,3
"584","insist","VBP",6,3
"585","upon","RP",4,3
"586","and","CC",3,3
"587","cannot","MD",6,3
"588","forget","VB",6,3
"589","we","PP",2,3
"590","may","MD",3,3
"591","even","RB",4,3
"592","be","VB",2,3
"593","drawn","VBN",5,3
"594","on","IN",2,3
"595","by","IN",2,3
"596","circumstances","NNS",13,3
"597","not","RB",3,3
"598","by","IN",2,3
"599","our","PP$",3,3
"600","own","JJ",3,3
"601","purpose","NN",7,3
"602","or","CC",2,3
"603","desire","NN",6,3
"604","to","TO",2,3
"605","a","DT",1,3
"606","more","RBR",4,3
"607","active","JJ",6,3
"608","assertion","NN",9,3
"609","of","IN",2,3
"610","our","PP$",3,3
"611","rights","NNS",6,3
"612","as","IN",2,3
"613","we","PP",2,3
"614","see","VBP",3,3
"615","them","PP",4,3
"616","and","CC",3,3
"617","a","DT",1,3
"618","more","RBR",4,3
"619","immediate","JJ",9,3
"620","association","NN",11,3
"621","with","IN",4,3
"622","the","DT",3,3
"623","great","JJ",5,3
"624","struggle","NN",8,3
"625","itself","PP",6,3
"626","but","CC",3,3
"627","nothing","NN",7,3
"628","will","MD",4,3
"629","alter","VB",5,3
"630","our","PP$",3,3
"631","thought","NN",7,3
"632","or","CC",2,3
"633","our","PP$",3,3
"634","purpose","NN",7,3
"635","they","PP",4,3
"636","are","VBP",3,3
"637","too","RB",3,3
"638","clear","JJ",5,3
"639","to","TO",2,3
"640","be","VB",2,3
"641","obscured","VBN",8,3
"642","they","PP",4,3
"643","are","VBP",3,3
"644","too","RB",3,3
"645","deeply","RB",6,3
"646","rooted","VBN",6,3
"647","in","IN",2,3
"648","the","DT",3,3
"649","principles","NNS",10,3
"650","of","IN",2,3
"651","our","PP$",3,3
"652","national","JJ",8,3
"653","life","NN",4,3
"654","to","TO",2,3
"655","be","VB",2,3
"656","altered","VBN",7,3
"657","we","PP",2,3
"658","desire","VBP",6,3
"659","neither","DT",7,3
"660","conquest","NN",8,3
"661","nor","CC",3,3
"662","advantage","NN",9,3
"663","we","PP",2,3
"664","wish","VBP",4,3
"665","nothing","NN",7,3
"666","that","WDT",4,3
"667","can","MD",3,3
"668","be","VB",2,3
"669","had","VBN",3,3
"670","only","RB",4,3
"671","at","IN",2,3
"672","the","DT",3,3
"673","cost","NN",4,3
"674","of","IN",2,3
"675","another","DT",7,3
"676","people","NNS",6,3
"677","we","PP",2,3
"678","always","RB",6,3
"679","professed","VBD",9,3
"680","unselfish","JJ",9,3
"681","purpose","NN",7,3
"682","and","CC",3,3
"683","we","PP",2,3
"684","covet","VBP",5,3
"685","the","DT",3,3
"686","opportunity","NN",11,3
"687","to","TO",2,3
"688","prove","VB",5,3
"689","our","PP$",3,3
"690","professions","NNS",11,3
"691","are","VBP",3,3
"692","sincere","JJ",7,3
"693","there","EX",5,3
"694","are","VBP",3,3
"695","many","JJ",4,3
"696","things","NNS",6,3
"697","still","RB",5,3
"698","to","TO",2,3
"699","be","VB",2,3
"700","done","VBN",4,3
"701","at","IN",2,3
"702","home","NN",4,3
"703","to","TO",2,3
"704","clarify","VB",7,3
"705","our","PP$",3,3
"706","own","JJ",3,3
"707","politics","NNS",8,3
"708","and","CC",3,3
"709","add","VB",3,3
"710","new","JJ",3,3
"711","vitality","NN",8,3
"712","to","TO",2,3
"713","the","DT",3,3
"714","industrial","JJ",10,3
"715","processes","NNS",9,3
"716","of","IN",2,3
"717","our","PP$",3,3
"718","own","JJ",3,3
"719","life","NN",4,3
"720","and","CC",3,3
"721","we","PP",2,3
"722","shall","MD",5,3
"723","do","VB",2,3
"724","them","PP",4,3
"725","as","IN",2,3
"726","time","NN",4,3
"727","and","CC",3,3
"728","opportunity","NN",11,3
"729","serve","VBP",5,3
"730","but","CC",3,3
"731","we","PP",2,3
"732","realize","VBP",7,3
"733","that","IN",4,3
"734","the","DT",3,3
"735","greatest","JJS",8,3
"736","things","NNS",6,3
"737","that","WDT",4,3
"738","remain","VBP",6,3
"739","to","TO",2,3
"740","be","VB",2,3
"741","done","VBN",4,3
"742","must","MD",4,3
"743","be","VB",2,3
"744","done","VBN",4,3
"745","with","IN",4,3
"746","the","DT",3,3
"747","whole","JJ",5,3
"748","world","NN",5,3
"749","for","IN",3,3
"750","stage","NN",5,3
"751","and","CC",3,3
"752","in","IN",2,3
"753","cooperation","NN",11,3
"754","with","IN",4,3
"755","the","DT",3,3
"756","wide","JJ",4,3
"757","and","CC",3,3
"758","universal","JJ",9,3
"759","forces","NNS",6,3
"760","of","IN",2,3
"761","mankind","NN",7,3
"762","and","CC",3,3
"763","we","PP",2,3
"764","are","VBP",3,3
"765","making","VBG",6,3
"766","our","PP$",3,3
"767","spirits","NNS",7,3
"768","ready","JJ",5,3
"769","for","IN",3,3
"770","those","DT",5,3
"771","things","NNS",6,3
"772","we","PP",2,3
"773","are","VBP",3,3
"774","provincials","NNS",11,3
"775","no","RB",2,3
"776","longer","RBR",6,3
"777","the","DT",3,3
"778","tragic","JJ",6,3
"779","events","NNS",6,3
"780","of","IN",2,3
"781","the","DT",3,3
"782","thirty","CD",6,3
"783","months","NNS",6,3
"784","of","IN",2,3
"785","vital","JJ",5,3
"786","turmoil","NN",7,3
"787","through","IN",7,3
"788","which","WDT",5,3
"789","we","PP",2,3
"790","have","VBP",4,3
"791","just","RB",4,3
"792","passed","VBN",6,3
"793","have","VBP",4,3
"794","made","VBN",4,3
"795","us","PP",2,3
"796","citizens","NNS",8,3
"797","of","IN",2,3
"798","the","DT",3,3
"799","world","NN",5,3
"800","there","EX",5,3
"801","can","MD",3,3
"802","be","VB",2,3
"803","no","RB",2,3
"804","turning","VBG",7,3
"805","back","RB",4,3
"806","our","PP$",3,3
"807","own","JJ",3,3
"808","fortunes","NNS",8,3
"809","as","IN",2,3
"810","a","DT",1,3
"811","nation","NN",6,3
"812","are","VBP",3,3
"813","involved","VBN",8,3
"814","whether","IN",7,3
"815","we","PP",2,3
"816","would","MD",5,3
"817","have","VB",4,3
"818","it","PP",2,3
"819","so","RB",2,3
"820","or","CC",2,3
"821","not","RB",3,3
"822","and","CC",3,3
"823","yet","RB",3,3
"824","we","PP",2,3
"825","are","VBP",3,3
"826","not","RB",3,3
"827","the","DT",3,3
"828","less","JJR",4,3
"829","americans","NNS",9,3
"830","on","IN",2,3
"831","that","DT",4,3
"832","account","NN",7,3
"833","we","PP",2,3
"834","shall","MD",5,3
"835","be","VB",2,3
"836","the","DT",3,3
"837","more","JJR",4,3
"838","american","NN",8,3
"839","if","IN",2,3
"840","we","PP",2,3
"841","but","CC",3,3
"842","remain","VB",6,3
"843","true","JJ",4,3
"844","to","TO",2,3
"845","the","DT",3,3
"846","principles","NNS",10,3
"847","in","IN",2,3
"848","which","WDT",5,3
"849","we","PP",2,3
"850","have","VBP",4,3
"851","been","VBN",4,3
"852","bred","VBN",4,3
