"","単語","品詞名","文字数","出現数"
"1","my","PP$",2,1
"2","countrymen","NNS",10,1
"3",":","SENT",1,1
"4","when","WRB",4,2
"5","one","CD",3,2
"6","surveys","NNS",7,2
"7","the","DT",3,2
"8","world","NN",5,2
"9","about","IN",5,2
"10","him","PP",3,2
"11","after","IN",5,2
"12","the","DT",3,2
"13","great","JJ",5,2
"14","storm","NN",5,2
"15","noting","VBG",6,2
"16","the","DT",3,2
"17","marks","NNS",5,2
"18","of","IN",2,2
"19","destruction","NN",11,2
"20","and","CC",3,2
"21","yet","RB",3,2
"22","rejoicing","VBG",9,2
"23","in","IN",2,2
"24","the","DT",3,2
"25","ruggedness","NN",10,2
"26","of","IN",2,2
"27","the","DT",3,2
"28","things","NNS",6,2
"29","which","WDT",5,2
"30","withstood","VBD",9,2
"31","it","PP",2,2
"32","if","IN",2,2
"33","he","PP",2,2
"34","is","VBZ",2,2
"35","an","DT",2,2
"36","american","NN",8,2
"37","he","PP",2,2
"38","breathes","VBZ",8,2
"39","the","DT",3,2
"40","clarified","VBN",9,2
"41","atmosphere","NN",10,2
"42","with","IN",4,2
"43","a","DT",1,2
"44","strange","JJ",7,2
"45","mingling","VBG",8,2
"46","of","IN",2,2
"47","regret","NN",6,2
"48","and","CC",3,2
"49","new","JJ",3,2
"50","hope","VBP",4,2
"51","we","PP",2,2
"52","have","VBP",4,2
"53","seen","VBN",4,2
"54","a","DT",1,2
"55","world","NN",5,2
"56","passion","NN",7,2
"57","spend","VBP",5,2
"58","its","PP$",3,2
"59","fury","NN",4,2
"60","but","CC",3,2
"61","we","PP",2,2
"62","contemplate","VBP",11,2
"63","our","PP$",3,2
"64","republic","NN",8,2
"65","unshaken","JJ",8,2
"66","and","CC",3,2
"67","hold","VB",4,2
"68","our","PP$",3,2
"69","civilization","NN",12,2
"70","secure","JJ",6,2
"71","liberty","NN",7,2
"72","liberty","NN",7,2
"73","within","IN",6,2
"74","the","DT",3,2
"75","law","NN",3,2
"76","and","CC",3,2
"77","civilization","NN",12,2
"78","are","VBP",3,2
"79","inseparable","JJ",11,2
"80","and","CC",3,2
"81","though","RB",6,2
"82","both","CC",4,2
"83","were","VBD",4,2
"84","threatened","VBN",10,2
"85","we","PP",2,2
"86","find","VBP",4,2
"87","them","PP",4,2
"88","now","RB",3,2
"89","secure","JJ",6,2
"90",";","SENT",1,2
"91","and","CC",3,3
"92","there","EX",5,3
"93","comes","VBZ",5,3
"94","to","TO",2,3
"95","americans","NNS",9,3
"96","the","DT",3,3
"97","profound","JJ",8,3
"98","assurance","NN",9,3
"99","that","IN",4,3
"100","our","PP$",3,3
"101","representative","JJ",14,3
"102","government","NN",10,3
"103","is","VBZ",2,3
"104","the","DT",3,3
"105","highest","JJS",7,3
"106","expression","NN",10,3
"107","and","CC",3,3
