"","単語","品詞名","文字数","出現数"
"1","no","DT",2,1
"2","one","CD",3,1
"3","can","MD",3,1
"4","contemplate","VB",11,1
"5","current","JJ",7,1
"6","conditions","NNS",10,1
"7","without","IN",7,1
"8","finding","VBG",7,1
"9","much","RB",4,1
"10","that","WDT",4,1
"11","is","VBZ",2,1
"12","satisfying","VBG",10,1
"13","and","CC",3,1
"14","still","RB",5,1
"15","more","JJR",4,1
"16","that","WDT",4,1
"17","is","VBZ",2,1
"18","encouraging","VBG",11,1
"19","our","PP$",3,1
"20","own","JJ",3,1
"21","country","NN",7,1
"22","is","VBZ",2,1
"23","leading","VBG",7,1
"24","the","DT",3,1
"25","world","NN",5,1
"26","in","IN",2,1
"27","the","DT",3,1
"28","general","JJ",7,1
"29","readjustment","NN",12,1
"30","to","TO",2,1
"31","the","DT",3,1
"32","results","NNS",7,1
"33","of","IN",2,1
"34","the","DT",3,1
"35","great","JJ",5,1
"36","conflict","NN",8,1
"37","many","JJ",4,1
"38","of","IN",2,1
"39","its","PP$",3,1
"40","burdens","NNS",7,1
"41","will","MD",4,1
"42","bear","VB",4,1
"43","heavily","RB",7,1
"44","upon","IN",4,1
"45","us","PP",2,1
"46","for","IN",3,1
"47","years","NNS",5,1
"48","and","CC",3,1
"49","the","DT",3,1
"50","secondary","JJ",9,1
"51","and","CC",3,1
"52","indirect","JJ",8,1
"53","effects","NNS",7,1
"54","we","PP",2,1
"55","must","MD",4,1
"56","expect","VB",6,1
"57","to","TO",2,1
"58","experience","VB",10,1
"59","for","IN",3,1
"60","some","DT",4,1
"61","time","NN",4,1
"62","but","CC",3,1
"63","we","PP",2,1
"64","are","VBP",3,1
"65","beginning","VBG",9,1
"66","to","TO",2,1
"67","comprehend","VB",10,1
"68","more","RBR",4,1
"69","definitely","RB",10,1
"70","what","WP",4,1
"71","course","NN",6,1
"72","should","MD",6,1
"73","be","VB",2,1
"74","pursued","VBN",7,1
"75","what","WDT",4,1
"76","remedies","NNS",8,1
"77","ought","MD",5,1
"78","to","TO",2,1
"79","be","VB",2,1
"80","applied","VBN",7,1
"81","what","WDT",4,1
"82","actions","NNS",7,1
"83","should","MD",6,1
"84","be","VB",2,1
"85","taken","VBN",5,1
"86","for","IN",3,1
"87","our","PP$",3,1
"88","deliverance","NN",11,1
"89","and","CC",3,1
"90","are","VBP",3,1
"91","clearly","RB",7,1
"92","manifesting","VBG",11,1
"93","a","DT",1,1
"94","determined","VBN",10,1
"95","will","NN",4,1
"96","faithfully","RB",10,1
"97","and","CC",3,1
"98","conscientiously","RB",15,1
"99","to","TO",2,1
"100","adopt","VB",5,1
"101","these","DT",5,1
"102","methods","NNS",7,1
"103","of","IN",2,1
"104","relief","NN",6,1
"105","already","RB",7,1
"106","we","PP",2,1
"107","have","VBP",4,1
"108","sufficiently","RB",12,1
"109","rearranged","VBN",10,1
"110","our","PP$",3,1
"111","domestic","JJ",8,1
"112","affairs","NNS",7,1
"113","so","IN",2,1
"114","that","DT",4,1
"115","confidence","NN",10,1
"116","has","VBZ",3,1
"117","returned","VBN",8,1
"118","business","NN",8,1
"119","has","VBZ",3,1
"120","revived","VBN",7,1
"121","and","CC",3,1
"122","we","PP",2,1
"123","appear","VBP",6,1
"124","to","TO",2,1
"125","be","VB",2,1
"126","entering","VBG",8,1
"127","an","DT",2,1
"128","era","NN",3,1
"129","of","IN",2,1
"130","prosperity","NN",10,1
"131","which","WDT",5,1
"132","is","VBZ",2,1
"133","gradually","RB",9,1
"134","reaching","VBG",8,1
"135","into","IN",4,1
"136","every","DT",5,1
"137","part","NN",4,1
"138","of","IN",2,1
"139","the","DT",3,1
"140","nation","NN",6,1
"141","realizing","VBG",9,1
"142","that","IN",4,1
"143","we","PP",2,1
"144","can","MD",3,1
"145","not","RB",3,1
"146","live","VB",4,1
"147","unto","IN",4,1
"148","ourselves","PP",9,1
"149","alone","RB",5,1
"150","we","PP",2,1
"151","have","VBP",4,1
"152","contributed","VBN",11,1
"153","of","IN",2,1
"154","our","PP$",3,1
"155","resources","NNS",9,1
"156","and","CC",3,1
"157","our","PP$",3,1
"158","counsel","NN",7,1
"159","to","TO",2,1
"160","the","DT",3,1
"161","relief","NN",6,1
"162","of","IN",2,1
"163","the","DT",3,1
"164","suffering","NN",9,1
"165","and","CC",3,1
"166","the","DT",3,1
"167","settlement","NN",10,1
"168","of","IN",2,1
"169","the","DT",3,1
"170","disputes","NNS",8,1
"171","among","IN",5,1
"172","the","DT",3,1
"173","european","JJ",8,1
"174","nations","NNS",7,1
"175","because","IN",7,1
"176","of","IN",2,1
"177","what","WP",4,1
"178","america","NP",7,1
"179","is","VBZ",2,1
"180","and","CC",3,1
"181","what","WP",4,1
"182","america","NN",7,1
"183","has","VBZ",3,1
"184","done","VBN",4,1
"185","a","DT",1,1
"186","firmer","JJR",6,1
"187","courage","NN",7,1
"188","a","DT",1,1
"189","higher","JJR",6,1
"190","hope","NN",4,1
"191","inspires","VBZ",8,1
"192","the","DT",3,1
"193","heart","NN",5,1
"194","of","IN",2,1
"195","all","DT",3,1
"196","humanity","NN",8,1
"197","these","DT",5,1
"198","results","NNS",7,1
"199","have","VBP",4,1
"200","not","RB",3,1
"201","occurred","VBN",8,1
"202","by","IN",2,1
"203","mere","JJ",4,1
"204","chance","NN",6,1
"205","they","PP",4,1
"206","have","VBP",4,1
"207","been","VBN",4,1
"208","secured","VBN",7,1
"209","by","IN",2,1
"210","a","DT",1,1
"211","constant","JJ",8,1
"212","and","CC",3,1
"213","enlightened","JJ",11,1
"214","effort","NN",6,1
"215","marked","VBN",6,1
"216","by","IN",2,1
"217","many","JJ",4,1
"218","sacrifices","NNS",10,1
"219","and","CC",3,1
"220","extending","VBG",9,1
"221","over","IN",4,1
"222","many","JJ",4,1
"223","generations","NNS",11,1
"224","we","PP",2,1
"225","can","MD",3,1
"226","not","RB",3,1
"227","continue","VB",8,1
"228","these","DT",5,1
"229","brilliant","JJ",9,1
"230","successes","NNS",9,1
"231","in","IN",2,1
"232","the","DT",3,1
"233","future","NN",6,1
"234","unless","IN",6,1
