"","単語","品詞名","文字数","出現数"
"1","my","PP$",2,1
"2","countrymen","NNS",10,1
"3",":","SENT",1,1
"4","this","DT",4,2
"5","occasion","NN",8,2
"6","is","VBZ",2,2
"7","not","RB",3,2
"8","alone","RB",5,2
"9","the","DT",3,2
"10","administration","NN",14,2
"11","of","IN",2,2
"12","the","DT",3,2
"13","most","RBS",4,2
"14","sacred","JJ",6,2
"15","oath","NN",4,2
"16","which","WDT",5,2
"17","can","MD",3,2
"18","be","VB",2,2
"19","assumed","VBN",7,2
"20","by","IN",2,2
"21","an","DT",2,2
"22","american","JJ",8,2
"23","citizen","NN",7,2
"24","it","PP",2,2
"25","is","VBZ",2,2
"26","a","DT",1,2
"27","dedication","NN",10,2
"28","and","CC",3,2
"29","consecration","NN",12,2
"30","under","IN",5,2
"31","god","NN",3,2
"32","to","TO",2,2
"33","the","DT",3,2
"34","highest","JJS",7,2
"35","office","NN",6,2
"36","in","IN",2,2
"37","service","NN",7,2
"38","of","IN",2,2
"39","our","PP$",3,2
"40","people","NNS",6,2
"41","i","NNS",1,2
"42","assume","VBP",6,2
"43","this","DT",4,2
"44","trust","NN",5,2
"45","in","IN",2,2
"46","the","DT",3,2
"47","humility","NN",8,2
"48","of","IN",2,2
"49","knowledge","NN",9,2
"50","that","IN",4,2
"51","only","RB",4,2
"52","through","IN",7,2
"53","the","DT",3,2
"54","guidance","NN",8,2
"55","of","IN",2,2
"56","almighty","JJ",8,2
"57","providence","NN",10,2
"58","can","MD",3,2
"59","i","NP",1,2
"60","hope","VBP",4,2
"61","to","TO",2,2
"62","discharge","VB",9,2
"63","its","PP$",3,2
"64","ever","RB",4,2
"65","increasing","JJ",10,2
"66","burdens","NNS",7,2
"67","it","PP",2,2
"68","is","VBZ",2,2
"69","in","IN",2,2
"70","keeping","VBG",7,2
"71","with","IN",4,2
"72","tradition","NN",9,2
"73","throughout","IN",10,2
"74","our","PP$",3,2
"75","history","NN",7,2
"76","that","IN",4,2
"77","i","NP",1,2
"78","should","MD",6,2
"79","express","VB",7,2
"80","simply","RB",6,2
"81","and","CC",3,2
"82","directly","RB",8,2
"83","the","DT",3,2
"84","opinions","NNS",8,2
"85","which","WDT",5,2
"86","i","NNS",1,2
"87","hold","VBP",4,2
"88","concerning","VBG",10,2
"89","some","DT",4,2
"90","of","IN",2,2
"91","the","DT",3,2
"92","matters","NNS",7,2
"93","of","IN",2,2
"94","present","JJ",7,2
"95","importance","NN",10,2
"96","our","PP$",3,2
"97","progress","NN",8,2
"98","if","IN",2,2
"99","we","PP",2,2
"100","survey","VBP",6,2
"101","the","DT",3,2
"102","situation","NN",9,2
"103","of","IN",2,2
"104","our","PP$",3,2
"105","nation","NN",6,2
"106","both","CC",4,2
"107","at","IN",2,2
"108","home","NN",4,2
