"","単語","品詞名","文字数","出現数"
"1","on","IN",2,1
"2","each","DT",4,1
"3","national","JJ",8,1
"4","day","NN",3,1
"5","of","IN",2,1
"6","inauguration","NN",12,1
"7","since","IN",5,1
"8","1789","CD",4,1
"9","the","DT",3,1
"10","people","NNS",6,1
"11","have","VBP",4,1
"12","renewed","VBN",7,1
"13","their","PP$",5,1
"14","sense","NN",5,1
"15","of","IN",2,1
"16","dedication","NN",10,1
"17","to","TO",2,1
"18","the","DT",3,1
"19","united","VBN",6,1
"20","states","NNS",6,1
"21","in","IN",2,1
"22","washington","NN",10,1
"23","day","NN",3,1
"24","the","DT",3,1
"25","task","NN",4,1
"26","of","IN",2,1
"27","the","DT",3,1
"28","people","NNS",6,1
"29","was","VBD",3,1
"30","to","TO",2,1
"31","create","VB",6,1
"32","and","CC",3,1
"33","weld","VB",4,1
"34","together","RB",8,1
"35","a","DT",1,1
"36","nation","NN",6,1
"37","in","IN",2,1
"38","lincoln","NN",7,1
"39","day","NN",3,1
"40","the","DT",3,1
"41","task","NN",4,1
"42","of","IN",2,1
"43","the","DT",3,1
"44","people","NNS",6,1
"45","was","VBD",3,1
"46","to","TO",2,1
"47","preserve","VB",8,1
"48","that","DT",4,1
"49","nation","NN",6,1
"50","from","IN",4,1
"51","disruption","NN",10,1
"52","from","IN",4,1
"53","within","IN",6,1
"54","in","IN",2,1
"55","this","DT",4,1
"56","day","NN",3,1
"57","the","DT",3,1
"58","task","NN",4,1
"59","of","IN",2,1
"60","the","DT",3,1
"61","people","NNS",6,1
"62","is","VBZ",2,1
"63","to","TO",2,1
"64","save","VB",4,1
"65","that","DT",4,1
"66","nation","NN",6,1
"67","and","CC",3,1
"68","its","PP$",3,1
"69","institutions","NNS",12,1
"70","from","IN",4,1
"71","disruption","NN",10,1
"72","from","IN",4,1
"73","without","IN",7,1
"74","to","TO",2,1
"75","us","PP",2,1
"76","there","RB",5,1
"77","has","VBZ",3,1
"78","come","VBN",4,1
"79","a","DT",1,1
"80","time","NN",4,1
"81","in","IN",2,1
"82","the","DT",3,1
"83","midst","NN",5,1
"84","of","IN",2,1
"85","swift","JJ",5,1
"86","happenings","NNS",10,1
"87","to","TO",2,1
"88","pause","VB",5,1
"89","for","IN",3,1
"90","a","DT",1,1
"91","moment","NN",6,1
"92","and","CC",3,1
"93","take","VB",4,1
"94","stock","NN",5,1
"95","to","TO",2,1
"96","recall","VB",6,1
"97","what","WP",4,1
"98","our","PP$",3,1
"99","place","NN",5,1
"100","in","IN",2,1
"101","history","NN",7,1
"102","has","VBZ",3,1
"103","been","VBN",4,1
"104","and","CC",3,1
"105","to","TO",2,1
"106","rediscover","VB",10,1
"107","what","WP",4,1
"108","we","PP",2,1
"109","are","VBP",3,1
"110","and","CC",3,1
"111","what","WP",4,1
"112","we","PP",2,1
"113","may","MD",3,1
"114","be","VB",2,1
"115","if","IN",2,1
"116","we","PP",2,1
"117","do","VBP",2,1
"118","not","RB",3,1
"119","we","PP",2,1
"120","risk","VBP",4,1
"121","the","DT",3,1
"122","real","JJ",4,1
"123","peril","NN",5,1
"124","of","IN",2,1
"125","inaction","NN",8,1
"126","lives","NNS",5,1
"127","of","IN",2,1
"128","nations","NNS",7,1
"129","are","VBP",3,1
"130","determined","VBN",10,1
"131","not","RB",3,1
"132","by","IN",2,1
"133","the","DT",3,1
"134","count","NN",5,1
"135","of","IN",2,1
"136","years","NNS",5,1
"137","but","CC",3,1
"138","by","IN",2,1
"139","the","DT",3,1
"140","lifetime","NN",8,1
"141","of","IN",2,1
"142","the","DT",3,1
"143","human","JJ",5,1
"144","spirit","NN",6,1
"145","the","DT",3,1
"146","life","NN",4,1
"147","of","IN",2,1
"148","a","DT",1,1
"149","man","NN",3,1
"150","is","VBZ",2,1
"151","three","CD",5,1
"152","score","NN",5,1
"153","years","NNS",5,1
"154","and","CC",3,1
"155","ten","CD",3,1
"156",":","SENT",1,1
"157","a","DT",1,2
"158","little","RB",6,2
"159","more","JJR",4,2
"160","a","DT",1,2
"161","little","RB",6,2
"162","less","RBR",4,2
"163","the","DT",3,2
"164","life","NN",4,2
"165","of","IN",2,2
"166","a","DT",1,2
"167","nation","NN",6,2
"168","is","VBZ",2,2
"169","the","DT",3,2
"170","fullness","NN",8,2
"171","of","IN",2,2
"172","the","DT",3,2
"173","measure","NN",7,2
"174","of","IN",2,2
"175","its","PP$",3,2
"176","will","NN",4,2
"177","to","TO",2,2
"178","live","VB",4,2
"179","there","EX",5,2
"180","are","VBP",3,2
"181","men","NNS",3,2
"182","who","WP",3,2
"183","doubt","VBP",5,2
"184","this","RB",4,2
"185","there","EX",5,2
"186","are","VBP",3,2
"187","men","NNS",3,2
"188","who","WP",3,2
"189","believe","VBP",7,2
"190","that","DT",4,2
"191","democracy","NN",9,2
"192","as","IN",2,2
"193","a","DT",1,2
"194","form","NN",4,2
"195","of","IN",2,2
"196","government","NN",10,2
"197","and","CC",3,2
"198","a","DT",1,2
"199","frame","NN",5,2
"200","of","IN",2,2
"201","life","NN",4,2
"202","is","VBZ",2,2
"203","limited","VBN",7,2
"204","or","CC",2,2
"205","measured","VBN",8,2
"206","by","IN",2,2
"207","a","DT",1,2
"208","kind","NN",4,2
"209","of","IN",2,2
"210","mystical","JJ",8,2
"211","and","CC",3,2
"212","artificial","JJ",10,2
"213","fate","NN",4,2
"214","that","IN",4,2
"215","for","IN",3,2
"216","some","DT",4,2
"217","unexplained","JJ",11,2
"218","reason","NN",6,2
"219","tyranny","NN",7,2
"220","and","CC",3,2
"221","slavery","NN",7,2
"222","have","VBP",4,2
"223","become","VBN",6,2
"224","the","DT",3,2
"225","surging","JJ",7,2
"226","wave","NN",4,2
"227","of","IN",2,2
"228","the","DT",3,2
"229","future","NN",6,2
"230","and","CC",3,2
"231","that","IN",4,2
"232","freedom","NN",7,2
"233","is","VBZ",2,2
"234","an","DT",2,2
