"","単語","品詞名","文字数","出現数"
"1","mr","NP",2,NA
"2","vice","JJ",4,NA
"3","president","NN",9,NA
"4","mr","NN",2,NA
"5","chief","JJ",5,NA
"6","justice","NN",7,NA
"7","and","CC",3,NA
"8","fellow","JJ",6,NA
"9","citizens","NNS",8,NA
"10","i","NNS",1,NA
"11","accept","VBP",6,NA
"12","with","IN",4,NA
"13","humility","NN",8,NA
"14","the","DT",3,NA
"15","honor","NN",5,NA
"16","which","WDT",5,NA
"17","the","DT",3,NA
"18","american","JJ",8,NA
"19","people","NNS",6,NA
"20","have","VBP",4,NA
"21","conferred","VBN",9,NA
"22","upon","IN",4,NA
"23","me","FW",2,NA
"24","i","FW",1,NA
"25","accept","VB",6,NA
"26","it","PP",2,NA
"27","with","IN",4,NA
"28","a","DT",1,NA
"29","deep","JJ",4,NA
"30","resolve","NN",7,NA
"31","to","TO",2,NA
"32","do","VB",2,NA
"33","all","PDT",3,NA
"34","that","DT",4,NA
"35","i","NP",1,NA
"36","can","MD",3,NA
"37","for","IN",3,NA
"38","the","DT",3,NA
"39","welfare","NN",7,NA
"40","of","IN",2,NA
"41","this","DT",4,NA
"42","nation","NN",6,NA
"43","and","CC",3,NA
"44","for","IN",3,NA
"45","the","DT",3,NA
"46","peace","NN",5,NA
"47","of","IN",2,NA
"48","the","DT",3,NA
"49","world","NN",5,NA
"50","in","IN",2,NA
"51","performing","VBG",10,NA
"52","the","DT",3,NA
"53","duties","NNS",6,NA
"54","of","IN",2,NA
"55","my","PP$",2,NA
"56","office","NN",6,NA
"57","i","NNS",1,NA
"58","need","VBP",4,NA
"59","the","DT",3,NA
"60","help","NN",4,NA
"61","and","CC",3,NA
"62","prayers","NNS",7,NA
"63","of","IN",2,NA
"64","every","DT",5,NA
"65","one","CD",3,NA
"66","of","IN",2,NA
"67","you","PP",3,NA
"68","i","NP",1,NA
"69","ask","VB",3,NA
"70","for","IN",3,NA
"71","your","PP$",4,NA
"72","encouragement","NN",13,NA
"73","and","CC",3,NA
"74","your","PP$",4,NA
"75","support","NN",7,NA
"76","the","DT",3,NA
"77","tasks","NNS",5,NA
"78","we","PP",2,NA
"79","face","VBP",4,NA
"80","are","VBP",3,NA
"81","difficult","JJ",9,NA
"82","and","CC",3,NA
"83","we","PP",2,NA
"84","can","MD",3,NA
"85","accomplish","VB",10,NA
"86","them","PP",4,NA
"87","only","RB",4,NA
"88","if","IN",2,NA
"89","we","PP",2,NA
"90","work","VBP",4,NA
"91","together","RB",8,NA
"92","each","DT",4,NA
"93","period","NN",6,NA
"94","of","IN",2,NA
"95","our","PP$",3,NA
"96","national","JJ",8,NA
"97","history","NN",7,NA
"98","has","VBZ",3,NA
"99","had","VBD",3,NA
"100","its","PP$",3,NA
"101","special","JJ",7,NA
"102","challenges","NNS",10,NA
"103","those","DT",5,NA
"104","that","WDT",4,NA
"105","confront","VBP",8,NA
"106","us","PP",2,NA
"107","now","RB",3,NA
"108","are","VBP",3,NA
"109","as","RB",2,NA
"110","momentous","JJ",9,NA
"111","as","IN",2,NA
"112","any","DT",3,NA
"113","in","IN",2,NA
"114","the","DT",3,NA
"115","past","JJ",4,NA
"116","today","NN",5,NA
"117","marks","VBZ",5,NA
"118","the","DT",3,NA
"119","beginning","NN",9,NA
"120","not","RB",3,NA
"121","only","RB",4,NA
