"","単語","品詞名","文字数","出現数"
"1","the","DT",3,1
"2","price","NN",5,1
"3","of","IN",2,1
"4","peace","NN",5,1
"5","mr","NN",2,1
"6","chairman","NN",8,1
"7","mr","NN",2,1
"8","vice","JJ",4,1
"9","president","NN",9,1
"10","mr","NN",2,1
"11","chief","JJ",5,1
"12","justice","NN",7,1
"13","mr","NN",2,1
"14","speaker","NN",7,1
"15","members","NNS",7,1
"16","of","IN",2,1
"17","my","PP$",2,1
"18","family","NN",6,1
"19","and","CC",3,1
"20","friends","NNS",7,1
"21","my","PP$",2,1
"22","countrymen","NNS",10,1
"23","and","CC",3,1
"24","the","DT",3,1
"25","friends","NNS",7,1
"26","of","IN",2,1
"27","my","PP$",2,1
"28","country","NN",7,1
"29","wherever","WRB",8,1
"30","they","PP",4,1
"31","may","MD",3,1
"32","be","VB",2,1
"33","we","PP",2,1
"34","meet","VBP",4,1
"35","again","RB",5,1
"36","as","RB",2,1
"37","upon","IN",4,1
"38","a","DT",1,1
"39","like","JJ",4,1
"40","moment","NN",6,1
"41","four","CD",4,1
"42","years","NNS",5,1
"43","ago","RB",3,1
"44","and","CC",3,1
"45","again","RB",5,1
"46","you","PP",3,1
"47","have","VBP",4,1
"48","witnessed","VBN",9,1
"49","my","PP$",2,1
"50","solemn","JJ",6,1
"51","oath","NN",4,1
"52","of","IN",2,1
"53","service","NN",7,1
"54","to","TO",2,1
"55","you","PP",3,1
"56","i","NNS",1,1
"57","too","RB",3,1
"58","am","VBP",2,1
"59","a","DT",1,1
"60","witness","NN",7,1
"61","today","NN",5,1
"62","testifying","VBG",10,1
"63","in","IN",2,1
"64","your","PP$",4,1
"65","name","NN",4,1
"66","to","TO",2,1
"67","the","DT",3,1
"68","principles","NNS",10,1
"69","and","CC",3,1
"70","purposes","NNS",8,1
"71","to","TO",2,1
"72","which","WDT",5,1
"73","we","PP",2,1
"74","as","IN",2,1
"75","a","DT",1,1
"76","people","NNS",6,1
"77","are","VBP",3,1
"78","pledged","VBN",7,1
"79","before","IN",6,1
"80","all","DT",3,1
"81","else","RB",4,1
"82","we","PP",2,1
"83","seek","VBP",4,1
"84","upon","IN",4,1
"85","our","PP$",3,1
"86","common","JJ",6,1
"87","labor","NN",5,1
"88","as","IN",2,1
"89","a","DT",1,1
"90","nation","NN",6,1
"91","the","DT",3,1
"92","blessings","NNS",9,1
"93","of","IN",2,1
"94","almighty","JJ",8,1
"95","god","NN",3,1
"96","and","CC",3,1
"97","the","DT",3,1
"98","hopes","NNS",5,1
"99","in","IN",2,1
"100","our","PP$",3,1
"101","hearts","NNS",6,1
"102","fashion","VB",7,1
"103","the","DT",3,1
"104","deepest","JJS",7,1
"105","prayers","NNS",7,1
"106","of","IN",2,1
"107","our","PP$",3,1
"108","whole","JJ",5,1
"109","people","NNS",6,1
"110","may","MD",3,1
"111","we","PP",2,1
"112","pursue","VB",6,1
"113","the","DT",3,1
"114","right","NN",5,1
"115","without","IN",7,1
"116","self","NN",4,1
"117","righteousness","NN",13,1
"118","may","MD",3,1
"119","we","PP",2,1
"120","know","VB",4,1
"121","unity","NN",5,1
"122","without","IN",7,1
"123","conformity","NN",10,1
"124","may","MD",3,1
"125","we","PP",2,1
"126","grow","VB",4,1
"127","in","IN",2,1
"128","strength","NN",8,1
"129","without","IN",7,1
"130","pride","NN",5,1
"131","in","IN",2,1
"132","self","NN",4,1
"133","may","MD",3,1
"134","we","PP",2,1
"135","in","IN",2,1
"136","our","PP$",3,1
"137","dealings","NNS",8,1
"138","with","IN",4,1
"139","all","DT",3,1
"140","peoples","NNS",7,1
"141","of","IN",2,1
"142","the","DT",3,1
"143","earth","NN",5,1
"144","ever","RB",4,1
"145","speak","VBP",5,1
"146","truth","NN",5,1
"147","and","CC",3,1
"148","serve","VB",5,1
"149","justice","NN",7,1
"150","and","CC",3,1
"151","so","RB",2,1
"152","shall","MD",5,1
"153","america","NN",7,1
"154","in","IN",2,1
"155","the","DT",3,1
"156","sight","NN",5,1
"157","of","IN",2,1
"158","all","DT",3,1
"159","men","NNS",3,1
"160","of","IN",2,1
