"","単語","品詞名","文字数","出現数"
"1","vice","JJ",4,1
"2","president","NN",9,1
"3","johnson","NN",7,1
"4","mr","NN",2,1
"5","speaker","NN",7,1
"6","mr","NN",2,1
"7","chief","JJ",5,1
"8","justice","NN",7,1
"9","president","NN",9,1
"10","eisenhower","NN",10,1
"11","vice","JJ",4,1
"12","president","NN",9,1
"13","nixon","NN",5,1
"14","president","NN",9,1
"15","truman","NN",6,1
"16","reverend","JJ",8,1
"17","clergy","NN",6,1
"18","fellow","NN",6,1
"19","citizens","NNS",8,1
"20","we","PP",2,1
"21","observe","VBP",7,1
"22","today","RB",5,1
"23","not","RB",3,1
"24","a","DT",1,1
"25","victory","NN",7,1
"26","of","IN",2,1
"27","party","NN",5,1
"28","but","CC",3,1
"29","a","DT",1,1
"30","celebration","NN",11,1
"31","of","IN",2,1
"32","freedom","NN",7,1
"33","symbolizing","VBG",11,1
"34","an","DT",2,1
"35","end","NN",3,1
"36","as","RB",2,1
"37","well","RB",4,1
"38","as","IN",2,1
"39","a","DT",1,1
"40","beginning","NN",9,1
"41","signifying","VBG",10,1
"42","renewal","NN",7,1
"43","as","RB",2,1
"44","well","RB",4,1
"45","as","IN",2,1
"46","change","NN",6,1
"47","for","IN",3,1
"48","i","NP",1,1
"49","have","VBP",4,1
"50","sworn","VBN",5,1
"51","before","IN",6,1
"52","you","PP",3,1
"53","and","CC",3,1
"54","almighty","JJ",8,1
"55","god","NN",3,1
"56","the","DT",3,1
"57","same","JJ",4,1
"58","solemn","JJ",6,1
"59","oath","NN",4,1
"60","our","PP$",3,1
"61","forebears","NNS",9,1
"62","prescribed","VBN",10,1
"63","nearly","RB",6,1
"64","a","DT",1,1
"65","century","NN",7,1
"66","and","CC",3,1
"67","three","CD",5,1
"68","quarters","NNS",8,1
"69","ago","RB",3,1
"70","the","DT",3,1
"71","world","NN",5,1
"72","is","VBZ",2,1
"73","very","RB",4,1
"74","different","JJ",9,1
"75","now","RB",3,1
"76","for","IN",3,1
"77","man","NN",3,1
"78","holds","VBZ",5,1
"79","in","IN",2,1
"80","his","PP$",3,1
"81","mortal","JJ",6,1
"82","hands","NNS",5,1
"83","the","DT",3,1
"84","power","NN",5,1
"85","to","TO",2,1
