"","単語","品詞名","文字数","出現数"
"1","my","PP$",2,1
"2","fellow","JJ",6,1
"3","countrymen","NNS",10,1
"4","on","IN",2,1
"5","this","DT",4,1
"6","occasion","NN",8,1
"7","the","DT",3,1
"8","oath","NN",4,1
"9","i","NNS",1,1
"10","have","VBP",4,1
"11","taken","VBN",5,1
"12","before","IN",6,1
"13","you","PP",3,1
"14","and","CC",3,1
"15","before","IN",6,1
"16","god","NN",3,1
"17","is","VBZ",2,1
"18","not","RB",3,1
"19","mine","JJ",4,1
"20","alone","RB",5,1
"21","but","CC",3,1
"22","ours","PP",4,1
"23","together","RB",8,1
"24","we","PP",2,1
"25","are","VBP",3,1
"26","one","CD",3,1
"27","nation","NN",6,1
"28","and","CC",3,1
"29","one","CD",3,1
"30","people","NNS",6,1
"31","our","PP$",3,1
"32","fate","NN",4,1
"33","as","IN",2,1
"34","a","DT",1,1
"35","nation","NN",6,1
"36","and","CC",3,1
"37","our","PP$",3,1
"38","future","NN",6,1
"39","as","IN",2,1
"40","a","DT",1,1
"41","people","NNS",6,1
"42","rest","VBP",4,1
"43","not","RB",3,1
"44","upon","IN",4,1
"45","one","CD",3,1
"46","citizen","NN",7,1
"47","but","CC",3,1
"48","upon","IN",4,1
"49","all","DT",3,1
"50","citizens","NNS",8,1
"51","this","DT",4,1
"52","is","VBZ",2,1
"53","the","DT",3,1
"54","majesty","NN",7,1
"55","and","CC",3,1
"56","the","DT",3,1
"57","meaning","NN",7,1
"58","of","IN",2,1
"59","this","DT",4,1
"60","moment","NN",6,1
"61","for","IN",3,1
"62","every","DT",5,1
"63","generation","NN",10,1
"64","there","EX",5,1
"65","is","VBZ",2,1
"66","a","DT",1,1
"67","destiny","NN",7,1
"68","for","IN",3,1
"69","some","DT",4,1
"70","history","NN",7,1
"71","decides","VBZ",7,1
"72","for","IN",3,1
"73","this","DT",4,1
"74","generation","NN",10,1
"75","the","DT",3,1
"76","choice","NN",6,1
"77","must","MD",4,1
"78","be","VB",2,1
"79","our","PP$",3,1
"80","own","JJ",3,1
"81","even","RB",4,1
"82","now","RB",3,1
"83","a","DT",1,1
"84","rocket","NN",6,1
"85","moves","NNS",5,1
"86","toward","IN",6,1
"87","mars","NNS",4,1
"88","it","PP",2,1
"89","reminds","VBZ",7,1
"90","us","PP",2,1
"91","that","IN",4,1
"92","the","DT",3,1
"93","world","NN",5,1
"94","will","MD",4,1
"95","not","RB",3,1
"96","be","VB",2,1
"97","the","DT",3,1
"98","same","JJ",4,1
"99","for","IN",3,1
"100","our","PP$",3,1
"101","children","NNS",8,1
"102","or","CC",2,1
"103","even","RB",4,1
"104","for","IN",3,1
"105","ourselves","PP",9,1
"106","m","NN",1,1
"107","a","DT",1,1
"108","short","JJ",5,1
"109","span","NN",4,1
"110","of","IN",2,1
"111","years","NNS",5,1
"112","the","DT",3,1
"113","next","JJ",4,1
"114","man","NN",3,1
"115","to","TO",2,1
"116","stand","VB",5,1
"117","here","RB",4,1
"118","will","MD",4,1
"119","look","VB",4,1
"120","out","RP",3,1
"121","on","IN",2,1
"122","a","DT",1,1
"123","scene","NN",5,1
"124","different","JJ",9,1
"125","from","IN",4,1
"126","our","PP$",3,1
"127","own","JJ",3,1
"128","because","IN",7,1
"129","ours","PP",4,1
"130","is","VBZ",2,1
"131","a","DT",1,1
"132","time","NN",4,1
"133","of","IN",2,1
"134","change","NN",6,1
"135","rapid","JJ",5,1
"136","and","CC",3,1
"137","fantastic","JJ",9,1
"138","change","NN",6,1
"139","bearing","VBG",7,1
"140","the","DT",3,1
"141","secrets","NNS",7,1
"142","of","IN",2,1
"143","nature","NN",6,1
"144","multiplying","VBG",11,1
"145","the","DT",3,1
"146","nations","NNS",7,1
"147","placing","VBG",7,1
"148","in","IN",2,1
"149","uncertain","JJ",9,1
"150","hands","NNS",5,1
"151","new","JJ",3,1
"152","weapons","NNS",7,1
"153","for","IN",3,1
"154","mastery","NN",7,1
"155","and","CC",3,1
"156","destruction","NN",11,1
"157","shaking","VBG",7,1
"158","old","JJ",3,1
"159","values","NNS",6,1
"160","and","CC",3,1
"161","uprooting","VBG",9,1
"162","old","JJ",3,1
"163","ways","NNS",4,1
"164","our","PP$",3,1
"165","destiny","NN",7,1
"166","in","IN",2,1
"167","the","DT",3,1
"168","midst","NN",5,1
"169","of","IN",2,1
"170","change","NN",6,1
"171","will","MD",4,1
"172","rest","VB",4,1
"173","on","IN",2,1
"174","the","DT",3,1
"175","unchanged","JJ",9,1
"176","character","NN",9,1
"177","of","IN",2,1
"178","our","PP$",3,1
"179","people","NNS",6,1
"180","and","CC",3,1
"181","on","IN",2,1
"182","their","PP$",5,1
"183","faith","NN",5,1
"184","the","DT",3,1
"185","american","JJ",8,1
"186","covenant","NN",8,1
"187","they","PP",4,1
"188","came","VBD",4,1
"189","here","RB",4,1
"190","the","DT",3,1
"191","exile","NN",5,1
"192","and","CC",3,1
"193","the","DT",3,1
"194","stranger","NN",8,1
"195","brave","NN",5,1
"196","but","CC",3,1
"197","frightened","VBD",10,1
"198","to","TO",2,1
"199","find","VB",4,1
"200","a","DT",1,1
"201","place","NN",5,1
"202","where","WRB",5,1
"203","a","DT",1,1
"204","man","NN",3,1
"205","could","MD",5,1
"206","be","VB",2,1
"207","his","PP$",3,1
"208","own","JJ",3,1
"209","man","NN",3,1
"210","they","PP",4,1
"211","made","VBD",4,1
"212","a","DT",1,1
"213","covenant","NN",8,1
"214","with","IN",4,1
"215","this","DT",4,1
"216","land","NN",4,1
"217","conceived","VBN",9,1
"218","in","IN",2,1
"219","justice","NN",7,1
"220","written","VBN",7,1
"221","in","IN",2,1
"222","liberty","NN",7,1
"223","bound","VBN",5,1
"224","in","IN",2,1
"225","union","NN",5,1
"226","it","PP",2,1
"227","was","VBD",3,1
"228","meant","VBN",5,1
"229","one","CD",3,1
"230","day","NN",3,1
"231","to","TO",2,1
"232","inspire","VB",7,1
"233","the","DT",3,1
"234","hopes","NNS",5,1
"235","of","IN",2,1
"236","all","DT",3,1
"237","mankind","NN",7,1
"238",";","SENT",1,1
"239","and","CC",3,2
"240","it","PP",2,2
"241","binds","VBZ",5,2
"242","us","PP",2,2
"243","still","RB",5,2
"244","if","IN",2,2
"245","we","PP",2,2
"246","keep","VBP",4,2
"247","its","PP$",3,2
"248","terms","NNS",5,2
"249","we","PP",2,2
"250","shall","MD",5,2
"251","flourish","VB",8,2
"252","justice","NN",7,2
"253","and","CC",3,2
"254","change","VB",6,2
"255","first","JJ",5,2
"256","justice","NN",7,2
"257","was","VBD",3,2
"258","the","DT",3,2
"259","promise","NN",7,2
"260","that","IN",4,2
"261","all","DT",3,2
"262","who","WP",3,2
"263","made","VBD",4,2
"264","the","DT",3,2
"265","journey","NN",7,2
"266","would","MD",5,2
"267","share","VB",5,2
"268","in","IN",2,2
"269","the","DT",3,2
"270","fruits","NNS",6,2
"271","of","IN",2,2
"272","the","DT",3,2
"273","land","NN",4,2
"274","in","IN",2,2
"275","a","DT",1,2
"276","land","NN",4,2
"277","of","IN",2,2
"278","great","JJ",5,2
"279","wealth","NN",6,2
"280","families","NNS",8,2
"281","must","MD",4,2
"282","not","RB",3,2
"283","live","VB",4,2
"284","in","IN",2,2
"285","hopeless","JJ",8,2
"286","poverty","NN",7,2
"287","in","IN",2,2
"288","a","DT",1,2
"289","land","NN",4,2
"290","rich","JJ",4,2
"291","in","IN",2,2
"292","harvest","NN",7,2
"293","children","NNS",8,2
"294","just","RB",4,2
"295","must","MD",4,2
"296","not","RB",3,2
"297","go","VB",2,2
"298","hungry","JJ",6,2
"299","in","IN",2,2
"300","a","DT",1,2
"301","land","NN",4,2
"302","of","IN",2,2
"303","healing","VBG",7,2
"304","miracles","NNS",8,2
"305","neighbors","NNS",9,2
"306","must","MD",4,2
"307","not","RB",3,2
"308","suffer","VB",6,2
"309","and","CC",3,2
"310","die","VB",3,2
"311","unattended","JJ",10,2
"312","in","IN",2,2
"313","a","DT",1,2
"314","great","JJ",5,2
"315","land","NN",4,2
"316","of","IN",2,2
"317","learning","VBG",8,2
"318","and","CC",3,2
"319","scholars","NNS",8,2
"320","young","JJ",5,2
"321","people","NNS",6,2
"322","must","MD",4,2
"323","be","VB",2,2
"324","taught","VBN",6,2
"325","to","TO",2,2
"326","read","VB",4,2
"327","and","CC",3,2
"328","write","VB",5,2
"329","for","IN",3,2
"330","the","DT",3,2
"331","more","JJR",4,2
"332","than","IN",4,2
"333","30","CD",2,2
"334","years","NNS",5,2
"335","that","IN",4,2
"336","i","NNS",1,2
"337","have","VBP",4,2
"338","served","VBN",6,2
"339","this","DT",4,2
"340","nation","NN",6,2
"341","i","NNS",1,2
"342","have","VBP",4,2
"343","believed","VBN",8,2
"344","that","IN",4,2
"345","this","DT",4,2
"346","injustice","NN",9,2
"347","to","TO",2,2
"348","our","PP$",3,2
"349","people","NNS",6,2
"350","this","DT",4,2
"351","waste","NN",5,2
"352","of","IN",2,2
"353","our","PP$",3,2
"354","resources","NNS",9,2
"355","was","VBD",3,2
"356","our","PP$",3,2
"357","real","JJ",4,2
"358","enemy","NN",5,2
"359","for","IN",3,2
"360","30","CD",2,2
"361","years","NNS",5,2
"362","or","CC",2,2
"363","more","JJR",4,2
"364","with","IN",4,2
"365","the","DT",3,2
"366","resources","NNS",9,2
"367","i","NNS",1,2
"368","have","VBP",4,2
"369","had","VBN",3,2
"370","i","NNS",1,2
"371","have","VBP",4,2
"372","vigilantly","RB",10,2
"373","fought","VBN",6,2
"374","against","IN",7,2
"375","it","PP",2,2
"376","i","NP",1,2
"377","have","VBP",4,2
"378","learned","VBN",7,2
"379","and","CC",3,2
"380","i","NP",1,2
"381","know","VBP",4,2
"382","that","IN",4,2
"383","it","PP",2,2
"384","will","MD",4,2
"385","not","RB",3,2
"386","surrender","VB",9,2
"387","easily","RB",6,2
"388","but","CC",3,2
"389","change","NN",6,2
"390","has","VBZ",3,2
"391","given","VBN",5,2
"392","us","PP",2,2
"393","new","JJ",3,2
"394","weapons","NNS",7,2
"395","before","IN",6,2
"396","this","DT",4,2
"397","generation","NN",10,2
"398","of","IN",2,2
"399","americans","NNS",9,2
"400","is","VBZ",2,2
"401","finished","VBN",8,2
"402","this","DT",4,2
"403","enemy","NN",5,2
"404","will","MD",4,2
"405","not","RB",3,2
"406","only","RB",4,2
"407","retreat","VB",7,2
"408","it","PP",2,2
"409","will","MD",4,2
"410","be","VB",2,2
"411","conquered","VBN",9,2
"412","justice","NN",7,2
"413","requires","VBZ",8,2
"414","us","PP",2,2
"415","to","TO",2,2
"416","remember","VB",8,2
"417","that","IN",4,2
"418","when","WRB",4,2
"419","any","DT",3,2
"420","citizen","NN",7,2
"421","denies","VBZ",6,2
"422","his","PP$",3,2
"423","fellow","NN",6,2
"424","saying","VBG",6,2
"425","""","``",1,2
"426","his","PP$",3,2
"427","color","NN",5,2
"428","is","VBZ",2,2
"429","not","RB",3,2
"430","mine","JJ",4,2
"431","""","''",1,2
"432","or","CC",2,2
"433","""","``",1,2
"434","his","PP$",3,2
"435","beliefs","NNS",7,2
"436","are","VBP",3,2
"437","strange","JJ",7,2
"438","and","CC",3,2
"439","different","JJ",9,2
"440","""","''",1,2
"441","in","IN",2,2
"442","that","DT",4,2
"443","moment","NN",6,2
"444","he","PP",2,2
"445","betrays","VBZ",7,2
"446","america","NN",7,2
"447","though","IN",6,2
"448","his","PP$",3,2
"449","forebears","NNS",9,2
"450","created","VBD",7,2
"451","this","DT",4,2
"452","nation","NN",6,2
"453","liberty","NN",7,2
"454","and","CC",3,2
"455","change","NN",6,2
"456","liberty","NN",7,2
"457","was","VBD",3,2
"458","the","DT",3,2
"459","second","JJ",6,2
"460","article","NN",7,2
"461","of","IN",2,2
"462","our","PP$",3,2
"463","covenant","NN",8,2
"464","it","PP",2,2
"465","was","VBD",3,2
"466","self","JJ",4,2
"467","government","NN",10,2
"468","it","PP",2,2
"469","was","VBD",3,2
"470","our","PP$",3,2
"471","bill","NN",4,2
"472","of","IN",2,2
"473","rights","NNS",6,2
"474","but","CC",3,2
"475","it","PP",2,2
"476","was","VBD",3,2
"477","more","JJR",4,2
"478","america","NN",7,2
"479","would","MD",5,2
"480","be","VB",2,2
"481","a","DT",1,2
"482","place","NN",5,2
"483","where","WRB",5,2
"484","each","DT",4,2
"485","man","NN",3,2
"486","could","MD",5,2
"487","be","VB",2,2
"488","proud","JJ",5,2
"489","to","TO",2,2
"490","be","VB",2,2
"491","himself","PP",7,2
"492",":","SENT",1,2
"493","stretching","VBG",10,3
"494","his","PP$",3,3
"495","talents","NNS",7,3
"496","rejoicing","VBG",9,3
"497","in","IN",2,3
"498","his","PP$",3,3
"499","work","NN",4,3
"500","important","JJ",9,3
"501","in","IN",2,3
"502","the","DT",3,3
"503","life","NN",4,3
"504","of","IN",2,3
"505","his","PP$",3,3
"506","neighbors","NNS",9,3
"507","and","CC",3,3
"508","his","PP$",3,3
"509","nation","NN",6,3
"510","this","DT",4,3
"511","has","VBZ",3,3
"512","become","VBN",6,3
"513","more","RBR",4,3
"514","difficult","JJ",9,3
"515","in","IN",2,3
"516","a","DT",1,3
"517","world","NN",5,3
"518","where","WRB",5,3
"519","change","NN",6,3
"520","and","CC",3,3
"521","growth","NN",6,3
"522","seem","VBP",4,3
"523","to","TO",2,3
"524","tower","VB",5,3
"525","beyond","IN",6,3
"526","the","DT",3,3
"527","control","NN",7,3
"528","and","CC",3,3
"529","even","RB",4,3
"530","the","DT",3,3
"531","judgment","NN",8,3
"532","of","IN",2,3
"533","men","NNS",3,3
"534","we","PP",2,3
"535","must","MD",4,3
"536","work","VB",4,3
"537","to","TO",2,3
"538","provide","VB",7,3
"539","the","DT",3,3
"540","knowledge","NN",9,3
"541","and","CC",3,3
"542","the","DT",3,3
"543","surroundings","NNS",12,3
"544","which","WDT",5,3
"545","can","MD",3,3
"546","enlarge","VB",7,3
"547","the","DT",3,3
"548","possibilities","NNS",13,3
"549","of","IN",2,3
"550","every","DT",5,3
"551","citizen","NN",7,3
"552","the","DT",3,3
"553","american","JJ",8,3
"554","covenant","NN",8,3
"555","called","VBN",6,3
"556","on","IN",2,3
"557","us","PP",2,3
"558","to","TO",2,3
"559","help","VB",4,3
"560","show","VB",4,3
"561","the","DT",3,3
"562","way","NN",3,3
"563","for","IN",3,3
"564","the","DT",3,3
"565","liberation","NN",10,3
"566","of","IN",2,3
"567","man","NN",3,3
"568","and","CC",3,3
"569","that","DT",4,3
"570","is","VBZ",2,3
"571","today","RB",5,3
"572","our","PP$",3,3
"573","goal","NN",4,3
"574","thus","RB",4,3
"575","if","IN",2,3
"576","as","IN",2,3
"577","a","DT",1,3
"578","nation","NN",6,3
"579","there","EX",5,3
"580","is","VBZ",2,3
"581","much","JJ",4,3
"582","outside","IN",7,3
"583","our","PP$",3,3
"584","control","NN",7,3
"585","as","IN",2,3
"586","a","DT",1,3
"587","people","NNS",6,3
"588","no","DT",2,3
"589","stranger","NN",8,3
"590","is","VBZ",2,3
"591","outside","IN",7,3
"592","our","PP$",3,3
"593","hope","NN",4,3
"594","change","NN",6,3
"595","has","VBZ",3,3
"596","brought","VBN",7,3
"597","new","JJ",3,3
"598","meaning","NN",7,3
"599","to","TO",2,3
"600","that","DT",4,3
"601","old","JJ",3,3
"602","mission","NN",7,3
"603","we","PP",2,3
"604","can","MD",3,3
"605","never","RB",5,3
"606","again","RB",5,3
"607","stand","VB",5,3
"608","aside","RB",5,3
"609","prideful","JJ",8,3
"610","in","IN",2,3
"611","isolation","NN",9,3
"612","terrific","JJ",8,3
"613","dangers","NNS",7,3
"614","and","CC",3,3
"615","troubles","NNS",8,3
"616","that","IN",4,3
"617","we","PP",2,3
"618","once","RB",4,3
"619","called","VBD",6,3
"620","""","``",1,3
"621","foreign","JJ",7,3
"622","""","''",1,3
"623","now","RB",3,3
"624","constantly","RB",10,3
"625","live","VB",4,3
"626","among","IN",5,3
"627","us","PP",2,3
"628","if","IN",2,3
"629","american","JJ",8,3
"630","lives","NNS",5,3
"631","must","MD",4,3
"632","end","VB",3,3
"633","and","CC",3,3
"634","american","NN",8,3
"635","treasure","NN",8,3
"636","be","VB",2,3
"637","spilled","VBN",7,3
"638","in","IN",2,3
"639","countries","NNS",9,3
"640","we","PP",2,3
"641","barely","RB",6,3
"642","know","VBP",4,3
"643","that","DT",4,3
"644","is","VBZ",2,3
"645","the","DT",3,3
"646","price","NN",5,3
"647","that","IN",4,3
"648","change","NN",6,3
"649","has","VBZ",3,3
"650","demanded","VBN",8,3
"651","of","IN",2,3
"652","conviction","NN",10,3
"653","and","CC",3,3
"654","of","IN",2,3
"655","our","PP$",3,3
"656","enduring","JJ",8,3
"657","covenant","NN",8,3
"658","think","VBP",5,3
"659","of","IN",2,3
"660","our","PP$",3,3
"661","world","NN",5,3
"662","as","IN",2,3
"663","it","PP",2,3
"664","looks","VBZ",5,3
"665","from","IN",4,3
"666","the","DT",3,3
"667","rocket","NN",6,3
"668","that","WDT",4,3
"669","is","VBZ",2,3
"670","heading","VBG",7,3
"671","toward","IN",6,3
"672","mars","NNS",4,3
"673","it","PP",2,3
"674","is","VBZ",2,3
"675","like","IN",4,3
"676","a","DT",1,3
"677","child","NN",5,3
"678","globe","NN",5,3
"679","hanging","VBG",7,3
"680","in","IN",2,3
"681","space","NN",5,3
"682","the","DT",3,3
"683","continents","NNS",10,3
"684","stuck","VBN",5,3
"685","to","TO",2,3
"686","its","PP$",3,3
"687","side","NN",4,3
"688","like","IN",4,3
"689","colored","VBN",7,3
"690","maps","NNS",4,3
"691","we","PP",2,3
"692","are","VBP",3,3
"693","all","DT",3,3
"694","fellow","JJ",6,3
"695","passengers","NNS",10,3
"696","on","IN",2,3
"697","a","DT",1,3
"698","dot","NN",3,3
"699","of","IN",2,3
"700","earth","NN",5,3
"701","and","CC",3,3
"702","each","DT",4,3
"703","of","IN",2,3
"704","us","PP",2,3
"705","in","IN",2,3
"706","the","DT",3,3
"707","span","NN",4,3
"708","of","IN",2,3
"709","time","NN",4,3
"710","has","VBZ",3,3
"711","really","RB",6,3
"712","only","RB",4,3
"713","a","DT",1,3
"714","moment","NN",6,3
"715","among","IN",5,3
"716","our","PP$",3,3
"717","companions","NNS",10,3
"718","how","WRB",3,3
"719","incredible","JJ",10,3
"720","it","PP",2,3
"721","is","VBZ",2,3
"722","that","IN",4,3
"723","in","IN",2,3
"724","this","DT",4,3
"725","fragile","JJ",7,3
"726","existence","NN",9,3
"727","we","PP",2,3
"728","should","MD",6,3
"729","hate","VB",4,3
"730","and","CC",3,3
"731","destroy","VB",7,3
"732","one","PP",3,3
"733","another","DT",7,3
"734","there","EX",5,3
"735","are","VBP",3,3
"736","possibilities","NNS",13,3
"737","enough","RB",6,3
"738","for","IN",3,3
"739","all","DT",3,3
"740","who","WP",3,3
"741","will","MD",4,3
"742","abandon","VB",7,3
"743","mastery","NN",7,3
"744","over","IN",4,3
"745","others","NNS",6,3
"746","to","TO",2,3
"747","pursue","VB",6,3
"748","mastery","NN",7,3
"749","over","IN",4,3
"750","nature","NN",6,3
"751","there","EX",5,3
"752","is","VBZ",2,3
"753","world","NN",5,3
"754","enough","RB",6,3
"755","for","IN",3,3
"756","all","RB",3,3
"757","to","TO",2,3
"758","seek","VB",4,3
"759","their","PP$",5,3
"760","happiness","NN",9,3
"761","in","IN",2,3
"762","their","PP$",5,3
"763","own","JJ",3,3
"764","way","NN",3,3
"765","our","PP$",3,3
"766","nation","NN",6,3
"767","course","NN",6,3
"768","is","VBZ",2,3
"769","abundantly","RB",10,3
"770","clear","JJ",5,3
"771","we","PP",2,3
"772","aspire","VBP",6,3
"773","to","TO",2,3
"774","nothing","NN",7,3
"775","that","WDT",4,3
"776","belongs","VBZ",7,3
"777","to","TO",2,3
"778","others","NNS",6,3
"779","we","PP",2,3
"780","seek","VBP",4,3
"781","no","DT",2,3
"782","dominion","NN",8,3
"783","over","IN",4,3
"784","our","PP$",3,3
"785","fellow","JJ",6,3
"786","man","NN",3,3
"787","but","CC",3,3
"788","man","NN",3,3
"789","dominion","NN",8,3
"790","over","IN",4,3
"791","tyranny","NN",7,3
"792","and","CC",3,3
"793","misery","NN",6,3
"794","but","CC",3,3
"795","more","JJR",4,3
"796","is","VBZ",2,3
"797","required","VBN",8,3
"798","men","NNS",3,3
"799","want","VBP",4,3
"800","to","TO",2,3
"801","be","VB",2,3
"802","a","DT",1,3
"803","part","NN",4,3
"804","of","IN",2,3
"805","a","DT",1,3
"806","common","JJ",6,3
"807","enterprise","NN",10,3
"808","a","DT",1,3
"809","cause","NN",5,3
"810","greater","JJR",7,3
"811","than","IN",4,3
"812","themselves","PP",10,3
"813","each","DT",4,3
"814","of","IN",2,3
"815","us","PP",2,3
"816","must","MD",4,3
"817","find","VB",4,3
"818","a","DT",1,3
"819","way","NN",3,3
"820","to","TO",2,3
"821","advance","VB",7,3
"822","the","DT",3,3
"823","purpose","NN",7,3
"824","of","IN",2,3
"825","the","DT",3,3
"826","nation","NN",6,3
"827","thus","RB",4,3
"828","finding","VBG",7,3
"829","new","JJ",3,3
"830","purpose","NN",7,3
"831","for","IN",3,3
"832","ourselves","PP",9,3
"833","without","IN",7,3
"834","this","DT",4,3
"835","we","PP",2,3
"836","shall","MD",5,3
"837","become","VB",6,3
"838","a","DT",1,3
"839","nation","NN",6,3
"840","of","IN",2,3
"841","strangers","NNS",9,3
"842","union","NN",5,3
"843","and","CC",3,3
"844","change","VB",6,3
"845","the","DT",3,3
"846","third","JJ",5,3
"847","article","NN",7,3
"848","was","VBD",3,3
"849","union","NN",5,3
"850","to","TO",2,3
"851","those","DT",5,3
"852","who","WP",3,3
"853","were","VBD",4,3
"854","small","JJ",5,3
"855","and","CC",3,3
"856","few","JJ",3,3
