"","単語","品詞名","文字数","出現数"
"1","mr","NP",2,1
"2","vice","JJ",4,1
"3","president","NN",9,1
"4","mr","NN",2,1
"5","speaker","NN",7,1
"6","mr","NN",2,1
"7","chief","JJ",5,1
"8","justice","NN",7,1
"9","senator","NN",7,1
"10","cook","NN",4,1
"11","mrs","NN",3,1
"12","eisenhower","NN",10,1
"13","and","CC",3,1
"14","my","PP$",2,1
"15","fellow","JJ",6,1
"16","citizens","NNS",8,1
"17","of","IN",2,1
"18","this","DT",4,1
"19","great","JJ",5,1
"20","and","CC",3,1
"21","good","JJ",4,1
"22","country","NN",7,1
"23","we","PP",2,1
"24","share","VBP",5,1
"25","together","RB",8,1
"26",":","SENT",1,1
"27","when","WRB",4,2
"28","we","PP",2,2
"29","met","VBD",3,2
"30","here","RB",4,2
"31","four","CD",4,2
"32","years","NNS",5,2
"33","ago","RB",3,2
"34","america","NN",7,2
"35","was","VBD",3,2
"36","bleak","JJ",5,2
"37","in","IN",2,2
"38","spirit","NN",6,2
"39","depressed","VBN",9,2
"40","by","IN",2,2
"41","the","DT",3,2
"42","prospect","NN",8,2
"43","of","IN",2,2
"44","seemingly","RB",9,2
"45","endless","JJ",7,2
"46","war","NN",3,2
"47","abroad","RB",6,2
"48","and","CC",3,2
"49","of","IN",2,2
"50","destructive","JJ",11,2
"51","conflict","NN",8,2
"52","at","IN",2,2
"53","home","NN",4,2
"54","as","IN",2,2
"55","we","PP",2,2
"56","meet","VBP",4,2
"57","here","RB",4,2
"58","today","NN",5,2
"59","we","PP",2,2
"60","stand","VBP",5,2
"61","on","IN",2,2
"62","the","DT",3,2
"63","threshold","NN",9,2
"64","of","IN",2,2
"65","a","DT",1,2
"66","new","JJ",3,2
"67","era","NN",3,2
"68","of","IN",2,2
"69","peace","NN",5,2
"70","in","IN",2,2
"71","the","DT",3,2
"72","world","NN",5,2
"73","the","DT",3,2
"74","central","JJ",7,2
"75","question","NN",8,2
"76","before","IN",6,2
"77","us","PP",2,2
"78","is","VBZ",2,2
"79",":","SENT",1,2
"80","how","WRB",3,3
"81","shall","MD",5,3
"82","we","PP",2,3
"83","use","VB",3,3
"84","that","DT",4,3
"85","peace","NN",5,3
"86","let","VB",3,3
"87","us","PP",2,3
"88","resolve","VB",7,3
"89","that","IN",4,3
"90","this","DT",4,3
"91","era","NN",3,3
"92","we","PP",2,3
"93","are","VBP",3,3
"94","about","RB",5,3
"95","to","TO",2,3
"96","enter","VB",5,3
"97","will","MD",4,3
"98","not","RB",3,3
"99","be","VB",2,3
"100","what","WP",4,3
"101","other","JJ",5,3
"102","postwar","JJ",7,3
"103","periods","NNS",7,3
"104","have","VBP",4,3
"105","so","RB",2,3
"106","often","RB",5,3
"107","been","VBN",4,3
"108",":","SENT",1,3
"109","a","DT",1,4
"110","time","NN",4,4
"111","of","IN",2,4
"112","retreat","NN",7,4
"113","and","CC",3,4
"114","isolation","NN",9,4
"115","that","WDT",4,4
"116","leads","VBZ",5,4
"117","to","TO",2,4
"118","stagnation","NN",10,4
"119","at","IN",2,4
"120","home","NN",4,4
"121","and","CC",3,4
"122","invites","VBZ",7,4
"123","new","JJ",3,4
"124","danger","NN",6,4
"125","abroad","RB",6,4
"126","let","VB",3,4
"127","us","PP",2,4
"128","resolve","VB",7,4
"129","that","IN",4,4
"130","this","DT",4,4
"131","will","MD",4,4
"132","be","VB",2,4
"133","what","WP",4,4
"134","it","PP",2,4
"135","can","MD",3,4
"136","become","VB",6,4
"137",":","SENT",1,4
"138","a","DT",1,5
"139","time","NN",4,5
"140","of","IN",2,5
"141","great","JJ",5,5
"142","responsibilities","NNS",16,5
"143","greatly","RB",7,5
"144","borne","VBN",5,5
"145","in","IN",2,5
"146","which","WDT",5,5
"147","we","PP",2,5
"148","renew","VBP",5,5
"149","the","DT",3,5
"150","spirit","NN",6,5
"151","and","CC",3,5
"152","the","DT",3,5
"153","promise","NN",7,5
"154","of","IN",2,5
"155","america","NN",7,5
"156","as","IN",2,5
"157","we","PP",2,5
"158","enter","VBP",5,5
"159","our","PP$",3,5
"160","third","JJ",5,5
"161","century","NN",7,5
"162","as","IN",2,5
"163","a","DT",1,5
"164","nation","NN",6,5
"165","this","DT",4,5
"166","past","JJ",4,5
"167","year","NN",4,5
"168","saw","VBD",3,5
"169","far","RB",3,5
"170","reaching","VBG",8,5
"171","results","NNS",7,5
"172","from","IN",4,5
"173","our","PP$",3,5
"174","new","JJ",3,5
"175","policies","NNS",8,5
"176","for","IN",3,5
"177","peace","NN",5,5
"178","by","IN",2,5
"179","continuing","VBG",10,5
"180","to","TO",2,5
"181","revitalize","VB",10,5
"182","our","PP$",3,5
"183","traditional","JJ",11,5
"184","friendships","NNS",11,5
"185","and","CC",3,5
"186","by","IN",2,5
"187","our","PP$",3,5
"188","missions","NNS",8,5
"189","to","TO",2,5
"190","peking","NN",6,5
"191","and","CC",3,5
"192","to","TO",2,5
"193","moscow","VB",6,5
"194","we","PP",2,5
"195","were","VBD",4,5
"196","able","JJ",4,5
"197","to","TO",2,5
"198","establish","VB",9,5
"199","the","DT",3,5
"200","base","NN",4,5
"201","for","IN",3,5
"202","a","DT",1,5
"203","new","JJ",3,5
"204","and","CC",3,5
"205","more","RBR",4,5
"206","durable","JJ",7,5
"207","pattern","NN",7,5
"208","of","IN",2,5
"209","relationships","NNS",13,5
"210","among","IN",5,5
"211","the","DT",3,5
"212","nations","NNS",7,5
"213","of","IN",2,5
"214","the","DT",3,5
"215","world","NN",5,5
"216","because","IN",7,5
"217","of","IN",2,5
"218","america","NN",7,5
"219","bold","NN",4,5
"220","initiatives","VBZ",11,5
"221","1972","CD",4,5
"222","will","MD",4,5
"223","be","VB",2,5
"224","long","RB",4,5
"225","remembered","VBN",10,5
"226","as","IN",2,5
"227","the","DT",3,5
"228","year","NN",4,5
"229","of","IN",2,5
"230","the","DT",3,5
"231","greatest","JJS",8,5
"232","progress","NN",8,5
"233","since","IN",5,5
"234","the","DT",3,5
"235","end","NN",3,5
"236","of","IN",2,5
"237","world","NN",5,5
"238","war","NN",3,5
"239","ii","NNS",2,5
"240","toward","IN",6,5
"241","a","DT",1,5
"242","lasting","JJ",7,5
"243","peace","NN",5,5
"244","in","IN",2,5
"245","the","DT",3,5
"246","world","NN",5,5
"247","the","DT",3,5
"248","peace","NN",5,5
"249","we","PP",2,5
"250","seek","VBP",4,5
"251","in","IN",2,5
"252","the","DT",3,5
"253","world","NN",5,5
"254","is","VBZ",2,5
"255","not","RB",3,5
"256","the","DT",3,5
"257","flimsy","JJ",6,5
"258","peace","NN",5,5
"259","which","WDT",5,5
"260","is","VBZ",2,5
