"","単語","品詞名","文字数","出現数"
"1","for","IN",3,1
"2","myself","PP",6,1
"3","and","CC",3,1
"4","for","IN",3,1
"5","our","PP$",3,1
"6","nation","NN",6,1
"7","i","NNS",1,1
"8","want","VBP",4,1
"9","to","TO",2,1
"10","thank","VB",5,1
"11","my","PP$",2,1
"12","predecessor","NN",11,1
"13","for","IN",3,1
"14","all","DT",3,1
"15","he","PP",2,1
"16","has","VBZ",3,1
"17","done","VBN",4,1
"18","to","TO",2,1
"19","heal","VB",4,1
"20","our","PP$",3,1
"21","land","NN",4,1
"22","in","IN",2,1
"23","this","DT",4,1
"24","outward","JJ",7,1
"25","and","CC",3,1
"26","physical","JJ",8,1
"27","ceremony","NN",8,1
"28","we","PP",2,1
"29","attest","VBP",6,1
"30","once","RB",4,1
"31","again","RB",5,1
"32","to","TO",2,1
"33","the","DT",3,1
"34","inner","JJ",5,1
"35","and","CC",3,1
"36","spiritual","JJ",9,1
"37","strength","NN",8,1
"38","of","IN",2,1
"39","our","PP$",3,1
"40","nation","NN",6,1
"41","as","IN",2,1
"42","my","PP$",2,1
"43","high","JJ",4,1
"44","school","NN",6,1
"45","teacher","NN",7,1
"46","miss","VBP",4,1
"47","julia","NN",5,1
"48","coleman","NN",7,1
"49","used","VBN",4,1
"50","to","TO",2,1
"51","say","VB",3,1
"52",":","SENT",1,1
"53","""","``",1,2
"54","we","PP",2,2
"55","must","MD",4,2
"56","adjust","VB",6,2
"57","to","TO",2,2
"58","changing","VBG",8,2
"59","times","NNS",5,2
"60","and","CC",3,2
"61","still","RB",5,2
"62","hold","VB",4,2
"63","to","TO",2,2
"64","unchanging","JJ",10,2
"65","principles","NNS",10,2
"66","""","``",1,2
"67","here","RB",4,2
"68","before","IN",6,2
"69","me","PP",2,2
"70","is","VBZ",2,2
"71","the","DT",3,2
"72","bible","NN",5,2
"73","used","VBN",4,2
"74","in","IN",2,2
"75","the","DT",3,2
"76","inauguration","NN",12,2
"77","of","IN",2,2
"78","our","PP$",3,2
"79","first","JJ",5,2
"80","president","NN",9,2
"81","in","IN",2,2
"82","1789","CD",4,2
"83","and","CC",3,2
"84","i","NP",1,2
"85","have","VBP",4,2
"86","just","RB",4,2
"87","taken","VBN",5,2
"88","the","DT",3,2
"89","oath","NN",4,2
"90","of","IN",2,2
"91","office","NN",6,2
"92","on","IN",2,2
"93","the","DT",3,2
"94","bible","NN",5,2
"95","my","PP$",2,2
"96","mother","NN",6,2
"97","gave","VBD",4,2
"98","me","PP",2,2
"99","a","DT",1,2
"100","few","JJ",3,2
"101","years","NNS",5,2
"102","ago","RB",3,2
"103","opened","VBD",6,2
"104","to","TO",2,2
"105","a","DT",1,2
"106","timeless","JJ",8,2
"107","admonition","NN",10,2
"108","from","IN",4,2
"109","the","DT",3,2
"110","ancient","JJ",7,2
"111","prophet","NN",7,2
"112","micah","NN",5,2
"113",":","SENT",1,2
"114","""","``",1,3
"115","he","PP",2,3
"116","hath","VBZ",4,3
"117","showed","VBN",6,3
"118","thee","PP",4,3
"119","o","NN",1,3
"120","man","NN",3,3
"121","what","WP",4,3
"122","is","VBZ",2,3
"123","good","JJ",4,3
"124",";","SENT",1,3
"125","and","CC",3,4
"126","what","WP",4,4
"127","doth","VBZ",4,4
"128","the","DT",3,4
"129","lord","NN",4,4
"130","require","VBP",7,4
"131","of","IN",2,4
"132","thee","PP",4,4
"133","but","CC",3,4
"134","to","TO",2,4
"135","do","VB",2,4
"136","justly","RB",6,4
"137","and","CC",3,4
"138","to","TO",2,4
"139","love","VB",4,4
"140","mercy","NN",5,4
"141","and","CC",3,4
"142","to","TO",2,4
"143","walk","VB",4,4
"144","humbly","RB",6,4
"145","with","IN",4,4
"146","thy","PP$",3,4
"147","god","NN",3,4
"148","""","``",1,4
"149","this","DT",4,4
"150","inauguration","NN",12,4
"151","ceremony","NN",8,4
"152","marks","VBZ",5,4
"153","a","DT",1,4
"154","new","JJ",3,4
"155","beginning","NN",9,4
"156","a","DT",1,4
"157","new","JJ",3,4
"158","dedication","NN",10,4
"159","within","IN",6,4
"160","our","PP$",3,4
"161","government","NN",10,4
"162","and","CC",3,4
"163","a","DT",1,4
"164","new","JJ",3,4
"165","spirit","NN",6,4
"166","among","IN",5,4
"167","us","PP",2,4
"168","all","PDT",3,4
"169","a","DT",1,4
"170","president","NN",9,4
"171","may","MD",3,4
"172","sense","VB",5,4
"173","and","CC",3,4
"174","proclaim","VB",8,4
"175","that","DT",4,4
"176","new","JJ",3,4
"177","spirit","NN",6,4
"178","but","CC",3,4
"179","only","RB",4,4
"180","a","DT",1,4
"181","people","NNS",6,4
"182","can","MD",3,4
"183","provide","VB",7,4
"184","it","PP",2,4
"185","two","CD",3,4
"186","centuries","NNS",9,4
"187","ago","RB",3,4
"188","our","PP$",3,4
"189","nation","NN",6,4
"190","birth","NN",5,4
"191","was","VBD",3,4
"192","a","DT",1,4
"193","milestone","NN",9,4
"194","in","IN",2,4
"195","the","DT",3,4
"196","long","JJ",4,4
"197","quest","NN",5,4
"198","for","IN",3,4
"199","freedom","NN",7,4
"200","but","CC",3,4
"201","the","DT",3,4
"202","bold","JJ",4,4
"203","and","CC",3,4
"204","brilliant","JJ",9,4
"205","dream","NN",5,4
"206","which","WDT",5,4
"207","excited","VBD",7,4
"208","the","DT",3,4
"209","founders","NNS",8,4
"210","of","IN",2,4
"211","this","DT",4,4
"212","nation","NN",6,4
"213","still","RB",5,4
"214","awaits","VBZ",6,4
"215","its","PP$",3,4
"216","consummation","NN",12,4
"217","i","NNS",1,4
"218","have","VBP",4,4
"219","no","DT",2,4
"220","new","JJ",3,4
"221","dream","NN",5,4
"222","to","TO",2,4
"223","set","VB",3,4
"224","forth","RB",5,4
"225","today","NN",5,4
"226","but","CC",3,4
"227","rather","RB",6,4
"228","urge","VB",4,4
"229","a","DT",1,4
"230","fresh","JJ",5,4
"231","faith","NN",5,4
"232","in","IN",2,4
"233","the","DT",3,4
"234","old","JJ",3,4
"235","dream","NN",5,4
"236","ours","PP",4,4
"237","was","VBD",3,4
"238","the","DT",3,4
"239","first","JJ",5,4
"240","society","NN",7,4
"241","openly","RB",6,4
"242","to","TO",2,4
"243","define","VB",6,4
"244","itself","PP",6,4
"245","in","IN",2,4
"246","terms","NNS",5,4
"247","of","IN",2,4
"248","both","DT",4,4
"249","spirituality","NN",12,4
"250","and","CC",3,4
"251","of","IN",2,4
"252","human","JJ",5,4
"253","liberty","NN",7,4
"254","it","PP",2,4
"255","is","VBZ",2,4
"256","that","DT",4,4
"257","unique","JJ",6,4
"258","self","NN",4,4
"259","definition","NN",10,4
"260","which","WDT",5,4
"261","has","VBZ",3,4
"262","given","VBN",5,4
"263","us","PP",2,4
"264","an","DT",2,4
"265","exceptional","JJ",11,4
"266","appeal","NN",6,4
"267","but","CC",3,4
"268","it","PP",2,4
"269","also","RB",4,4
"270","imposes","VBZ",7,4
"271","on","IN",2,4
"272","us","PP",2,4
"273","a","DT",1,4
"274","special","JJ",7,4
"275","obligation","NN",10,4
"276","to","TO",2,4
"277","take","VB",4,4
"278","on","IN",2,4
"279","those","DT",5,4
"280","moral","JJ",5,4
"281","duties","NNS",6,4
"282","which","WDT",5,4
"283","when","RB",4,4
"284","assumed","VBD",7,4
"285","seem","VB",4,4
"286","invariably","RB",10,4
"287","to","TO",2,4
"288","be","VB",2,4
"289","in","IN",2,4
"290","our","PP$",3,4
"291","own","JJ",3,4
"292","best","JJS",4,4
"293","interests","NNS",9,4
"294","you","PP",3,4
"295","have","VBP",4,4
"296","given","VBN",5,4
"297","me","PP",2,4
"298","a","DT",1,4
"299","great","JJ",5,4
"300","responsibility","NN",14,4
"301","to","TO",2,4
"302","stay","VB",4,4
"303","close","JJ",5,4
"304","to","TO",2,4
"305","you","PP",3,4
"306","to","TO",2,4
"307","be","VB",2,4
"308","worthy","JJ",6,4
"309","of","IN",2,4
"310","you","PP",3,4
"311","and","CC",3,4
"312","to","TO",2,4
"313","exemplify","VB",9,4
"314","what","WP",4,4
"315","you","PP",3,4
"316","are","VBP",3,4
"317","let","VBN",3,4
"318","us","PP",2,4
"319","create","VBP",6,4
"320","together","RB",8,4
"321","a","DT",1,4
"322","new","JJ",3,4
"323","national","JJ",8,4
