"","単語","品詞名","文字数","出現数"
"1","senator","NN",7,1
"2","mathias","NNS",7,1
"3","chief","JJ",5,1
"4","justice","NN",7,1
"5","burger","NN",6,1
"6","vice","JJ",4,1
"7","president","NN",9,1
"8","bush","NN",4,1
"9","speaker","NN",7,1
"10","o","NN",1,1
"11","'","POS",1,1
"12","neill","NN",5,1
"13","senator","NN",7,1
"14","dole","VBP",4,1
"15","reverend","JJ",8,1
"16","clergy","NN",6,1
"17","members","NNS",7,1
"18","of","IN",2,1
"19","my","PP$",2,1
"20","family","NN",6,1
"21","and","CC",3,1
"22","friends","NNS",7,1
"23","and","CC",3,1
"24","my","PP$",2,1
"25","fellow","JJ",6,1
"26","citizens","NNS",8,1
"27",":","SENT",1,1
"28","this","DT",4,2
"29","day","NN",3,2
"30","has","VBZ",3,2
"31","been","VBN",4,2
"32","made","VBN",4,2
"33","brighter","JJR",8,2
"34","with","IN",4,2
"35","the","DT",3,2
"36","presence","NN",8,2
"37","here","RB",4,2
"38","of","IN",2,2
"39","one","CD",3,2
"40","who","WP",3,2
"41","for","IN",3,2
"42","a","DT",1,2
"43","time","NN",4,2
"44","has","VBZ",3,2
"45","been","VBN",4,2
"46","absent","JJ",6,2
"47","senator","NN",7,2
"48","john","NN",4,2
"49","stennis","NN",7,2
"50","god","NN",3,2
"51","bless","VB",5,2
"52","you","PP",3,2
"53","and","CC",3,2
"54","welcome","VBP",7,2
"55","back","RB",4,2
"56","there","EX",5,2
"57","is","VBZ",2,2
"58","however","RB",7,2
"59","one","CD",3,2
"60","who","WP",3,2
"61","is","VBZ",2,2
"62","not","RB",3,2
"63","with","IN",4,2
"64","us","PP",2,2
"65","today","NN",5,2
"66",":","SENT",1,2
"67","representative","JJ",14,3
"68","gillis","NNS",6,3
"69","long","JJ",4,3
"70","of","IN",2,3
"71","louisiana","NP",9,3
"72","left","VBD",4,3
"73","us","PP",2,3
"74","last","JJ",4,3
"75","night","NN",5,3
"76","i","NNS",1,3
"77","wonder","VBP",6,3
"78","if","IN",2,3
"79","we","PP",2,3
"80","could","MD",5,3
"81","all","RB",3,3
"82","join","VB",4,3
"83","in","IN",2,3
"84","a","DT",1,3
"85","moment","NN",6,3
"86","of","IN",2,3
"87","silent","JJ",6,3
"88","prayer","NN",6,3
"89","amen","NN",4,3
"90","there","RB",5,3
"91","are","VBP",3,3
"92","no","DT",2,3
"93","words","NNS",5,3
"94","adequate","JJ",8,3
"95","to","TO",2,3
"96","express","VB",7,3
"97","my","PP$",2,3
"98","thanks","NNS",6,3
"99","for","IN",3,3
"100","the","DT",3,3
"101","great","JJ",5,3
"102","honor","NN",5,3
"103","that","IN",4,3
"104","you","PP",3,3
"105","have","VBP",4,3
"106","bestowed","VBN",8,3
"107","on","IN",2,3
"108","me","FW",2,3
"109","i","FW",1,3
"110","will","MD",4,3
"111","do","VB",2,3
"112","my","PP$",2,3
"113","utmost","NN",6,3
"114","to","TO",2,3
"115","be","VB",2,3
"116","deserving","JJ",9,3
"117","of","IN",2,3
"118","your","PP$",4,3
"119","trust","NN",5,3
"120","this","DT",4,3
"121","is","VBZ",2,3
"122","as","IN",2,3
"123","senator","NN",7,3
"124","mathias","NNS",7,3
"125","told","VBD",4,3
"126","us","PP",2,3
"127","the","DT",3,3
"128","50","CD",2,3
"129","th","NN",2,3
"130","time","NN",4,3
"131","that","IN",4,3
"132","we","PP",2,3
"133","the","DT",3,3
"134","people","NNS",6,3
"135","have","VBP",4,3
"136","celebrated","VBN",10,3
"137","this","DT",4,3
"138","historic","JJ",8,3
"139","occasion","NN",8,3
"140","when","WRB",4,3
"141","the","DT",3,3
"142","first","JJ",5,3
"143","president","NN",9,3
"144","george","NN",6,3
"145","washington","NN",10,3
"146","placed","VBD",6,3
"147","his","PP$",3,3
"148","hand","NN",4,3
"149","upon","IN",4,3
"150","the","DT",3,3
"151","bible","NN",5,3
"152","he","PP",2,3
"153","stood","VBD",5,3
"154","less","JJR",4,3
"155","than","IN",4,3
"156","a","DT",1,3
"157","single","JJ",6,3
"158","day","NN",3,3
"159","journey","NN",7,3
"160","by","IN",2,3
"161","horseback","NN",9,3
"162","from","IN",4,3
"163","raw","JJ",3,3
"164","untamed","JJ",7,3
"165","wilderness","NN",10,3
"166","there","EX",5,3
"167","were","VBD",4,3
"168","4","CD",1,3
"169","million","CD",7,3
"170","americans","NNS",9,3
"171","in","IN",2,3
"172","a","DT",1,3
"173","union","NN",5,3
"174","of","IN",2,3
"175","13","CD",2,3
"176","states","NNS",6,3
"177","today","NN",5,3
"178","we","PP",2,3
"179","are","VBP",3,3
"180","60","CD",2,3
"181","times","NNS",5,3
"182","as","IN",2,3
"183","many","JJ",4,3
"184","in","IN",2,3
"185","a","DT",1,3
"186","union","NN",5,3
"187","of","IN",2,3
"188","50","CD",2,3
"189","states","NNS",6,3
"190","we","PP",2,3
"191","have","VBP",4,3
"192","lighted","VBN",7,3
"193","the","DT",3,3
"194","world","NN",5,3
"195","with","IN",4,3
"196","our","PP$",3,3
"197","inventions","NNS",10,3
"198","gone","VBN",4,3
"199","to","TO",2,3
"200","the","DT",3,3
"201","aid","NN",3,3
"202","of","IN",2,3
"203","mankind","NN",7,3
"204","wherever","WRB",8,3
"205","in","IN",2,3
"206","the","DT",3,3
"207","world","NN",5,3
"208","there","EX",5,3
"209","was","VBD",3,3
"210","a","DT",1,3
"211","cry","NN",3,3
"212","for","IN",3,3
"213","help","NN",4,3
"214","journeyed","VBN",9,3
"215","to","TO",2,3
"216","the","DT",3,3
"217","moon","NN",4,3
"218","and","CC",3,3
"219","safely","RB",6,3
"220","returned","VBD",8,3
"221","so","RB",2,3
"222","much","RB",4,3
"223","has","VBZ",3,3
"224","changed","VBN",7,3
"225","and","CC",3,3
"226","yet","RB",3,3
"227","we","PP",2,3
"228","stand","VBP",5,3
"229","together","RB",8,3
"230","as","IN",2,3
"231","we","PP",2,3
"232","did","VBD",3,3
"233","two","CD",3,3
"234","centuries","NNS",9,3
"235","ago","RB",3,3
"236","when","WRB",4,3
"237","i","NP",1,3
"238","took","VBD",4,3
"239","this","DT",4,3
"240","oath","NN",4,3
"241","four","CD",4,3
"242","years","NNS",5,3
"243","ago","RB",3,3
"244","i","NP",1,3
"245","did","VBD",3,3
"246","so","RB",2,3
"247","in","IN",2,3
"248","a","DT",1,3
"249","time","NN",4,3
"250","of","IN",2,3
"251","economic","JJ",8,3
"252","stress","NN",6,3
"253","voices","NNS",6,3
"254","were","VBD",4,3
"255","raised","VBN",6,3
"256","saying","VBG",6,3
"257","we","PP",2,3
"258","had","VBD",3,3
"259","to","TO",2,3
"260","look","VB",4,3
"261","to","TO",2,3
"262","our","PP$",3,3
"263","past","NN",4,3
"264","for","IN",3,3
"265","the","DT",3,3
"266","greatness","NN",9,3
"267","and","CC",3,3
"268","glory","NN",5,3
"269","but","CC",3,3
"270","we","PP",2,3
"271","the","DT",3,3
"272","present","JJ",7,3
"273","day","NN",3,3
"274","americans","NNS",9,3
"275","are","VBP",3,3
"276","not","RB",3,3
"277","given","VBN",5,3
"278","to","TO",2,3
"279","looking","VBG",7,3
"280","backward","RB",8,3
"281","in","IN",2,3
"282","this","DT",4,3
"283","blessed","VBN",7,3
"284","land","NN",4,3
"285","there","EX",5,3
"286","is","VBZ",2,3
"287","always","RB",6,3
"288","a","DT",1,3
"289","better","JJR",6,3
"290","tomorrow","NN",8,3
"291","four","CD",4,3
