"","単語","品詞名","文字数","出現数"
"1","mr","NP",2,1
"2","chief","JJ",5,1
"3","justice","NN",7,1
"4","mr","NN",2,1
"5","president","NN",9,1
"6","vice","JJ",4,1
"7","president","NN",9,1
"8","quayle","NN",6,1
"9","senator","NN",7,1
"10","mitchell","NP",8,1
"11","speaker","NN",7,1
"12","wright","NN",6,1
"13","senator","NN",7,1
"14","dole","NN",4,1
"15","congressman","NN",11,1
"16","michel","NN",6,1
"17","and","CC",3,1
"18","fellow","JJ",6,1
"19","citizens","NNS",8,1
"20","neighbors","NNS",9,1
"21","and","CC",3,1
"22","friends","NNS",7,1
"23",":","SENT",1,1
"24","there","EX",5,2
"25","is","VBZ",2,2
"26","a","DT",1,2
"27","man","NN",3,2
"28","here","RB",4,2
"29","who","WP",3,2
"30","has","VBZ",3,2
"31","earned","VBN",6,2
"32","a","DT",1,2
"33","lasting","JJ",7,2
"34","place","NN",5,2
"35","in","IN",2,2
"36","our","PP$",3,2
"37","hearts","NNS",6,2
"38","and","CC",3,2
"39","in","IN",2,2
"40","our","PP$",3,2
"41","history","NN",7,2
"42","president","NN",9,2
"43","reagan","NN",6,2
"44","on","IN",2,2
"45","behalf","NN",6,2
"46","of","IN",2,2
"47","our","PP$",3,2
"48","nation","NN",6,2
"49","i","NNS",1,2
"50","thank","VBP",5,2
"51","you","PP",3,2
"52","for","IN",3,2
"53","the","DT",3,2
"54","wonderful","JJ",9,2
"55","things","NNS",6,2
"56","that","IN",4,2
"57","you","PP",3,2
"58","have","VBP",4,2
"59","done","VBN",4,2
"60","for","IN",3,2
"61","america","NP",7,2
"62","i","NP",1,2
"63","have","VBP",4,2
"64","just","RB",4,2
"65","repeated","VBN",8,2
"66","word","NN",4,2
"67","for","IN",3,2
"68","word","NN",4,2
"69","the","DT",3,2
"70","oath","NN",4,2
"71","taken","VBN",5,2
"72","by","IN",2,2
"73","george","NN",6,2
"74","washington","NN",10,2
"75","200","CD",3,2
"76","years","NNS",5,2
"77","ago","RB",3,2
"78","and","CC",3,2
"79","the","DT",3,2
"80","bible","NN",5,2
"81","on","IN",2,2
"82","which","WDT",5,2
"83","i","NP",1,2
"84","placed","VBD",6,2
"85","my","PP$",2,2
"86","hand","NN",4,2
"87","is","VBZ",2,2
"88","the","DT",3,2
"89","bible","NN",5,2
"90","on","IN",2,2
"91","which","WDT",5,2
"92","he","PP",2,2
"93","placed","VBD",6,2
"94","his","PP$",3,2
"95","it","PP",2,2
"96","is","VBZ",2,2
"97","right","JJ",5,2
"98","that","IN",4,2
"99","the","DT",3,2
"100","memory","NN",6,2
"101","of","IN",2,2
"102","washington","NN",10,2
"103","be","VB",2,2
"104","with","IN",4,2
"105","us","PP",2,2
"106","today","NN",5,2
"107","not","RB",3,2
"108","only","RB",4,2
"109","because","IN",7,2
"110","this","DT",4,2
"111","is","VBZ",2,2
"112","our","PP$",3,2
"113","bicentennial","JJ",12,2
"114","inauguration","NN",12,2
"115","but","CC",3,2
"116","because","IN",7,2
"117","washington","NN",10,2
"118","remains","VBZ",7,2
"119","the","DT",3,2
"120","father","NN",6,2
"121","of","IN",2,2
"122","our","PP$",3,2
"123","country","NN",7,2
"124","and","CC",3,2
"125","he","PP",2,2
"126","would","MD",5,2
"127","i","NN",1,2
"128","think","NN",5,2
"129","be","VB",2,2
"130","gladdened","VBN",9,2
"131","by","IN",2,2
"132","this","DT",4,2
"133","day","NN",3,2
"134",";","SENT",1,2
"135","for","IN",3,3
"136","today","NN",5,3
"137","is","VBZ",2,3
"138","the","DT",3,3
"139","concrete","JJ",8,3
"140","expression","NN",10,3
"141","of","IN",2,3
"142","a","DT",1,3
"143","stunning","JJ",8,3
"144","fact","NN",4,3
"145",":","SENT",1,3
"146","our","PP$",3,4
"147","continuity","NN",10,4
"148","these","DT",5,4
"149","200","CD",3,4
"150","years","NNS",5,4
"151","since","IN",5,4
"152","our","PP$",3,4
"153","government","NN",10,4
"154","began","VBD",5,4
"155","we","PP",2,4
"156","meet","VB",4,4
"157","on","IN",2,4
"158","democracy","NN",9,4
"159","front","NN",5,4
"160","porch","NN",5,4
"161","a","DT",1,4
"162","good","JJ",4,4
"163","place","NN",5,4
"164","to","TO",2,4
"165","talk","VB",4,4
"166","as","IN",2,4
"167","neighbors","NNS",9,4
"168","and","CC",3,4
"169","as","IN",2,4
"170","friends","NNS",7,4
"171","for","IN",3,4
"172","this","DT",4,4
"173","is","VBZ",2,4
"174","a","DT",1,4
"175","day","NN",3,4
"176","when","WRB",4,4
"177","our","PP$",3,4
"178","nation","NN",6,4
"179","is","VBZ",2,4
"180","made","VBN",4,4
"181","whole","RP",5,4
"182","when","WRB",4,4
"183","our","PP$",3,4
"184","differences","NNS",11,4
"185","for","IN",3,4
"186","a","DT",1,4
"187","moment","NN",6,4
"188","are","VBP",3,4
"189","suspended","VBN",9,4
"190","and","CC",3,4
"191","my","PP$",2,4
"192","first","JJ",5,4
"193","act","NN",3,4
"194","as","IN",2,4
"195","president","NN",9,4
"196","is","VBZ",2,4
"197","a","DT",1,4
"198","prayer","NN",6,4
"199","i","NNS",1,4
"200","ask","VBP",3,4
"201","you","PP",3,4
"202","to","TO",2,4
"203","bow","VB",3,4
"204","your","PP$",4,4
"205","heads","NNS",5,4
"206",":","SENT",1,4
"207","heavenly","JJ",8,5
"208","father","NN",6,5
"209","we","PP",2,5
"210","bow","VBP",3,5
"211","our","PP$",3,5
"212","heads","NNS",5,5
"213","and","CC",3,5
"214","thank","VB",5,5
"215","you","PP",3,5
"216","for","IN",3,5
"217","your","PP$",4,5
"218","love","NN",4,5
"219","accept","VB",6,5
"220","our","PP$",3,5
"221","thanks","NNS",6,5
"222","for","IN",3,5
"223","the","DT",3,5
"224","peace","NN",5,5
"225","that","WDT",4,5
"226","yields","VBZ",6,5
"227","this","DT",4,5
"228","day","NN",3,5
"229","and","CC",3,5
"230","the","DT",3,5
"231","shared","JJ",6,5
"232","faith","NN",5,5
"233","that","WDT",4,5
"234","makes","VBZ",5,5
"235","its","PP$",3,5
"236","continuance","NN",11,5
"237","likely","RB",6,5
"238","make","VB",4,5
"239","us","PP",2,5
"240","strong","JJ",6,5
"241","to","TO",2,5
"242","do","VB",2,5
"243","your","PP$",4,5
"244","work","NN",4,5
"245","willing","JJ",7,5
"246","to","TO",2,5
"247","heed","VB",4,5
"248","and","CC",3,5
"249","hear","VB",4,5
"250","your","PP$",4,5
"251","will","NN",4,5
"252","and","CC",3,5
"253","write","VB",5,5
"254","on","IN",2,5
"255","our","PP$",3,5
"256","hearts","NNS",6,5
"257","these","DT",5,5
"258","words","NNS",5,5
"259",":","SENT",1,5
"260","""","``",1,6
"261","use","VB",3,6
"262","power","NN",5,6
"263","to","TO",2,6
"264","help","VB",4,6
"265","people","NNS",6,6
"266","""","``",1,6
"267","for","IN",3,6
"268","we","PP",2,6
"269","are","VBP",3,6
"270","given","VBN",5,6
"271","power","NN",5,6
"272","not","RB",3,6
"273","to","TO",2,6
"274","advance","VB",7,6
"275","our","PP$",3,6
"276","own","JJ",3,6
"277","purposes","NNS",8,6
"278","nor","CC",3,6
"279","to","TO",2,6
"280","make","VB",4,6
"281","a","DT",1,6
"282","great","JJ",5,6
"283","show","NN",4,6
"284","in","IN",2,6
"285","the","DT",3,6
"286","world","NN",5,6
"287","nor","CC",3,6
"288","a","DT",1,6
"289","name","NN",4,6
"290","there","EX",5,6
"291","is","VBZ",2,6
"292","but","CC",3,6
"293","one","PP",3,6
"294","just","RB",4,6
"295","use","VBP",3,6
"296","of","IN",2,6
"297","power","NN",5,6
"298","and","CC",3,6
"299","it","PP",2,6
"300","is","VBZ",2,6
"301","to","TO",2,6
"302","serve","VB",5,6
"303","people","NNS",6,6
"304","help","VB",4,6
"305","us","PP",2,6
"306","to","TO",2,6
"307","remember","VB",8,6
"308","it","PP",2,6
"309","lord","VB",4,6
"310","amen","NN",4,6
"311","i","NNS",1,6
"312","come","VBP",4,6
"313","before","IN",6,6
"314","you","PP",3,6
"315","and","CC",3,6
"316","assume","VB",6,6
"317","the","DT",3,6
"318","presidency","NN",10,6
"319","at","IN",2,6
"320","a","DT",1,6
"321","moment","NN",6,6
"322","rich","JJ",4,6
"323","with","IN",4,6
"324","promise","NN",7,6
"325","we","PP",2,6
"326","live","VBP",4,6
"327","in","IN",2,6
"328","a","DT",1,6
"329","peaceful","JJ",8,6
"330","prosperous","JJ",10,6
"331","time","NN",4,6
"332","but","CC",3,6
"333","we","PP",2,6
"334","can","MD",3,6
"335","make","VB",4,6
"336","it","PP",2,6
"337","better","JJR",6,6
"338","for","IN",3,6
"339","a","DT",1,6
"340","new","JJ",3,6
"341","breeze","NN",6,6
"342","is","VBZ",2,6
"343","blowing","VBG",7,6
"344","and","CC",3,6
"345","a","DT",1,6
"346","world","NN",5,6
"347","refreshed","VBN",9,6
"348","by","IN",2,6
"349","freedom","NN",7,6
"350","seems","VBZ",5,6
"351","reborn","JJ",6,6
"352",";","SENT",1,6
"353","for","IN",3,7
"354","in","IN",2,7
"355","man","NN",3,7
"356","heart","NN",5,7
"357","if","IN",2,7
"358","not","RB",3,7
"359","in","IN",2,7
"360","fact","NN",4,7
"361","the","DT",3,7
"362","day","NN",3,7
"363","of","IN",2,7
"364","the","DT",3,7
"365","dictator","NN",8,7
"366","is","VBZ",2,7
"367","over","IN",4,7
"368","the","DT",3,7
"369","totalitarian","JJ",12,7
"370","era","NN",3,7
"371","is","VBZ",2,7
"372","passing","VBG",7,7
"373","its","PP$",3,7
"374","old","JJ",3,7
"375","ideas","NNS",5,7
"376","blown","VBN",5,7
"377","away","RB",4,7
"378","like","IN",4,7
"379","leaves","NNS",6,7
"380","from","IN",4,7
"381","an","DT",2,7
"382","ancient","JJ",7,7
"383","lifeless","JJ",8,7
"384","tree","NN",4,7
"385","a","DT",1,7
"386","new","JJ",3,7
"387","breeze","NN",6,7
"388","is","VBZ",2,7
"389","blowing","VBG",7,7
"390","and","CC",3,7
"391","a","DT",1,7
"392","nation","NN",6,7
"393","refreshed","VBN",9,7
"394","by","IN",2,7
"395","freedom","NN",7,7
"396","stands","NNS",6,7
"397","ready","JJ",5,7
"398","to","TO",2,7
"399","push","VB",4,7
"400","on","IN",2,7
"401","there","EX",5,7
"402","is","VBZ",2,7
"403","new","JJ",3,7
"404","ground","NN",6,7
"405","to","TO",2,7
"406","be","VB",2,7
"407","broken","VBN",6,7
"408","and","CC",3,7
"409","new","JJ",3,7
"410","action","NN",6,7
"411","to","TO",2,7
"412","be","VB",2,7
"413","taken","VBN",5,7
"414","there","EX",5,7
"415","are","VBP",3,7
"416","times","NNS",5,7
"417","when","WRB",4,7
"418","the","DT",3,7
"419","future","NN",6,7
"420","seems","VBZ",5,7
"421","thick","JJ",5,7
"422","as","IN",2,7
"423","a","DT",1,7
"424","fog","NN",3,7
"425",";","SENT",1,7
"426","you","PP",3,8
"427","sit","VBP",3,8
"428","and","CC",3,8
"429","wait","VBP",4,8
"430","hoping","VBG",6,8
"431","the","DT",3,8
"432","mists","NNS",5,8
"433","will","MD",4,8
"434","lift","VB",4,8
"435","and","CC",3,8
"436","reveal","VB",6,8
"437","the","DT",3,8
"438","right","JJ",5,8
"439","path","NN",4,8
"440","but","CC",3,8
"441","this","DT",4,8
"442","is","VBZ",2,8
"443","a","DT",1,8
"444","time","NN",4,8
"445","when","WRB",4,8
"446","the","DT",3,8
"447","future","NN",6,8
"448","seems","VBZ",5,8
"449","a","DT",1,8
"450","door","NN",4,8
"451","you","PP",3,8
"452","can","MD",3,8
"453","walk","VB",4,8
"454","right","RB",5,8
"455","through","IN",7,8
"456","into","IN",4,8
"457","a","DT",1,8
"458","room","NN",4,8
"459","called","VBD",6,8
"460","tomorrow","NN",8,8
"461","great","JJ",5,8
"462","nations","NNS",7,8
"463","of","IN",2,8
"464","the","DT",3,8
"465","world","NN",5,8
"466","are","VBP",3,8
"467","moving","VBG",6,8
"468","toward","IN",6,8
"469","democracy","NN",9,8
"470","through","IN",7,8
"471","the","DT",3,8
"472","door","NN",4,8
"473","to","TO",2,8
"474","freedom","NN",7,8
"475","men","NNS",3,8
"476","and","CC",3,8
"477","women","NNS",5,8
"478","of","IN",2,8
"479","the","DT",3,8
"480","world","NN",5,8
"481","move","NN",4,8
"482","toward","IN",6,8
"483","free","JJ",4,8
"484","markets","NNS",7,8
"485","through","IN",7,8
"486","the","DT",3,8
"487","door","NN",4,8
"488","to","TO",2,8
"489","prosperity","NN",10,8
"490","the","DT",3,8
"491","people","NNS",6,8
