"","単語","品詞名","文字数","出現数"
"1","my","PP$",2,1
"2","fellow","JJ",6,1
"3","citizens","NNS",8,1
"4",":","SENT",1,1
"5","at","IN",2,2
"6","this","DT",4,2
"7","last","JJ",4,2
"8","presidential","JJ",12,2
"9","inauguration","NN",12,2
"10","of","IN",2,2
"11","the","DT",3,2
"12","20","CD",2,2
"13","th","NN",2,2
"14","century","NN",7,2
"15","let","VB",3,2
"16","us","PP",2,2
"17","lift","VB",4,2
"18","our","PP$",3,2
"19","eyes","NNS",4,2
"20","toward","IN",6,2
"21","the","DT",3,2
"22","challenges","NNS",10,2
"23","that","WDT",4,2
"24","await","VBP",5,2
"25","us","PP",2,2
"26","in","IN",2,2
"27","the","DT",3,2
"28","next","JJ",4,2
"29","century","NN",7,2
"30","it","PP",2,2
"31","is","VBZ",2,2
"32","our","PP$",3,2
"33","great","JJ",5,2
"34","good","JJ",4,2
"35","fortune","NN",7,2
"36","that","IN",4,2
"37","time","NN",4,2
"38","and","CC",3,2
"39","chance","NN",6,2
"40","have","VBP",4,2
"41","put","VBN",3,2
"42","us","PP",2,2
"43","not","RB",3,2
"44","only","RB",4,2
"45","at","IN",2,2
"46","the","DT",3,2
"47","edge","NN",4,2
"48","of","IN",2,2
"49","a","DT",1,2
"50","new","JJ",3,2
"51","century","NN",7,2
"52","in","IN",2,2
"53","a","DT",1,2
"54","new","JJ",3,2
"55","millennium","NN",10,2
"56","but","CC",3,2
"57","on","IN",2,2
"58","the","DT",3,2
"59","edge","NN",4,2
"60","of","IN",2,2
"61","a","DT",1,2
"62","bright","JJ",6,2
"63","new","JJ",3,2
"64","prospect","NN",8,2
"65","in","IN",2,2
"66","human","JJ",5,2
"67","affairs","NNS",7,2
"68","a","DT",1,2
"69","moment","NN",6,2
"70","that","WDT",4,2
"71","will","MD",4,2
"72","define","VB",6,2
"73","our","PP$",3,2
"74","course","NN",6,2
"75","and","CC",3,2
"76","our","PP$",3,2
"77","character","NN",9,2
"78","for","IN",3,2
"79","decades","NNS",7,2
"80","to","TO",2,2
"81","come","VB",4,2
"82","we","PP",2,2
"83","must","MD",4,2
"84","keep","VB",4,2
"85","our","PP$",3,2
"86","old","JJ",3,2
"87","democracy","NN",9,2
"88","forever","RB",7,2
"89","young","JJ",5,2
"90","guided","VBN",6,2
"91","by","IN",2,2
"92","the","DT",3,2
"93","ancient","JJ",7,2
"94","vision","NN",6,2
"95","of","IN",2,2
"96","a","DT",1,2
"97","promised","JJ",8,2
"98","land","NN",4,2
"99","let","VBD",3,2
"100","us","PP",2,2
"101","set","VBD",3,2
"102","our","PP$",3,2
"103","sights","NNS",6,2
"104","upon","IN",4,2
"105","a","DT",1,2
"106","land","NN",4,2
"107","of","IN",2,2
"108","new","JJ",3,2
"109","promise","NN",7,2
"110","the","DT",3,2
"111","promise","NN",7,2
"112","of","IN",2,2
"113","america","NN",7,2
"114","was","VBD",3,2
"115","born","VBN",4,2
"116","in","IN",2,2
"117","the","DT",3,2
"118","18","CD",2,2
"119","th","NN",2,2
"120","century","NN",7,2
"121","out","IN",3,2
"122","of","IN",2,2
"123","the","DT",3,2
"124","bold","JJ",4,2
"125","conviction","NN",10,2
"126","that","IN",4,2
"127","we","PP",2,2
"128","are","VBP",3,2
"129","all","RB",3,2
"130","created","VBN",7,2
"131","equal","JJ",5,2
"132","it","PP",2,2
"133","was","VBD",3,2
"134","extended","VBN",8,2
"135","and","CC",3,2
"136","preserved","VBN",9,2
"137","in","IN",2,2
"138","the","DT",3,2
"139","19","CD",2,2
"140","th","NN",2,2
"141","century","NN",7,2
"142","when","WRB",4,2
"143","our","PP$",3,2
"144","nation","NN",6,2
"145","spread","NN",6,2
"146","across","IN",6,2
"147","the","DT",3,2
"148","continent","NN",9,2
"149","saved","VBD",5,2
"150","the","DT",3,2
"151","union","NN",5,2
"152","and","CC",3,2
"153","abolished","VBD",9,2
"154","the","DT",3,2
"155","awful","JJ",5,2
"156","scourge","NN",7,2
"157","of","IN",2,2
"158","slavery","NN",7,2
"159","then","RB",4,2
"160","in","IN",2,2
"161","turmoil","NN",7,2
"162","and","CC",3,2
"163","triumph","NN",7,2
"164","that","IN",4,2
"165","promise","NN",7,2
"166","exploded","VBD",8,2
"167","onto","IN",4,2
"168","the","DT",3,2
"169","world","NN",5,2
"170","stage","NN",5,2
"171","to","TO",2,2
"172","make","VB",4,2
"173","this","DT",4,2
"174","the","DT",3,2
"175","american","JJ",8,2
"176","century","NN",7,2
"177","and","CC",3,2
"178","what","WP",4,2
"179","a","DT",1,2
"180","century","NN",7,2
"181","it","PP",2,2
"182","has","VBZ",3,2
"183","been","VBN",4,2
"184","america","NN",7,2
"185","became","VBD",6,2
"186","the","DT",3,2
"187","world","NN",5,2
"188","mightiest","JJS",9,2
"189","industrial","JJ",10,2
"190","power","NN",5,2
"191",";","SENT",1,2
"192","saved","VBN",5,3
"193","the","DT",3,3
"194","world","NN",5,3
"195","from","IN",4,3
"196","tyranny","NN",7,3
"197","in","IN",2,3
"198","two","CD",3,3
"199","world","NN",5,3
"200","wars","NNS",4,3
"201","and","CC",3,3
"202","a","DT",1,3
"203","long","JJ",4,3
"204","cold","JJ",4,3
"205","war","NN",3,3
"206",";","SENT",1,3
"207","and","CC",3,4
"208","time","NN",4,4
"209","and","CC",3,4
"210","again","RB",5,4
"211","reached","VBN",7,4
"212","out","RP",3,4
"213","across","IN",6,4
"214","the","DT",3,4
"215","globe","NN",5,4
"216","to","TO",2,4
"217","millions","NNS",8,4
"218","who","WP",3,4
"219","like","VBP",4,4
"220","us","PP",2,4
"221","longed","VBD",6,4
"222","for","IN",3,4
"223","the","DT",3,4
"224","blessings","NNS",9,4
"225","of","IN",2,4
"226","liberty","NN",7,4
"227","along","IN",5,4
"228","the","DT",3,4
"229","way","NN",3,4
"230","americans","NNS",9,4
"231","produced","VBD",8,4
"232","a","DT",1,4
"233","great","JJ",5,4
"234","middle","JJ",6,4
"235","class","NN",5,4
"236","and","CC",3,4
"237","security","NN",8,4
"238","in","IN",2,4
"239","old","JJ",3,4
"240","age","NN",3,4
"241",";","SENT",1,4
"242","built","VBN",5,5
"243","unrivaled","JJ",9,5
"244","centers","NNS",7,5
"245","of","IN",2,5
"246","learning","VBG",8,5
"247","and","CC",3,5
"248","opened","VBD",6,5
"249","public","JJ",6,5
"250","schools","NNS",7,5
"251","to","TO",2,5
"252","all","DT",3,5
"253",";","SENT",1,5
"254","split","VB",5,6
"255","the","DT",3,6
"256","atom","NN",4,6
"257","and","CC",3,6
"258","explored","VBD",8,6
"259","the","DT",3,6
"260","heavens","NNS",7,6
"261",";","SENT",1,6
"262","invented","VBD",8,7
"263","the","DT",3,7
"264","computer","NN",8,7
"265","and","CC",3,7
"266","the","DT",3,7
"267","microchip","NN",9,7
"268",";","SENT",1,7
"269","and","CC",3,8
"270","deepened","VBD",8,8
"271","the","DT",3,8
"272","wellspring","NN",10,8
"273","of","IN",2,8
"274","justice","NN",7,8
"275","by","IN",2,8
"276","making","VBG",6,8
"277","a","DT",1,8
"278","revolution","NN",10,8
"279","in","IN",2,8
"280","civil","JJ",5,8
"281","rights","NNS",6,8
"282","for","IN",3,8
"283","african","JJ",7,8
"284","americans","NNS",9,8
"285","and","CC",3,8
"286","all","DT",3,8
"287","minorities","NNS",10,8
"288","and","CC",3,8
"289","extending","VBG",9,8
"290","the","DT",3,8
"291","circle","NN",6,8
"292","of","IN",2,8
"293","citizenship","NN",11,8
"294","opportunity","NN",11,8
"295","and","CC",3,8
"296","dignity","NN",7,8
"297","to","TO",2,8
"298","women","NNS",5,8
"299","now","RB",3,8
"300","for","IN",3,8
"301","the","DT",3,8
"302","third","JJ",5,8
"303","time","NN",4,8
"304","a","DT",1,8
"305","new","JJ",3,8
"306","century","NN",7,8
"307","is","VBZ",2,8
"308","upon","IN",4,8
"309","us","PP",2,8
"310","and","CC",3,8
"311","another","DT",7,8
"312","time","NN",4,8
"313","to","TO",2,8
"314","choose","VB",6,8
"315","we","PP",2,8
"316","began","VBD",5,8
"317","the","DT",3,8
"318","19","CD",2,8
"319","th","NN",2,8
"320","century","NN",7,8
"321","with","IN",4,8
"322","a","DT",1,8
"323","choice","NN",6,8
"324","to","TO",2,8
"325","spread","VB",6,8
"326","our","PP$",3,8
"327","nation","NN",6,8
"328","from","IN",4,8
"329","coast","NN",5,8
"330","to","TO",2,8
"331","coast","NN",5,8
"332","we","PP",2,8
"333","began","VBD",5,8
"334","the","DT",3,8
"335","20","CD",2,8
"336","th","NN",2,8
"337","century","NN",7,8
"338","with","IN",4,8
"339","a","DT",1,8
"340","choice","NN",6,8
"341","to","TO",2,8
"342","harness","VB",7,8
"343","the","DT",3,8
"344","industrial","JJ",10,8
"345","revolution","NN",10,8
"346","to","TO",2,8
"347","our","PP$",3,8
"348","values","NNS",6,8
"349","of","IN",2,8
"350","free","JJ",4,8
"351","enterprise","NN",10,8
"352","conservation","NN",12,8
"353","and","CC",3,8
"354","human","JJ",5,8
"355","decency","NN",7,8
"356","those","DT",5,8
"357","choices","NNS",7,8
"358","made","VBD",4,8
"359","all","PDT",3,8
"360","the","DT",3,8
"361","difference","NN",10,8
"362","at","IN",2,8
"363","the","DT",3,8
"364","dawn","NN",4,8
"365","of","IN",2,8
"366","the","DT",3,8
"367","21","CD",2,8
"368","st","NN",2,8
"369","century","NN",7,8
"370","a","DT",1,8
"371","free","JJ",4,8
"372","people","NNS",6,8
"373","must","MD",4,8
"374","now","RB",3,8
"375","choose","VB",6,8
"376","to","TO",2,8
"377","shape","VB",5,8
"378","the","DT",3,8
"379","forces","NNS",6,8
"380","of","IN",2,8
"381","the","DT",3,8
"382","information","NN",11,8
"383","age","NN",3,8
"384","and","CC",3,8
"385","the","DT",3,8
"386","global","JJ",6,8
"387","society","NN",7,8
"388","to","TO",2,8
"389","unleash","VB",7,8
"390","the","DT",3,8
"391","limitless","JJ",9,8
"392","potential","NN",9,8
"393","of","IN",2,8
"394","all","PDT",3,8
"395","our","PP$",3,8
"396","people","NNS",6,8
"397","and","CC",3,8
"398","yes","UH",3,8
"399","to","TO",2,8
"400","form","VB",4,8
"401","a","DT",1,8
"402","more","RBR",4,8
"403","perfect","JJ",7,8
"404","union","NN",5,8
"405","when","WRB",4,8
"406","last","JJ",4,8
"407","we","PP",2,8
"408","gathered","VBD",8,8
"409","our","PP$",3,8
"410","march","NN",5,8
"411","to","TO",2,8
"412","this","DT",4,8
"413","new","JJ",3,8
"414","future","NN",6,8
"415","seemed","VBD",6,8
"416","less","RBR",4,8
"417","certain","JJ",7,8
"418","than","IN",4,8
"419","it","PP",2,8
"420","does","VBZ",4,8
"421","today","NN",5,8
"422","we","PP",2,8
"423","vowed","VBD",5,8
"424","then","RB",4,8
"425","to","TO",2,8
"426","set","VB",3,8
"427","a","DT",1,8
"428","clear","JJ",5,8
"429","course","NN",6,8
"430","to","TO",2,8
"431","renew","VB",5,8
"432","our","PP$",3,8
"433","nation","NN",6,8
"434","in","IN",2,8
"435","these","DT",5,8
"436","four","CD",4,8
"437","years","NNS",5,8
"438","we","PP",2,8
"439","have","VBP",4,8
"440","been","VBN",4,8
"441","touched","VBN",7,8
"442","by","IN",2,8
"443","tragedy","NN",7,8
"444","exhilarated","VBN",11,8
"445","by","IN",2,8
"446","challenge","NN",9,8
"447","strengthened","VBN",12,8
"448","by","IN",2,8
"449","achievement","NN",11,8
"450","america","NN",7,8
"451","stands","VBZ",6,8
"452","alone","RB",5,8
"453","as","IN",2,8
"454","the","DT",3,8
"455","world","NN",5,8
"456","indispensable","JJ",13,8
"457","nation","NN",6,8
"458","once","RB",4,8
"459","again","RB",5,8
"460","our","PP$",3,8
"461","economy","NN",7,8
"462","is","VBZ",2,8
"463","the","DT",3,8
"464","strongest","JJS",9,8
"465","on","IN",2,8
"466","earth","NN",5,8
"467","once","RB",4,8
"468","again","RB",5,8
"469","we","PP",2,8
"470","are","VBP",3,8
"471","building","VBG",8,8
"472","stronger","JJR",8,8
"473","families","NNS",8,8
"474","thriving","VBG",8,8
"475","communities","NNS",11,8
"476","better","RBR",6,8
"477","educational","JJ",11,8
"478","opportunities","NNS",13,8
"479","a","DT",1,8
"480","cleaner","JJR",7,8
"481","environment","NN",11,8
"482","problems","NNS",8,8
"483","that","WDT",4,8
"484","once","RB",4,8
"485","seemed","VBD",6,8
"486","destined","VBN",8,8
"487","to","TO",2,8
"488","deepen","VB",6,8
"489","now","RB",3,8
"490","bend","VB",4,8
"491","to","TO",2,8
"492","our","PP$",3,8
"493","efforts","NNS",7,8
"494",":","SENT",1,8
"495","our","PP$",3,9
"496","streets","NNS",7,9
"497","are","VBP",3,9
"498","safer","JJR",5,9
"499","and","CC",3,9
"500","record","NN",6,9
"501","numbers","NNS",7,9
"502","of","IN",2,9
"503","our","PP$",3,9
"504","fellow","JJ",6,9
"505","citizens","NNS",8,9
"506","have","VBP",4,9
"507","moved","VBN",5,9
"508","from","IN",4,9
"509","welfare","NN",7,9
"510","to","TO",2,9
"511","work","VB",4,9
"512","and","CC",3,9
"513","once","RB",4,9
"514","again","RB",5,9
"515","we","PP",2,9
"516","have","VBP",4,9
"517","resolved","VBN",8,9
"518","for","IN",3,9
"519","our","PP$",3,9
"520","time","NN",4,9
"521","a","DT",1,9
"522","great","JJ",5,9
"523","debate","NN",6,9
"524","over","IN",4,9
"525","the","DT",3,9
"526","role","NN",4,9
"527","of","IN",2,9
"528","government","NN",10,9
"529","today","NN",5,9
"530","we","PP",2,9
"531","can","MD",3,9
"532","declare","VB",7,9
"533",":","SENT",1,9
"534","government","NN",10,10
"535","is","VBZ",2,10
"536","not","RB",3,10
"537","the","DT",3,10
"538","problem","NN",7,10
"539","and","CC",3,10
"540","government","NN",10,10
"541","is","VBZ",2,10
"542","not","RB",3,10
"543","the","DT",3,10
"544","solution","NN",8,10
"545","we","PP",2,10
"546","the","DT",3,10
"547","american","JJ",8,10
"548","people","NNS",6,10
"549","we","PP",2,10
"550","are","VBP",3,10
"551","the","DT",3,10
"552","solution","NN",8,10
"553","our","PP$",3,10
"554","founders","NNS",8,10
"555","understood","VBD",10,10
"556","that","IN",4,10
"557","well","RB",4,10
"558","and","CC",3,10
"559","gave","VBD",4,10
"560","us","PP",2,10
"561","a","DT",1,10
"562","democracy","NN",9,10
"563","strong","JJ",6,10
"564","enough","RB",6,10
"565","to","TO",2,10
"566","endure","VB",6,10
"567","for","IN",3,10
"568","centuries","NNS",9,10
"569","flexible","JJ",8,10
"570","enough","RB",6,10
"571","to","TO",2,10
"572","face","VB",4,10
"573","our","PP$",3,10
"574","common","JJ",6,10
"575","challenges","NNS",10,10
"576","and","CC",3,10
"577","advance","VB",7,10
"578","our","PP$",3,10
"579","common","JJ",6,10
"580","dreams","NNS",6,10
"581","in","IN",2,10
"582","each","DT",4,10
"583","new","JJ",3,10
"584","day","NN",3,10
"585","as","IN",2,10
"586","times","NNS",5,10
"587","change","VBP",6,10
"588","so","RB",2,10
"589","government","NN",10,10
"590","must","MD",4,10
"591","change","VB",6,10
"592","we","PP",2,10
"593","need","VB",4,10
"594","a","DT",1,10
"595","new","JJ",3,10
"596","government","NN",10,10
"597","for","IN",3,10
"598","a","DT",1,10
"599","new","JJ",3,10
"600","century","NN",7,10
"601","humble","JJ",6,10
"602","enough","RB",6,10
"603","not","RB",3,10
"604","to","TO",2,10
"605","try","VB",3,10
"606","to","TO",2,10
"607","solve","VB",5,10
"608","all","PDT",3,10
"609","our","PP$",3,10
"610","problems","NNS",8,10
"611","for","IN",3,10
"612","us","PP",2,10
"613","but","CC",3,10
"614","strong","JJ",6,10
"615","enough","RB",6,10
"616","to","TO",2,10
"617","give","VB",4,10
"618","us","PP",2,10
"619","the","DT",3,10
"620","tools","NNS",5,10
"621","to","TO",2,10
"622","solve","VB",5,10
"623","our","PP$",3,10
"624","problems","NNS",8,10
"625","for","IN",3,10
"626","ourselves","PP",9,10
"627",";","SENT",1,10
"628","a","DT",1,11
"629","government","NN",10,11
"630","that","WDT",4,11
"631","is","VBZ",2,11
"632","smaller","JJR",7,11
"633","lives","NNS",5,11
"634","within","IN",6,11
"635","its","PP$",3,11
"636","means","NNS",5,11
"637","and","CC",3,11
"638","does","VBZ",4,11
"639","more","RBR",4,11
"640","with","IN",4,11
"641","less","RBR",4,11
"642","yet","RB",3,11
"643","where","WRB",5,11
"644","it","PP",2,11
"645","can","MD",3,11
"646","stand","VB",5,11
"647","up","RP",2,11
"648","for","IN",3,11
"649","our","PP$",3,11
"650","values","NNS",6,11
"651","and","CC",3,11
"652","interests","NNS",9,11
"653","in","IN",2,11
"654","the","DT",3,11
"655","world","NN",5,11
"656","and","CC",3,11
"657","where","WRB",5,11
"658","it","PP",2,11
"659","can","MD",3,11
"660","give","VB",4,11
"661","americans","NNS",9,11
"662","the","DT",3,11
"663","power","NN",5,11
"664","to","TO",2,11
"665","make","VB",4,11
"666","a","DT",1,11
"667","real","JJ",4,11
"668","difference","NN",10,11
"669","in","IN",2,11
"670","their","PP$",5,11
"671","everyday","JJ",8,11
"672","lives","NNS",5,11
"673","government","NN",10,11
"674","should","MD",6,11
"675","do","VB",2,11
"676","more","RBR",4,11
"677","not","RB",3,11
"678","less","CC",4,11
"679","the","DT",3,11
"680","preeminent","JJ",10,11
"681","mission","NN",7,11
"682","of","IN",2,11
"683","our","PP$",3,11
"684","new","JJ",3,11
"685","government","NN",10,11
"686","is","VBZ",2,11
"687","to","TO",2,11
"688","give","VB",4,11
"689","all","DT",3,11
"690","americans","NNS",9,11
"691","an","DT",2,11
"692","opportunity","NN",11,11
"693","not","RB",3,11
"694","a","DT",1,11
"695","guarantee","NN",9,11
"696","but","CC",3,11
"697","a","DT",1,11
"698","real","JJ",4,11
"699","opportunity","NN",11,11
"700","to","TO",2,11
"701","build","VB",5,11
"702","better","JJR",6,11
"703","lives","NNS",5,11
"704","beyond","IN",6,11
"705","that","WDT",4,11
"706","my","PP$",2,11
"707","fellow","JJ",6,11
"708","citizens","NNS",8,11
"709","the","DT",3,11
"710","future","NN",6,11
"711","is","VBZ",2,11
"712","up","RB",2,11
"713","to","TO",2,11
"714","us","PP",2,11
"715","our","PP$",3,11
"716","founders","NNS",8,11
"717","taught","VBD",6,11
"718","us","PP",2,11
"719","that","IN",4,11
"720","the","DT",3,11
"721","preservation","NN",12,11
"722","of","IN",2,11
"723","our","PP$",3,11
"724","liberty","NN",7,11
"725","and","CC",3,11
"726","our","PP$",3,11
"727","union","NN",5,11
"728","depends","VBZ",7,11
"729","upon","IN",4,11
"730","responsible","JJ",11,11
"731","citizenship","NN",11,11
"732","and","CC",3,11
"733","we","PP",2,11
"734","need","VBP",4,11
"735","a","DT",1,11
"736","new","JJ",3,11
"737","sense","NN",5,11
"738","of","IN",2,11
"739","responsibility","NN",14,11
"740","for","IN",3,11
"741","a","DT",1,11
"742","new","JJ",3,11
"743","century","NN",7,11
"744","there","EX",5,11
"745","is","VBZ",2,11
"746","work","NN",4,11
"747","to","TO",2,11
"748","do","VB",2,11
"749","work","VB",4,11
"750","that","DT",4,11
"751","government","NN",10,11
"752","alone","RB",5,11
"753","cannot","MD",6,11
"754","do","VB",2,11
"755",":","SENT",1,11
"756","teaching","VBG",8,12
"757","children","NNS",8,12
"758","to","TO",2,12
"759","read","VB",4,12
"760",";","SENT",1,12
"761","hiring","VBG",6,13
"762","people","NNS",6,13
"763","off","IN",3,13
"764","welfare","NN",7,13
"765","rolls","NNS",5,13
"766",";","SENT",1,13
"767","coming","VBG",6,14
"768","out","RP",3,14
"769","from","IN",4,14
"770","behind","IN",6,14
"771","locked","VBN",6,14
"772","doors","NNS",5,14
"773","and","CC",3,14
"774","shuttered","JJ",9,14
"775","windows","NNS",7,14
"776","to","TO",2,14
"777","help","VB",4,14
"778","reclaim","VB",7,14
"779","our","PP$",3,14
"780","streets","NNS",7,14
"781","from","IN",4,14
"782","drugs","NNS",5,14
"783","and","CC",3,14
"784","gangs","NNS",5,14
"785","and","CC",3,14
"786","crime","NN",5,14
"787",";","SENT",1,14
"788","taking","VBG",6,15
"789","time","NN",4,15
"790","out","RP",3,15
"791","of","IN",2,15
"792","our","PP$",3,15
"793","own","JJ",3,15
"794","lives","NNS",5,15
"795","to","TO",2,15
"796","serve","VB",5,15
"797","others","NNS",6,15
"798","each","DT",4,15
"799","and","CC",3,15
"800","every","DT",5,15
"801","one","CD",3,15
"802","of","IN",2,15
"803","us","PP",2,15
"804","in","IN",2,15
"805","our","PP$",3,15
"806","own","JJ",3,15
"807","way","NN",3,15
"808","must","MD",4,15
"809","assume","VB",6,15
"810","personal","JJ",8,15
"811","responsibility","NN",14,15
"812","not","RB",3,15
"813","only","RB",4,15
"814","for","IN",3,15
"815","ourselves","PP",9,15
"816","and","CC",3,15
"817","our","PP$",3,15
"818","families","NNS",8,15
"819","but","CC",3,15
"820","for","IN",3,15
"821","our","PP$",3,15
"822","neighbors","NNS",9,15
"823","and","CC",3,15
"824","our","PP$",3,15
"825","nation","NN",6,15
"826","our","PP$",3,15
"827","greatest","JJS",8,15
"828","responsibility","NN",14,15
"829","is","VBZ",2,15
"830","to","TO",2,15
"831","embrace","VB",7,15
"832","a","DT",1,15
"833","new","JJ",3,15
"834","spirit","NN",6,15
"835","of","IN",2,15
"836","community","NN",9,15
"837","for","IN",3,15
"838","a","DT",1,15
"839","new","JJ",3,15
"840","century","NN",7,15
"841","for","IN",3,15
"842","any","DT",3,15
"843","one","CD",3,15
"844","of","IN",2,15
"845","us","PP",2,15
"846","to","TO",2,15
"847","succeed","VB",7,15
"848","we","PP",2,15
"849","must","MD",4,15
"850","succeed","VB",7,15
"851","as","IN",2,15
"852","one","CD",3,15
"853","america","NNS",7,15
"854","the","DT",3,15
"855","challenge","NN",9,15
