"","単語","品詞名","文字数","出現数"
"1","president","NN",9,1
"2","clinton","NN",7,1
"3","distinguished","VBD",13,1
"4","guests","NNS",6,1
"5","and","CC",3,1
"6","my","PP$",2,1
"7","fellow","JJ",6,1
"8","citizens","NNS",8,1
"9",":","SENT",1,1
"10","the","DT",3,2
"11","peaceful","JJ",8,2
"12","transfer","NN",8,2
"13","of","IN",2,2
"14","authority","NN",9,2
"15","is","VBZ",2,2
"16","rare","JJ",4,2
"17","in","IN",2,2
"18","history","NN",7,2
"19","yet","RB",3,2
"20","common","JJ",6,2
"21","in","IN",2,2
"22","our","PP$",3,2
"23","country","NN",7,2
"24","with","IN",4,2
"25","a","DT",1,2
"26","simple","JJ",6,2
"27","oath","NN",4,2
"28","we","PP",2,2
"29","affirm","VBP",6,2
"30","old","JJ",3,2
"31","traditions","NNS",10,2
"32","and","CC",3,2
"33","make","VB",4,2
"34","new","JJ",3,2
"35","beginnings","NNS",10,2
"36","as","IN",2,2
"37","i","NP",1,2
"38","begin","VB",5,2
"39","i","NP",1,2
"40","thank","VB",5,2
"41","president","NN",9,2
"42","clinton","NN",7,2
"43","for","IN",3,2
"44","his","PP$",3,2
"45","service","NN",7,2
"46","to","TO",2,2
"47","our","PP$",3,2
"48","nation","NN",6,2
"49",";","SENT",1,2
"50","and","CC",3,3
"51","i","NP",1,3
"52","thank","VBP",5,3
"53","vice","JJ",4,3
"54","president","NN",9,3
"55","gore","NN",4,3
"56","for","IN",3,3
"57","a","DT",1,3
"58","contest","NN",7,3
"59","conducted","VBN",9,3
"60","with","IN",4,3
"61","spirit","NN",6,3
"62","and","CC",3,3
"63","ended","VBN",5,3
"64","with","IN",4,3
"65","grace","NN",5,3
"66","i","NNS",1,3
"67","am","VBP",2,3
"68","honored","VBN",7,3
"69","and","CC",3,3
"70","humbled","VBN",7,3
"71","to","TO",2,3
"72","stand","VB",5,3
"73","here","RB",4,3
"74","where","WRB",5,3
"75","so","RB",2,3
"76","many","JJ",4,3
"77","of","IN",2,3
"78","america","NN",7,3
"79","leaders","NNS",7,3
"80","have","VBP",4,3
"81","come","VBN",4,3
"82","before","IN",6,3
"83","me","PP",2,3
"84","and","CC",3,3
"85","so","RB",2,3
"86","many","JJ",4,3
"87","will","MD",4,3
"88","follow","VB",6,3
"89","we","PP",2,3
"90","have","VBP",4,3
"91","a","DT",1,3
"92","place","NN",5,3
"93","all","RB",3,3
"94","of","IN",2,3
"95","us","PP",2,3
"96","in","IN",2,3
"97","a","DT",1,3
"98","long","JJ",4,3
"99","story","NN",5,3
"100","a","DT",1,3
"101","story","NN",5,3
"102","we","PP",2,3
"103","continue","VBP",8,3
"104","but","CC",3,3
"105","whose","WP$",5,3
"106","end","NN",3,3
"107","we","PP",2,3
"108","will","MD",4,3
"109","not","RB",3,3
"110","see","VB",3,3
"111","it","PP",2,3
"112","is","VBZ",2,3
"113","the","DT",3,3
"114","story","NN",5,3
"115","of","IN",2,3
"116","a","DT",1,3
"117","new","JJ",3,3
"118","world","NN",5,3
"119","that","WDT",4,3
"120","became","VBD",6,3
"121","a","DT",1,3
"122","friend","NN",6,3
"123","and","CC",3,3
"124","liberator","NN",9,3
"125","of","IN",2,3
"126","the","DT",3,3
"127","old","JJ",3,3
"128","a","DT",1,3
"129","story","NN",5,3
"130","of","IN",2,3
"131","a","DT",1,3
"132","slave","NN",5,3
"133","holding","NN",7,3
