"","単語","品詞名","文字数","出現数"
"1","vice","JJ",4,1
"2","president","NN",9,1
"3","biden","NN",5,1
"4","mr","NN",2,1
"5","chief","JJ",5,1
"6","justice","NN",7,1
"7","members","NNS",7,1
"8","of","IN",2,1
"9","the","DT",3,1
"10","united","VBN",6,1
"11","states","NNS",6,1
"12","congress","NN",8,1
"13","distinguished","VBD",13,1
"14","guests","NNS",6,1
"15","and","CC",3,1
"16","fellow","JJ",6,1
"17","citizens","NNS",8,1
"18",":","SENT",1,1
"19","each","DT",4,2
"20","time","NN",4,2
"21","we","PP",2,2
"22","gather","VBP",6,2
"23","to","TO",2,2
"24","inaugurate","VB",10,2
"25","a","DT",1,2
"26","president","NN",9,2
"27","we","PP",2,2
"28","bear","VBP",4,2
"29","witness","NN",7,2
"30","to","TO",2,2
"31","the","DT",3,2
"32","enduring","JJ",8,2
"33","strength","NN",8,2
"34","of","IN",2,2
"35","our","PP$",3,2
"36","constitution","NN",12,2
"37","we","PP",2,2
"38","affirm","VBP",6,2
"39","the","DT",3,2
"40","promise","NN",7,2
"41","of","IN",2,2
"42","our","PP$",3,2
"43","democracy","NN",9,2
"44","we","PP",2,2
"45","recall","VBP",6,2
"46","that","IN",4,2
"47","what","WP",4,2
"48","binds","VBZ",5,2
"49","this","DT",4,2
"50","nation","NN",6,2
"51","together","RB",8,2
"52","is","VBZ",2,2
"53","not","RB",3,2
"54","the","DT",3,2
"55","colors","NNS",6,2
"56","of","IN",2,2
"57","our","PP$",3,2
"58","skin","NN",4,2
"59","or","CC",2,2
"60","the","DT",3,2
"61","tenets","NNS",6,2
"62","of","IN",2,2
"63","our","PP$",3,2
"64","faith","NN",5,2
"65","or","CC",2,2
"66","the","DT",3,2
"67","origins","NNS",7,2
"68","of","IN",2,2
"69","our","PP$",3,2
"70","names","NNS",5,2
"71","what","WP",4,2
"72","makes","VBZ",5,2
"73","us","PP",2,2
"74","exceptional","JJ",11,2
"75","what","WP",4,2
"76","makes","VBZ",5,2
"77","us","PP",2,2
"78","american","NN",8,2
"79","is","VBZ",2,2
"80","our","PP$",3,2
"81","allegiance","NN",10,2
"82","to","TO",2,2
"83","an","DT",2,2
"84","idea","NN",4,2
"85","articulated","VBN",11,2
