"","単語","品詞名","文字数","出現数"
"1","friends","NNS",7,1
"2","delegates","NNS",9,1
"3","and","CC",3,1
"4","fellow","JJ",6,1
"5","americans","NNS",9,1
"6",":","SENT",1,1
"7","i","NP",1,2
"8","humbly","RB",6,2
"9","and","CC",3,2
"10","gratefully","RB",10,2
"11","accept","VB",6,2
"12","your","PP$",4,2
"13","nomination","NN",10,2
"14","for","IN",3,2
"15","the","DT",3,2
"16","presidency","NN",10,2
"17","of","IN",2,2
"18","the","DT",3,2
"19","united","VBN",6,2
"20","states","NNS",6,2
"21","who","WP",3,2
"22","would","MD",5,2
"23","have","VB",4,2
"24","believed","VBN",8,2
"25","that","IN",4,2
"26","when","WRB",4,2
"27","we","PP",2,2
"28","started","VBD",7,2
"29","this","DT",4,2
"30","journey","NN",7,2
"31","on","IN",2,2
"32","june","NN",4,2
"33","16","CD",2,2
"34","th","NN",2,2
"35","of","IN",2,2
"36","last","JJ",4,2
"37","year","NN",4,2
"38","we","PP",2,2
"39","–",":",1,2
"40","and","CC",3,2
"41","i","NP",1,2
"42","say","VBP",3,2
"43","we","PP",2,2
"44","because","IN",7,2
"45","we","PP",2,2
"46","are","VBP",3,2
"47","a","DT",1,2
"48","team","NN",4,2
"49","–",":",1,2
"50","would","MD",5,2
"51","have","VB",4,2
"52","received","VBN",8,2
"53","almost","RB",6,2
"54","14","CD",2,2
"55","million","CD",7,2
"56","votes","NNS",5,2
"57","the","DT",3,2
"58","most","JJS",4,2
"59","in","IN",2,2
"60","the","DT",3,2
"61","history","NN",7,2
"62","of","IN",2,2
"63","the","DT",3,2
"64","republican","JJ",10,2
"65","party","NN",5,2
"66","and","CC",3,2
"67","that","IN",4,2
"68","the","DT",3,2
"69","republican","JJ",10,2
"70","party","NN",5,2
"71","would","MD",5,2
"72","get","VB",3,2
"73","60","CD",2,2
"74","percent","NN",7,2
"75","more","JJR",4,2
"76","votes","NNS",5,2
"77","than","IN",4,2
"78","it","PP",2,2
"79","received","VBD",8,2
"80","eight","CD",5,2
"81","years","NNS",5,2
"82","ago","RB",3,2
"83","who","WP",3,2
"84","would","MD",5,2
"85","have","VB",4,2
"86","believed","VBN",8,2
"87","this","DT",4,2
"88","who","WP",3,2
"89","would","MD",5,2
"90","have","VB",4,2
"91","believed","VBN",8,2
"92","this","DT",4,2
"93","the","DT",3,2
"94","democrats","NNS",9,2
"95","on","IN",2,2
"96","the","DT",3,2
"97","other","JJ",5,2
"98","hand","NN",4,2
"99","received","VBD",8,2
"100","20","CD",2,2
"101","percent","NN",7,2
"102","fewer","JJR",5,2
"103","votes","NNS",5,2
"104","than","IN",4,2
"105","they","PP",4,2
"106","got","VBD",3,2
"107","four","CD",4,2
"108","years","NNS",5,2
"109","ago","RB",3,2
"110","not","RB",3,2
"111","so","RB",2,2
"112","good","JJ",4,2
"113","not","RB",3,2
"114","so","RB",2,2
"115","good","JJ",4,2
"116","together","RB",8,2
"117","we","PP",2,2
"118","will","MD",4,2
"119","lead","VB",4,2
"120","our","PP$",3,2
"121","party","NN",5,2
"122","back","RB",4,2
"123","to","TO",2,2
"124","the","DT",3,2
"125","white","JJ",5,2
"126","house","NN",5,2
"127","and","CC",3,2
"128","we","PP",2,2
"129","will","MD",4,2
"130","lead","VB",4,2
"131","our","PP$",3,2
"132","country","NN",7,2
"133","back","RB",4,2
"134","to","TO",2,2
"135","safety","VB",6,2
"136","prosperity","NN",10,2
"137","and","CC",3,2
"138","peace","NN",5,2
"139","we","PP",2,2
"140","will","MD",4,2
"141","be","VB",2,2
"142","a","DT",1,2
"143","country","NN",7,2
"144","of","IN",2,2
"145","generosity","NN",10,2
"146","and","CC",3,2
"147","warmth","NN",6,2
"148","but","CC",3,2
"149","we","PP",2,2
"150","will","MD",4,2
"151","also","RB",4,2
"152","be","VB",2,2
"153","a","DT",1,2
"154","country","NN",7,2
"155","of","IN",2,2
"156","law","NN",3,2
"157","and","CC",3,2
"158","order","VB",5,2
"159","our","PP$",3,2
"160","convention","NN",10,2
"161","occurs","VBZ",6,2
"162","at","IN",2,2
"163","a","DT",1,2
"164","moment","NN",6,2
"165","of","IN",2,2
"166","crisis","NN",6,2
"167","for","IN",3,2
"168","our","PP$",3,2
"169","nation","NN",6,2
"170","the","DT",3,2
"171","attacks","NNS",7,2
"172","on","IN",2,2
"173","our","PP$",3,2
"174","police","NN",6,2
"175","and","CC",3,2
"176","the","DT",3,2
"177","terrorism","NN",9,2
"178","in","IN",2,2
"179","our","PP$",3,2
"180","cities","NNS",6,2
"181","threaten","VBP",8,2
"182","our","PP$",3,2
"183","very","JJ",4,2
"184","way","NN",3,2
"185","of","IN",2,2
"186","life","NN",4,2
"187","any","DT",3,2
"188","politician","NN",10,2
"189","who","WP",3,2
"190","does","VBZ",4,2
"191","not","RB",3,2
"192","grasp","VB",5,2
"193","this","DT",4,2
"194","danger","NN",6,2
"195","is","VBZ",2,2
"196","not","RB",3,2
"197","fit","JJ",3,2
"198","to","TO",2,2
"199","lead","VB",4,2
"200","our","PP$",3,2
"201","country","NN",7,2
"202","americans","NNS",9,2
"203","watching","VBG",8,2
"204","this","DT",4,2
"205","address","NN",7,2
"206","tonight","NN",7,2
"207","have","VBP",4,2
"208","seen","VBN",4,2
"209","the","DT",3,2
"210","recent","JJ",6,2
"211","images","NNS",6,2
"212","of","IN",2,2
"213","violence","NN",8,2
"214","in","IN",2,2
"215","our","PP$",3,2
"216","streets","NNS",7,2
"217","and","CC",3,2
"218","the","DT",3,2
"219","chaos","NN",5,2
"220","in","IN",2,2
"221","our","PP$",3,2
"222","communities","NNS",11,2
"223","many","JJ",4,2
"224","have","VBP",4,2
"225","witnessed","VBN",9,2
"226","this","DT",4,2
"227","violence","NN",8,2
"228","personally","RB",10,2
"229",";","SENT",1,2
"230","some","DT",4,3
"231","have","VBP",4,3
"232","even","RB",4,3
"233","been","VBN",4,3
"234","its","PP$",3,3
"235","victims","NNS",7,3
"236","i","NNS",1,3
"237","have","VBP",4,3
"238","a","DT",1,3
"239","message","NN",7,3
"240","for","IN",3,3
"241","all","DT",3,3
"242","of","IN",2,3
"243","you","PP",3,3
"244",":","SENT",1,3
"245","the","DT",3,4
"246","crime","NN",5,4
"247","and","CC",3,4
"248","violence","NN",8,4
"249","that","IN",4,4
"250","today","NN",5,4
"251","afflicts","VBZ",8,4
"252","our","PP$",3,4
"253","nation","NN",6,4
"254","will","MD",4,4
"255","soon","RB",4,4
"256","and","CC",3,4
"257","i","NP",1,4
"258","mean","VBP",4,4
"259","very","RB",4,4
"260","soon","RB",4,4
"261","come","VB",4,4
"262","to","TO",2,4
"263","an","DT",2,4
"264","end","NN",3,4
"265","beginning","NN",9,4
"266","on","IN",2,4
"267","january","JJ",7,4
"268","20","CD",2,4
"269","th","NN",2,4
"270","2017","CD",4,4
"271","safety","NN",6,4
"272","will","MD",4,4
"273","be","VB",2,4
"274","restored","VBN",8,4
"275","the","DT",3,4
"276","most","RBS",4,4
"277","basic","JJ",5,4
"278","duty","NN",4,4
"279","of","IN",2,4
"280","government","NN",10,4
"281","is","VBZ",2,4
"282","to","TO",2,4
"283","defend","VB",6,4
"284","the","DT",3,4
"285","lives","NNS",5,4
"286","of","IN",2,4
"287","its","PP$",3,4
"288","own","JJ",3,4
"289","citizens","NNS",8,4
"290","any","DT",3,4
"291","government","NN",10,4
"292","that","WDT",4,4
"293","fails","VBZ",5,4
"294","to","TO",2,4
"295","do","VB",2,4
"296","so","RB",2,4
"297","is","VBZ",2,4
"298","a","DT",1,4
"299","government","NN",10,4
"300","unworthy","NN",8,4
"301","to","TO",2,4
"302","lead","VB",4,4
"303","it","PP",2,4
"304","is","VBZ",2,4
"305","finally","RB",7,4
