"","単語","品詞名","文字数","出現数"
"1","chief","JJ",5,1
"2","justice","NN",7,1
"3","roberts","VBZ",7,1
"4","vice","JJ",4,1
"5","president","NN",9,1
"6","harris","NN",6,1
"7","speaker","NN",7,1
"8","pelosi","NN",6,1
"9","leaders","NNS",7,1
"10","schumer","NN",7,1
"11","mcconnell","NP",9,1
"12","vice","JJ",4,1
"13","president","NN",9,1
"14","pence","NNS",5,1
"15","my","PP$",2,1
"16","distinguished","JJ",13,1
"17","guests","NNS",6,1
"18","and","CC",3,1
"19","my","PP$",2,1
"20","fellow","JJ",6,1
"21","americans","NNS",9,1
"22","this","DT",4,1
"23","is","VBZ",2,1
"24","america","NN",7,1
"25","s","JJ",1,1
"26","day","NN",3,1
"27","this","DT",4,1
"28","is","VBZ",2,1
"29","democracy","NN",9,1
"30","s","JJ",1,1
"31","day","NN",3,1
"32","a","DT",1,1
"33","day","NN",3,1
"34","of","IN",2,1
"35","history","NN",7,1
"36","and","CC",3,1
"37","hope","NN",4,1
"38","of","IN",2,1
"39","renewal","NN",7,1
"40","and","CC",3,1
"41","resolve","VB",7,1
"42","through","IN",7,1
"43","a","DT",1,1
"44","crucible","NN",8,1
"45","for","IN",3,1
"46","the","DT",3,1
"47","ages","NNS",4,1
"48","america","NN",7,1
"49","has","VBZ",3,1
"50","been","VBN",4,1
"51","tested","VBN",6,1
"52","anew","RB",4,1
"53","and","CC",3,1
"54","america","NP",7,1
"55","has","VBZ",3,1
"56","risen","VBN",5,1
"57","to","TO",2,1
"58","the","DT",3,1
"59","challenge","NN",9,1
"60","today","NN",5,1
"61","we","PP",2,1
"62","celebrate","VBP",9,1
"63","the","DT",3,1
"64","triumph","NN",7,1
"65","not","RB",3,1
"66","of","IN",2,1
"67","a","DT",1,1
"68","candidate","NN",9,1
"69","but","CC",3,1
"70","of","IN",2,1
"71","a","DT",1,1
"72","cause","NN",5,1
"73","the","DT",3,1
"74","cause","NN",5,1
"75","of","IN",2,1
"76","democracy","NN",9,1
"77","the","DT",3,1
"78","people","NNS",6,1
"79","the","DT",3,1
"80","will","NN",4,1
"81","of","IN",2,1
"82","the","DT",3,1
"83","people","NNS",6,1
"84","has","VBZ",3,1
"85","been","VBN",4,1
"86","heard","VBN",5,1
"87","and","CC",3,1
"88","the","DT",3,1
"89","will","NN",4,1
"90","of","IN",2,1
"91","the","DT",3,1
"92","people","NNS",6,1
"93","has","VBZ",3,1
"94","been","VBN",4,1
"95","heeded","VBN",6,1
"96","we","PP",2,1
"97","ve","RB",2,1
"98","learned","VBD",7,1
"99","again","RB",5,1
"100","that","IN",4,1
"101","democracy","NN",9,1
"102","is","VBZ",2,1
"103","precious","JJ",8,1
"104","democracy","NN",9,1
"105","is","VBZ",2,1
"106","fragile","JJ",7,1
"107","at","IN",2,1
"108","this","DT",4,1
"109","hour","NN",4,1
"110","my","PP$",2,1
"111","friends","NNS",7,1
"112","democracy","NN",9,1
"113","has","VBZ",3,1
"114","prevailed","VBN",9,1
"115","from","IN",4,1
"116","now","RB",3,1
"117","on","IN",2,1
"118","this","DT",4,1
"119","hallowed","JJ",8,1
"120","ground","NN",6,1
"121","where","WRB",5,1
"122","just","RB",4,1
"123","a","DT",1,1
"124","few","JJ",3,1
"125","days","NNS",4,1
"126","ago","RB",3,1
"127","violence","NN",8,1
"128","sought","VBD",6,1
"129","to","TO",2,1
"130","shake","VB",5,1
"131","the","DT",3,1
"132","capitol","NN",7,1
"133","s","NN",1,1
"134","very","JJ",4,1
"135","foundation","NN",10,1
"136","we","PP",2,1
"137","come","VBP",4,1
"138","together","RB",8,1
"139","as","IN",2,1
"140","one","CD",3,1
"141","nation","NN",6,1
"142","under","IN",5,1
"143","god","NN",3,1
"144","indivisible","JJ",11,1
"145","to","TO",2,1
"146","carry","VB",5,1
"147","out","RP",3,1
"148","the","DT",3,1
"149","peaceful","JJ",8,1
"150","transfer","NN",8,1
"151","of","IN",2,1
"152","power","NN",5,1
"153","as","IN",2,1
"154","we","PP",2,1
"155","have","VBP",4,1
"156","for","IN",3,1
"157","more","JJR",4,1
"158","than","IN",4,1
"159","two","CD",3,1
"160","centuries","NNS",9,1
"161","as","IN",2,1
"162","we","PP",2,1
"163","look","VBP",4,1
"164","ahead","RB",5,1
"165","in","IN",2,1
"166","our","PP$",3,1
"167","uniquely","RB",8,1
"168","american","JJ",8,1
"169","way","NN",3,1
"170",":","SENT",1,1
"171","restless","JJ",8,2
"172","bold","JJ",4,2
"173","optimistic","JJ",10,2
"174","and","CC",3,2
"175","set","VB",3,2
"176","our","PP$",3,2
"177","sights","NNS",6,2
"178","on","IN",2,2
"179","the","DT",3,2
"180","nation","NN",6,2
"181","we","PP",2,2
"182","can","MD",3,2
"183","be","VB",2,2
"184","and","CC",3,2
"185","we","PP",2,2
"186","must","MD",4,2
"187","be","VB",2,2
"188","i","NP",1,2
"189","thank","VB",5,2
"190","my","PP$",2,2
"191","predecessors","NNS",12,2
"192","of","IN",2,2
"193","both","DT",4,2
"194","parties","NNS",7,2
"195","for","IN",3,2
"196","their","PP$",5,2
"197","presence","NN",8,2
"198","here","RB",4,2
"199","today","NN",5,2
"200","i","NNS",1,2
"201","thank","VBP",5,2
"202","them","PP",4,2
"203","from","IN",4,2
"204","the","DT",3,2
"205","bottom","NN",6,2
"206","of","IN",2,2
"207","my","PP$",2,2
"208","heart","NN",5,2
"209","and","CC",3,2
"210","i","NP",1,2
"211","know","VBP",4,2
"212","i","NNS",1,2
"213","know","VBP",4,2
"214","the","DT",3,2
"215","resilience","NN",10,2
"216","of","IN",2,2
"217","our","PP$",3,2
"218","constitution","NN",12,2
"219","and","CC",3,2
"220","the","DT",3,2
"221","strength","NN",8,2
"222","the","DT",3,2
"223","strength","NN",8,2
"224","of","IN",2,2
"225","our","PP$",3,2
"226","nation","NN",6,2
"227","as","RB",2,2
"228","does","VBZ",4,2
"229","president","NN",9,2
"230","carter","NN",6,2
"231","who","WP",3,2
"232","i","NP",1,2
"233","spoke","VBD",5,2
"234","with","IN",4,2
"235","last","JJ",4,2
"236","night","NN",5,2
