"","doc_id","単語","品詞名","lemma","文字数","wclass","desc","stop","stem","idx","出現数"
"1","tempTextFromObjectac76e0756c5.txt","my","PP$","my",2,"pronoun",NA,NA,NA,1,1
"2","tempTextFromObjectac76e0756c5.txt","fellow","JJ","fellow",6,"adjective",NA,NA,NA,2,1
"3","tempTextFromObjectac76e0756c5.txt","citizens","NNS","citizen",8,"noun",NA,NA,NA,3,1
"4","tempTextFromObjectac76e0756c5.txt",":","SENT",":",1,"fullstop",NA,NA,NA,4,1
"5","tempTextFromObjectac76e0756c5.txt","when","WRB","when",4,"adverb",NA,NA,NA,5,2
"6","tempTextFromObjectac76e0756c5.txt","we","PP","we",2,"pronoun",NA,NA,NA,6,2
"7","tempTextFromObjectac76e0756c5.txt","assembled","VBD","assemble",9,"verb",NA,NA,NA,7,2
"8","tempTextFromObjectac76e0756c5.txt","here","RB","here",4,"adverb",NA,NA,NA,8,2
"9","tempTextFromObjectac76e0756c5.txt","on","IN","on",2,"preposition",NA,NA,NA,9,2
"10","tempTextFromObjectac76e0756c5.txt","the","DT","the",3,"determiner",NA,NA,NA,10,2
"11","tempTextFromObjectac76e0756c5.txt","4","CD","@card@",1,"number",NA,NA,NA,11,2
"12","tempTextFromObjectac76e0756c5.txt","th","NN","th",2,"noun",NA,NA,NA,12,2
"13","tempTextFromObjectac76e0756c5.txt","of","IN","of",2,"preposition",NA,NA,NA,13,2
"14","tempTextFromObjectac76e0756c5.txt","march","NN","march",5,"noun",NA,NA,NA,14,2
"15","tempTextFromObjectac76e0756c5.txt","1897","CD","@card@",4,"number",NA,NA,NA,15,2
"16","tempTextFromObjectac76e0756c5.txt","there","EX","there",5,"existential",NA,NA,NA,16,2
"17","tempTextFromObjectac76e0756c5.txt","was","VBD","be",3,"verb",NA,NA,NA,17,2
"18","tempTextFromObjectac76e0756c5.txt","great","JJ","great",5,"adjective",NA,NA,NA,18,2
"19","tempTextFromObjectac76e0756c5.txt","anxiety","NN","anxiety",7,"noun",NA,NA,NA,19,2
"20","tempTextFromObjectac76e0756c5.txt","with","IN","with",4,"preposition",NA,NA,NA,20,2
"21","tempTextFromObjectac76e0756c5.txt","regard","NN","regard",6,"noun",NA,NA,NA,21,2
"22","tempTextFromObjectac76e0756c5.txt","to","TO","to",2,"to",NA,NA,NA,22,2
"23","tempTextFromObjectac76e0756c5.txt","our","PP$","our",3,"pronoun",NA,NA,NA,23,2
