"","doc_id","単語","品詞名","lemma","文字数","wclass","desc","stop","stem","idx","出現数"
"1","tempTextFromObjectac723d1d7f2.txt","my","PP$","my",2,"pronoun",NA,NA,NA,1,1
"2","tempTextFromObjectac723d1d7f2.txt","fellow","JJ","fellow",6,"adjective",NA,NA,NA,2,1
"3","tempTextFromObjectac723d1d7f2.txt","citizens","NNS","citizen",8,"noun",NA,NA,NA,3,1
"4","tempTextFromObjectac723d1d7f2.txt","no","DT","no",2,"determiner",NA,NA,NA,4,1
"5","tempTextFromObjectac723d1d7f2.txt","people","NNS","people",6,"noun",NA,NA,NA,5,1
"6","tempTextFromObjectac723d1d7f2.txt","on","IN","on",2,"preposition",NA,NA,NA,6,1
"7","tempTextFromObjectac723d1d7f2.txt","earth","NN","earth",5,"noun",NA,NA,NA,7,1
"8","tempTextFromObjectac723d1d7f2.txt","have","VBP","have",4,"verb",NA,NA,NA,8,1
"9","tempTextFromObjectac723d1d7f2.txt","more","JJR","more",4,"adjective",NA,NA,NA,9,1
"10","tempTextFromObjectac723d1d7f2.txt","cause","NN","cause",5,"noun",NA,NA,NA,10,1
"11","tempTextFromObjectac723d1d7f2.txt","to","TO","to",2,"to",NA,NA,NA,11,1
"12","tempTextFromObjectac723d1d7f2.txt","be","VB","be",2,"verb",NA,NA,NA,12,1
"13","tempTextFromObjectac723d1d7f2.txt","thankful","JJ","thankful",8,"adjective",NA,NA,NA,13,1
"14","tempTextFromObjectac723d1d7f2.txt","than","IN","than",4,"preposition",NA,NA,NA,14,1
"15","tempTextFromObjectac723d1d7f2.txt","ours","PP","ours",4,"pronoun",NA,NA,NA,15,1
"16","tempTextFromObjectac723d1d7f2.txt","and","CC","and",3,"conjunction",NA,NA,NA,16,1
"17","tempTextFromObjectac723d1d7f2.txt","this","DT","this",4,"determiner",NA,NA,NA,17,1
"18","tempTextFromObjectac723d1d7f2.txt","is","VBZ","be",2,"verb",NA,NA,NA,18,1
"19","tempTextFromObjectac723d1d7f2.txt","said","VBN","say",4,"verb",NA,NA,NA,19,1
"20","tempTextFromObjectac723d1d7f2.txt","reverently","RB","reverently",10,"adverb",NA,NA,NA,20,1
"21","tempTextFromObjectac723d1d7f2.txt","in","IN","in",2,"preposition",NA,NA,NA,21,1
"22","tempTextFromObjectac723d1d7f2.txt","no","DT","no",2,"determiner",NA,NA,NA,22,1
"23","tempTextFromObjectac723d1d7f2.txt","spirit","NN","spirit",6,"noun",NA,NA,NA,23,1
"24","tempTextFromObjectac723d1d7f2.txt","of","IN","of",2,"preposition",NA,NA,NA,24,1
"25","tempTextFromObjectac723d1d7f2.txt","boastfulness","NN","boastfulness",12,"noun",NA,NA,NA,25,1
"26","tempTextFromObjectac723d1d7f2.txt","in","IN","in",2,"preposition",NA,NA,NA,26,1
