"","doc_id","単語","品詞名","lemma","文字数","wclass","desc","stop","stem","idx","出現数"
"1","tempTextFromObjectac713056c79.txt","my","PP$","my",2,"pronoun",NA,NA,NA,1,1
"2","tempTextFromObjectac713056c79.txt","fellow","JJ","fellow",6,"adjective",NA,NA,NA,2,1
"3","tempTextFromObjectac713056c79.txt","citizens","NNS","citizen",8,"noun",NA,NA,NA,3,1
"4","tempTextFromObjectac713056c79.txt",":","SENT",":",1,"fullstop",NA,NA,NA,4,1
"5","tempTextFromObjectac713056c79.txt","the","DT","the",3,"determiner",NA,NA,NA,5,2
"6","tempTextFromObjectac713056c79.txt","four","CD","four",4,"number",NA,NA,NA,6,2
"7","tempTextFromObjectac713056c79.txt","years","NNS","year",5,"noun",NA,NA,NA,7,2
"8","tempTextFromObjectac713056c79.txt","which","WDT","which",5,"determiner",NA,NA,NA,8,2
"9","tempTextFromObjectac713056c79.txt","have","VBP","have",4,"verb",NA,NA,NA,9,2
"10","tempTextFromObjectac713056c79.txt","elapsed","VBN","elapse",7,"verb",NA,NA,NA,10,2
"11","tempTextFromObjectac713056c79.txt","since","IN","since",5,"preposition",NA,NA,NA,11,2
"12","tempTextFromObjectac713056c79.txt","last","JJ","last",4,"adjective",NA,NA,NA,12,2
"13","tempTextFromObjectac713056c79.txt","i","NNS","i",1,"noun",NA,NA,NA,13,2
"14","tempTextFromObjectac713056c79.txt","stood","VBD","stand",5,"verb",NA,NA,NA,14,2
"15","tempTextFromObjectac713056c79.txt","in","IN","in",2,"preposition",NA,NA,NA,15,2
"16","tempTextFromObjectac713056c79.txt","this","DT","this",4,"determiner",NA,NA,NA,16,2
"17","tempTextFromObjectac713056c79.txt","place","NN","place",5,"noun",NA,NA,NA,17,2
"18","tempTextFromObjectac713056c79.txt","have","VBP","have",4,"verb",NA,NA,NA,18,2
"19","tempTextFromObjectac713056c79.txt","been","VBN","be",4,"verb",NA,NA,NA,19,2
"20","tempTextFromObjectac713056c79.txt","crowded","VBN","crowd",7,"verb",NA,NA,NA,20,2
"21","tempTextFromObjectac713056c79.txt","with","IN","with",4,"preposition",NA,NA,NA,21,2
"22","tempTextFromObjectac713056c79.txt","counsel","NN","counsel",7,"noun",NA,NA,NA,22,2
"23","tempTextFromObjectac713056c79.txt","and","CC","and",3,"conjunction",NA,NA,NA,23,2
"24","tempTextFromObjectac713056c79.txt","action","NN","action",6,"noun",NA,NA,NA,24,2
"25","tempTextFromObjectac713056c79.txt","of","IN","of",2,"preposition",NA,NA,NA,25,2
"26","tempTextFromObjectac713056c79.txt","the","DT","the",3,"determiner",NA,NA,NA,26,2
"27","tempTextFromObjectac713056c79.txt","most","RBS","most",4,"adverb",NA,NA,NA,27,2
"28","tempTextFromObjectac713056c79.txt","vital","JJ","vital",5,"adjective",NA,NA,NA,28,2
"29","tempTextFromObjectac713056c79.txt","interest","NN","interest",8,"noun",NA,NA,NA,29,2
"30","tempTextFromObjectac713056c79.txt","and","CC","and",3,"conjunction",NA,NA,NA,30,2
"31","tempTextFromObjectac713056c79.txt","consequence","NN","consequence",11,"noun",NA,NA,NA,31,2
"32","tempTextFromObjectac713056c79.txt","perhaps","RB","perhaps",7,"adverb",NA,NA,NA,32,2
"33","tempTextFromObjectac713056c79.txt","no","DT","no",2,"determiner",NA,NA,NA,33,2
"34","tempTextFromObjectac713056c79.txt","equal","JJ","equal",5,"adjective",NA,NA,NA,34,2
"35","tempTextFromObjectac713056c79.txt","period","NN","period",6,"noun",NA,NA,NA,35,2
"36","tempTextFromObjectac713056c79.txt","in","IN","in",2,"preposition",NA,NA,NA,36,2
"37","tempTextFromObjectac713056c79.txt","our","PP$","our",3,"pronoun",NA,NA,NA,37,2
"38","tempTextFromObjectac713056c79.txt","history","NN","history",7,"noun",NA,NA,NA,38,2
"39","tempTextFromObjectac713056c79.txt","has","VBZ","have",3,"verb",NA,NA,NA,39,2
"40","tempTextFromObjectac713056c79.txt","been","VBN","be",4,"verb",NA,NA,NA,40,2
"41","tempTextFromObjectac713056c79.txt","so","RB","so",2,"adverb",NA,NA,NA,41,2
"42","tempTextFromObjectac713056c79.txt","fruitful","JJ","fruitful",8,"adjective",NA,NA,NA,42,2
"43","tempTextFromObjectac713056c79.txt","of","IN","of",2,"preposition",NA,NA,NA,43,2
"44","tempTextFromObjectac713056c79.txt","important","JJ","important",9,"adjective",NA,NA,NA,44,2
"45","tempTextFromObjectac713056c79.txt","reforms","NNS","reform",7,"noun",NA,NA,NA,45,2
"46","tempTextFromObjectac713056c79.txt","in","IN","in",2,"preposition",NA,NA,NA,46,2
"47","tempTextFromObjectac713056c79.txt","our","PP$","our",3,"pronoun",NA,NA,NA,47,2
"48","tempTextFromObjectac713056c79.txt","economic","JJ","economic",8,"adjective",NA,NA,NA,48,2
"49","tempTextFromObjectac713056c79.txt","and","CC","and",3,"conjunction",NA,NA,NA,49,2
"50","tempTextFromObjectac713056c79.txt","industrial","JJ","industrial",10,"adjective",NA,NA,NA,50,2
"51","tempTextFromObjectac713056c79.txt","life","NN","life",4,"noun",NA,NA,NA,51,2
"52","tempTextFromObjectac713056c79.txt","or","CC","or",2,"conjunction",NA,NA,NA,52,2
"53","tempTextFromObjectac713056c79.txt","so","RB","so",2,"adverb",NA,NA,NA,53,2
"54","tempTextFromObjectac713056c79.txt","full","JJ","full",4,"adjective",NA,NA,NA,54,2
"55","tempTextFromObjectac713056c79.txt","of","IN","of",2,"preposition",NA,NA,NA,55,2
"56","tempTextFromObjectac713056c79.txt","significant","JJ","significant",11,"adjective",NA,NA,NA,56,2
"57","tempTextFromObjectac713056c79.txt","changes","NNS","change",7,"noun",NA,NA,NA,57,2
"58","tempTextFromObjectac713056c79.txt","in","IN","in",2,"preposition",NA,NA,NA,58,2
"59","tempTextFromObjectac713056c79.txt","the","DT","the",3,"determiner",NA,NA,NA,59,2
"60","tempTextFromObjectac713056c79.txt","spirit","NN","spirit",6,"noun",NA,NA,NA,60,2
"61","tempTextFromObjectac713056c79.txt","and","CC","and",3,"conjunction",NA,NA,NA,61,2
"62","tempTextFromObjectac713056c79.txt","purpose","NN","purpose",7,"noun",NA,NA,NA,62,2
"63","tempTextFromObjectac713056c79.txt","of","IN","of",2,"preposition",NA,NA,NA,63,2
"64","tempTextFromObjectac713056c79.txt","our","PP$","our",3,"pronoun",NA,NA,NA,64,2
"65","tempTextFromObjectac713056c79.txt","political","JJ","political",9,"adjective",NA,NA,NA,65,2
"66","tempTextFromObjectac713056c79.txt","action","NN","action",6,"noun",NA,NA,NA,66,2
"67","tempTextFromObjectac713056c79.txt","we","PP","we",2,"pronoun",NA,NA,NA,67,2
"68","tempTextFromObjectac713056c79.txt","have","VBP","have",4,"verb",NA,NA,NA,68,2
"69","tempTextFromObjectac713056c79.txt","sought","VBN","seek",6,"verb",NA,NA,NA,69,2
"70","tempTextFromObjectac713056c79.txt","very","RB","very",4,"adverb",NA,NA,NA,70,2
"71","tempTextFromObjectac713056c79.txt","thoughtfully","RB","thoughtfully",12,"adverb",NA,NA,NA,71,2
"72","tempTextFromObjectac713056c79.txt","to","TO","to",2,"to",NA,NA,NA,72,2
"73","tempTextFromObjectac713056c79.txt","set","VB","set",3,"verb",NA,NA,NA,73,2
"74","tempTextFromObjectac713056c79.txt","our","PP$","our",3,"pronoun",NA,NA,NA,74,2
"75","tempTextFromObjectac713056c79.txt","house","NN","house",5,"noun",NA,NA,NA,75,2
"76","tempTextFromObjectac713056c79.txt","in","IN","in",2,"preposition",NA,NA,NA,76,2
"77","tempTextFromObjectac713056c79.txt","order","NN","order",5,"noun",NA,NA,NA,77,2
"78","tempTextFromObjectac713056c79.txt","correct","VB","correct",7,"verb",NA,NA,NA,78,2
"79","tempTextFromObjectac713056c79.txt","the","DT","the",3,"determiner",NA,NA,NA,79,2
"80","tempTextFromObjectac713056c79.txt","grosser","JJR","gross",7,"adjective",NA,NA,NA,80,2
"81","tempTextFromObjectac713056c79.txt","errors","NNS","error",6,"noun",NA,NA,NA,81,2
"82","tempTextFromObjectac713056c79.txt","and","CC","and",3,"conjunction",NA,NA,NA,82,2
"83","tempTextFromObjectac713056c79.txt","abuses","NNS","abuse",6,"noun",NA,NA,NA,83,2
"84","tempTextFromObjectac713056c79.txt","of","IN","of",2,"preposition",NA,NA,NA,84,2
"85","tempTextFromObjectac713056c79.txt","our","PP$","our",3,"pronoun",NA,NA,NA,85,2
"86","tempTextFromObjectac713056c79.txt","industrial","JJ","industrial",10,"adjective",NA,NA,NA,86,2
"87","tempTextFromObjectac713056c79.txt","life","NN","life",4,"noun",NA,NA,NA,87,2
"88","tempTextFromObjectac713056c79.txt","liberate","VB","liberate",8,"verb",NA,NA,NA,88,2
"89","tempTextFromObjectac713056c79.txt","and","CC","and",3,"conjunction",NA,NA,NA,89,2
"90","tempTextFromObjectac713056c79.txt","quicken","VB","quicken",7,"verb",NA,NA,NA,90,2
"91","tempTextFromObjectac713056c79.txt","the","DT","the",3,"determiner",NA,NA,NA,91,2
"92","tempTextFromObjectac713056c79.txt","processes","NNS","process",9,"noun",NA,NA,NA,92,2
"93","tempTextFromObjectac713056c79.txt","of","IN","of",2,"preposition",NA,NA,NA,93,2
"94","tempTextFromObjectac713056c79.txt","our","PP$","our",3,"pronoun",NA,NA,NA,94,2
"95","tempTextFromObjectac713056c79.txt","national","JJ","national",8,"adjective",NA,NA,NA,95,2
"96","tempTextFromObjectac713056c79.txt","genius","NN","genius",6,"noun",NA,NA,NA,96,2
"97","tempTextFromObjectac713056c79.txt","and","CC","and",3,"conjunction",NA,NA,NA,97,2
"98","tempTextFromObjectac713056c79.txt","energy","NN","energy",6,"noun",NA,NA,NA,98,2
"99","tempTextFromObjectac713056c79.txt","and","CC","and",3,"conjunction",NA,NA,NA,99,2
"100","tempTextFromObjectac713056c79.txt","lift","VB","lift",4,"verb",NA,NA,NA,100,2
"101","tempTextFromObjectac713056c79.txt","our","PP$","our",3,"pronoun",NA,NA,NA,101,2
"102","tempTextFromObjectac713056c79.txt","politics","NNS","politics",8,"noun",NA,NA,NA,102,2
"103","tempTextFromObjectac713056c79.txt","to","TO","to",2,"to",NA,NA,NA,103,2
"104","tempTextFromObjectac713056c79.txt","a","DT","a",1,"determiner",NA,NA,NA,104,2
"105","tempTextFromObjectac713056c79.txt","broader","JJR","broad",7,"adjective",NA,NA,NA,105,2
"106","tempTextFromObjectac713056c79.txt","view","NN","view",4,"noun",NA,NA,NA,106,2
"107","tempTextFromObjectac713056c79.txt","of","IN","of",2,"preposition",NA,NA,NA,107,2
"108","tempTextFromObjectac713056c79.txt","the","DT","the",3,"determiner",NA,NA,NA,108,2
"109","tempTextFromObjectac713056c79.txt","people","NNS","people",6,"noun",NA,NA,NA,109,2
"110","tempTextFromObjectac713056c79.txt","essential","JJ","essential",9,"adjective",NA,NA,NA,110,2
"111","tempTextFromObjectac713056c79.txt","interests","NNS","interest",9,"noun",NA,NA,NA,111,2
"112","tempTextFromObjectac713056c79.txt","it","PP","it",2,"pronoun",NA,NA,NA,112,2
"113","tempTextFromObjectac713056c79.txt","is","VBZ","be",2,"verb",NA,NA,NA,113,2
"114","tempTextFromObjectac713056c79.txt","a","DT","a",1,"determiner",NA,NA,NA,114,2
"115","tempTextFromObjectac713056c79.txt","record","NN","record",6,"noun",NA,NA,NA,115,2
"116","tempTextFromObjectac713056c79.txt","of","IN","of",2,"preposition",NA,NA,NA,116,2
