"","doc_id","単語","品詞名","lemma","文字数","wclass","desc","stop","stem","idx","出現数"
"1","tempTextFromObjectac7491485b0.txt","my","PP$","my",2,"pronoun",NA,NA,NA,1,1
"2","tempTextFromObjectac7491485b0.txt","countrymen","NNS","countryman",10,"noun",NA,NA,NA,2,1
"3","tempTextFromObjectac7491485b0.txt",":","SENT",":",1,"fullstop",NA,NA,NA,3,1
"4","tempTextFromObjectac7491485b0.txt","when","WRB","when",4,"adverb",NA,NA,NA,4,2
"5","tempTextFromObjectac7491485b0.txt","one","CD","one",3,"number",NA,NA,NA,5,2
"6","tempTextFromObjectac7491485b0.txt","surveys","NNS","survey",7,"noun",NA,NA,NA,6,2
"7","tempTextFromObjectac7491485b0.txt","the","DT","the",3,"determiner",NA,NA,NA,7,2
"8","tempTextFromObjectac7491485b0.txt","world","NN","world",5,"noun",NA,NA,NA,8,2
"9","tempTextFromObjectac7491485b0.txt","about","IN","about",5,"preposition",NA,NA,NA,9,2
"10","tempTextFromObjectac7491485b0.txt","him","PP","him",3,"pronoun",NA,NA,NA,10,2
"11","tempTextFromObjectac7491485b0.txt","after","IN","after",5,"preposition",NA,NA,NA,11,2
"12","tempTextFromObjectac7491485b0.txt","the","DT","the",3,"determiner",NA,NA,NA,12,2
"13","tempTextFromObjectac7491485b0.txt","great","JJ","great",5,"adjective",NA,NA,NA,13,2
"14","tempTextFromObjectac7491485b0.txt","storm","NN","storm",5,"noun",NA,NA,NA,14,2
"15","tempTextFromObjectac7491485b0.txt","noting","VBG","note",6,"verb",NA,NA,NA,15,2
"16","tempTextFromObjectac7491485b0.txt","the","DT","the",3,"determiner",NA,NA,NA,16,2
"17","tempTextFromObjectac7491485b0.txt","marks","NNS","mark",5,"noun",NA,NA,NA,17,2
"18","tempTextFromObjectac7491485b0.txt","of","IN","of",2,"preposition",NA,NA,NA,18,2
"19","tempTextFromObjectac7491485b0.txt","destruction","NN","destruction",11,"noun",NA,NA,NA,19,2
"20","tempTextFromObjectac7491485b0.txt","and","CC","and",3,"conjunction",NA,NA,NA,20,2
"21","tempTextFromObjectac7491485b0.txt","yet","RB","yet",3,"adverb",NA,NA,NA,21,2
"22","tempTextFromObjectac7491485b0.txt","rejoicing","VBG","rejoice",9,"verb",NA,NA,NA,22,2
"23","tempTextFromObjectac7491485b0.txt","in","IN","in",2,"preposition",NA,NA,NA,23,2
"24","tempTextFromObjectac7491485b0.txt","the","DT","the",3,"determiner",NA,NA,NA,24,2
"25","tempTextFromObjectac7491485b0.txt","ruggedness","NN","ruggedness",10,"noun",NA,NA,NA,25,2
"26","tempTextFromObjectac7491485b0.txt","of","IN","of",2,"preposition",NA,NA,NA,26,2
"27","tempTextFromObjectac7491485b0.txt","the","DT","the",3,"determiner",NA,NA,NA,27,2
"28","tempTextFromObjectac7491485b0.txt","things","NNS","thing",6,"noun",NA,NA,NA,28,2
"29","tempTextFromObjectac7491485b0.txt","which","WDT","which",5,"determiner",NA,NA,NA,29,2
"30","tempTextFromObjectac7491485b0.txt","withstood","VBD","withstand",9,"verb",NA,NA,NA,30,2
