"","doc_id","単語","品詞名","lemma","文字数","wclass","desc","stop","stem","idx","出現数"
"1","tempTextFromObjectac7459bfd06.txt","on","IN","on",2,"preposition",NA,NA,NA,1,1
"2","tempTextFromObjectac7459bfd06.txt","each","DT","each",4,"determiner",NA,NA,NA,2,1
"3","tempTextFromObjectac7459bfd06.txt","national","JJ","national",8,"adjective",NA,NA,NA,3,1
"4","tempTextFromObjectac7459bfd06.txt","day","NN","day",3,"noun",NA,NA,NA,4,1
"5","tempTextFromObjectac7459bfd06.txt","of","IN","of",2,"preposition",NA,NA,NA,5,1
"6","tempTextFromObjectac7459bfd06.txt","inauguration","NN","inauguration",12,"noun",NA,NA,NA,6,1
"7","tempTextFromObjectac7459bfd06.txt","since","IN","since",5,"preposition",NA,NA,NA,7,1
"8","tempTextFromObjectac7459bfd06.txt","1789","CD","@card@",4,"number",NA,NA,NA,8,1
"9","tempTextFromObjectac7459bfd06.txt","the","DT","the",3,"determiner",NA,NA,NA,9,1
"10","tempTextFromObjectac7459bfd06.txt","people","NNS","people",6,"noun",NA,NA,NA,10,1
"11","tempTextFromObjectac7459bfd06.txt","have","VBP","have",4,"verb",NA,NA,NA,11,1
"12","tempTextFromObjectac7459bfd06.txt","renewed","VBN","renew",7,"verb",NA,NA,NA,12,1
"13","tempTextFromObjectac7459bfd06.txt","their","PP$","their",5,"pronoun",NA,NA,NA,13,1
"14","tempTextFromObjectac7459bfd06.txt","sense","NN","sense",5,"noun",NA,NA,NA,14,1
"15","tempTextFromObjectac7459bfd06.txt","of","IN","of",2,"preposition",NA,NA,NA,15,1
"16","tempTextFromObjectac7459bfd06.txt","dedication","NN","dedication",10,"noun",NA,NA,NA,16,1
"17","tempTextFromObjectac7459bfd06.txt","to","TO","to",2,"to",NA,NA,NA,17,1
"18","tempTextFromObjectac7459bfd06.txt","the","DT","the",3,"determiner",NA,NA,NA,18,1
"19","tempTextFromObjectac7459bfd06.txt","united","VBN","unite",6,"verb",NA,NA,NA,19,1
"20","tempTextFromObjectac7459bfd06.txt","states","NNS","state",6,"noun",NA,NA,NA,20,1
"21","tempTextFromObjectac7459bfd06.txt","in","IN","in",2,"preposition",NA,NA,NA,21,1
"22","tempTextFromObjectac7459bfd06.txt","washington","NN","<unknown>",10,"noun",NA,NA,NA,22,1
"23","tempTextFromObjectac7459bfd06.txt","day","NN","day",3,"noun",NA,NA,NA,23,1
"24","tempTextFromObjectac7459bfd06.txt","the","DT","the",3,"determiner",NA,NA,NA,24,1
"25","tempTextFromObjectac7459bfd06.txt","task","NN","task",4,"noun",NA,NA,NA,25,1
"26","tempTextFromObjectac7459bfd06.txt","of","IN","of",2,"preposition",NA,NA,NA,26,1
"27","tempTextFromObjectac7459bfd06.txt","the","DT","the",3,"determiner",NA,NA,NA,27,1
"28","tempTextFromObjectac7459bfd06.txt","people","NNS","people",6,"noun",NA,NA,NA,28,1
"29","tempTextFromObjectac7459bfd06.txt","was","VBD","be",3,"verb",NA,NA,NA,29,1
"30","tempTextFromObjectac7459bfd06.txt","to","TO","to",2,"to",NA,NA,NA,30,1
"31","tempTextFromObjectac7459bfd06.txt","create","VB","create",6,"verb",NA,NA,NA,31,1
"32","tempTextFromObjectac7459bfd06.txt","and","CC","and",3,"conjunction",NA,NA,NA,32,1
"33","tempTextFromObjectac7459bfd06.txt","weld","VB","weld",4,"verb",NA,NA,NA,33,1
"34","tempTextFromObjectac7459bfd06.txt","together","RB","together",8,"adverb",NA,NA,NA,34,1
"35","tempTextFromObjectac7459bfd06.txt","a","DT","a",1,"determiner",NA,NA,NA,35,1
"36","tempTextFromObjectac7459bfd06.txt","nation","NN","nation",6,"noun",NA,NA,NA,36,1
"37","tempTextFromObjectac7459bfd06.txt","in","IN","in",2,"preposition",NA,NA,NA,37,1
"38","tempTextFromObjectac7459bfd06.txt","lincoln","NN","Lincoln",7,"noun",NA,NA,NA,38,1
"39","tempTextFromObjectac7459bfd06.txt","day","NN","day",3,"noun",NA,NA,NA,39,1
"40","tempTextFromObjectac7459bfd06.txt","the","DT","the",3,"determiner",NA,NA,NA,40,1
"41","tempTextFromObjectac7459bfd06.txt","task","NN","task",4,"noun",NA,NA,NA,41,1
"42","tempTextFromObjectac7459bfd06.txt","of","IN","of",2,"preposition",NA,NA,NA,42,1
"43","tempTextFromObjectac7459bfd06.txt","the","DT","the",3,"determiner",NA,NA,NA,43,1
"44","tempTextFromObjectac7459bfd06.txt","people","NNS","people",6,"noun",NA,NA,NA,44,1
"45","tempTextFromObjectac7459bfd06.txt","was","VBD","be",3,"verb",NA,NA,NA,45,1
"46","tempTextFromObjectac7459bfd06.txt","to","TO","to",2,"to",NA,NA,NA,46,1
"47","tempTextFromObjectac7459bfd06.txt","preserve","VB","preserve",8,"verb",NA,NA,NA,47,1
"48","tempTextFromObjectac7459bfd06.txt","that","DT","that",4,"determiner",NA,NA,NA,48,1
"49","tempTextFromObjectac7459bfd06.txt","nation","NN","nation",6,"noun",NA,NA,NA,49,1
"50","tempTextFromObjectac7459bfd06.txt","from","IN","from",4,"preposition",NA,NA,NA,50,1
"51","tempTextFromObjectac7459bfd06.txt","disruption","NN","disruption",10,"noun",NA,NA,NA,51,1
"52","tempTextFromObjectac7459bfd06.txt","from","IN","from",4,"preposition",NA,NA,NA,52,1
"53","tempTextFromObjectac7459bfd06.txt","within","IN","within",6,"preposition",NA,NA,NA,53,1
"54","tempTextFromObjectac7459bfd06.txt","in","IN","in",2,"preposition",NA,NA,NA,54,1
"55","tempTextFromObjectac7459bfd06.txt","this","DT","this",4,"determiner",NA,NA,NA,55,1
"56","tempTextFromObjectac7459bfd06.txt","day","NN","day",3,"noun",NA,NA,NA,56,1
"57","tempTextFromObjectac7459bfd06.txt","the","DT","the",3,"determiner",NA,NA,NA,57,1
"58","tempTextFromObjectac7459bfd06.txt","task","NN","task",4,"noun",NA,NA,NA,58,1
"59","tempTextFromObjectac7459bfd06.txt","of","IN","of",2,"preposition",NA,NA,NA,59,1
"60","tempTextFromObjectac7459bfd06.txt","the","DT","the",3,"determiner",NA,NA,NA,60,1
"61","tempTextFromObjectac7459bfd06.txt","people","NNS","people",6,"noun",NA,NA,NA,61,1
"62","tempTextFromObjectac7459bfd06.txt","is","VBZ","be",2,"verb",NA,NA,NA,62,1
"63","tempTextFromObjectac7459bfd06.txt","to","TO","to",2,"to",NA,NA,NA,63,1
"64","tempTextFromObjectac7459bfd06.txt","save","VB","save",4,"verb",NA,NA,NA,64,1
"65","tempTextFromObjectac7459bfd06.txt","that","DT","that",4,"determiner",NA,NA,NA,65,1
"66","tempTextFromObjectac7459bfd06.txt","nation","NN","nation",6,"noun",NA,NA,NA,66,1
"67","tempTextFromObjectac7459bfd06.txt","and","CC","and",3,"conjunction",NA,NA,NA,67,1
"68","tempTextFromObjectac7459bfd06.txt","its","PP$","its",3,"pronoun",NA,NA,NA,68,1
"69","tempTextFromObjectac7459bfd06.txt","institutions","NNS","institution",12,"noun",NA,NA,NA,69,1
"70","tempTextFromObjectac7459bfd06.txt","from","IN","from",4,"preposition",NA,NA,NA,70,1
"71","tempTextFromObjectac7459bfd06.txt","disruption","NN","disruption",10,"noun",NA,NA,NA,71,1
"72","tempTextFromObjectac7459bfd06.txt","from","IN","from",4,"preposition",NA,NA,NA,72,1
"73","tempTextFromObjectac7459bfd06.txt","without","IN","without",7,"preposition",NA,NA,NA,73,1
"74","tempTextFromObjectac7459bfd06.txt","to","TO","to",2,"to",NA,NA,NA,74,1
"75","tempTextFromObjectac7459bfd06.txt","us","PP","us",2,"pronoun",NA,NA,NA,75,1
"76","tempTextFromObjectac7459bfd06.txt","there","RB","there",5,"adverb",NA,NA,NA,76,1
"77","tempTextFromObjectac7459bfd06.txt","has","VBZ","have",3,"verb",NA,NA,NA,77,1
"78","tempTextFromObjectac7459bfd06.txt","come","VBN","come",4,"verb",NA,NA,NA,78,1
"79","tempTextFromObjectac7459bfd06.txt","a","DT","a",1,"determiner",NA,NA,NA,79,1
"80","tempTextFromObjectac7459bfd06.txt","time","NN","time",4,"noun",NA,NA,NA,80,1
