"","doc_id","単語","品詞名","lemma","文字数","wclass","desc","stop","stem","idx","出現数"
"1","tempTextFromObjectac74b588f1f.txt","mr","NP","Mr",2,"name",NA,NA,NA,1,NA
"2","tempTextFromObjectac74b588f1f.txt","vice","JJ","vice",4,"adjective",NA,NA,NA,2,NA
"3","tempTextFromObjectac74b588f1f.txt","president","NN","president",9,"noun",NA,NA,NA,3,NA
"4","tempTextFromObjectac74b588f1f.txt","mr","NN","Mr",2,"noun",NA,NA,NA,4,NA
"5","tempTextFromObjectac74b588f1f.txt","chief","JJ","chief",5,"adjective",NA,NA,NA,5,NA
"6","tempTextFromObjectac74b588f1f.txt","justice","NN","justice",7,"noun",NA,NA,NA,6,NA
"7","tempTextFromObjectac74b588f1f.txt","and","CC","and",3,"conjunction",NA,NA,NA,7,NA
"8","tempTextFromObjectac74b588f1f.txt","fellow","JJ","fellow",6,"adjective",NA,NA,NA,8,NA
"9","tempTextFromObjectac74b588f1f.txt","citizens","NNS","citizen",8,"noun",NA,NA,NA,9,NA
"10","tempTextFromObjectac74b588f1f.txt","i","NNS","i",1,"noun",NA,NA,NA,10,NA
"11","tempTextFromObjectac74b588f1f.txt","accept","VBP","accept",6,"verb",NA,NA,NA,11,NA
"12","tempTextFromObjectac74b588f1f.txt","with","IN","with",4,"preposition",NA,NA,NA,12,NA
"13","tempTextFromObjectac74b588f1f.txt","humility","NN","humility",8,"noun",NA,NA,NA,13,NA
"14","tempTextFromObjectac74b588f1f.txt","the","DT","the",3,"determiner",NA,NA,NA,14,NA
"15","tempTextFromObjectac74b588f1f.txt","honor","NN","honor",5,"noun",NA,NA,NA,15,NA
"16","tempTextFromObjectac74b588f1f.txt","which","WDT","which",5,"determiner",NA,NA,NA,16,NA
"17","tempTextFromObjectac74b588f1f.txt","the","DT","the",3,"determiner",NA,NA,NA,17,NA
"18","tempTextFromObjectac74b588f1f.txt","american","JJ","American",8,"adjective",NA,NA,NA,18,NA
"19","tempTextFromObjectac74b588f1f.txt","people","NNS","people",6,"noun",NA,NA,NA,19,NA
"20","tempTextFromObjectac74b588f1f.txt","have","VBP","have",4,"verb",NA,NA,NA,20,NA
"21","tempTextFromObjectac74b588f1f.txt","conferred","VBN","confer",9,"verb",NA,NA,NA,21,NA
"22","tempTextFromObjectac74b588f1f.txt","upon","IN","upon",4,"preposition",NA,NA,NA,22,NA
"23","tempTextFromObjectac74b588f1f.txt","me","FW","me",2,"foreign",NA,NA,NA,23,NA
"24","tempTextFromObjectac74b588f1f.txt","i","FW","i",1,"foreign",NA,NA,NA,24,NA
"25","tempTextFromObjectac74b588f1f.txt","accept","VB","accept",6,"verb",NA,NA,NA,25,NA
"26","tempTextFromObjectac74b588f1f.txt","it","PP","it",2,"pronoun",NA,NA,NA,26,NA
"27","tempTextFromObjectac74b588f1f.txt","with","IN","with",4,"preposition",NA,NA,NA,27,NA
"28","tempTextFromObjectac74b588f1f.txt","a","DT","a",1,"determiner",NA,NA,NA,28,NA
"29","tempTextFromObjectac74b588f1f.txt","deep","JJ","deep",4,"adjective",NA,NA,NA,29,NA
"30","tempTextFromObjectac74b588f1f.txt","resolve","NN","resolve",7,"noun",NA,NA,NA,30,NA
"31","tempTextFromObjectac74b588f1f.txt","to","TO","to",2,"to",NA,NA,NA,31,NA
"32","tempTextFromObjectac74b588f1f.txt","do","VB","do",2,"verb",NA,NA,NA,32,NA
"33","tempTextFromObjectac74b588f1f.txt","all","PDT","all",3,"predeterminer",NA,NA,NA,33,NA
"34","tempTextFromObjectac74b588f1f.txt","that","DT","that",4,"determiner",NA,NA,NA,34,NA
"35","tempTextFromObjectac74b588f1f.txt","i","NP","i",1,"name",NA,NA,NA,35,NA
