"","doc_id","単語","品詞名","lemma","文字数","wclass","desc","stop","stem","idx","出現数"
"1","tempTextFromObjectac71c9eeed4.txt","the","DT","the",3,"determiner",NA,NA,NA,1,1
"2","tempTextFromObjectac71c9eeed4.txt","price","NN","price",5,"noun",NA,NA,NA,2,1
"3","tempTextFromObjectac71c9eeed4.txt","of","IN","of",2,"preposition",NA,NA,NA,3,1
"4","tempTextFromObjectac71c9eeed4.txt","peace","NN","peace",5,"noun",NA,NA,NA,4,1
"5","tempTextFromObjectac71c9eeed4.txt","mr","NN","Mr",2,"noun",NA,NA,NA,5,1
"6","tempTextFromObjectac71c9eeed4.txt","chairman","NN","chairman",8,"noun",NA,NA,NA,6,1
"7","tempTextFromObjectac71c9eeed4.txt","mr","NN","Mr",2,"noun",NA,NA,NA,7,1
"8","tempTextFromObjectac71c9eeed4.txt","vice","JJ","vice",4,"adjective",NA,NA,NA,8,1
"9","tempTextFromObjectac71c9eeed4.txt","president","NN","president",9,"noun",NA,NA,NA,9,1
"10","tempTextFromObjectac71c9eeed4.txt","mr","NN","Mr",2,"noun",NA,NA,NA,10,1
"11","tempTextFromObjectac71c9eeed4.txt","chief","JJ","chief",5,"adjective",NA,NA,NA,11,1
"12","tempTextFromObjectac71c9eeed4.txt","justice","NN","justice",7,"noun",NA,NA,NA,12,1
"13","tempTextFromObjectac71c9eeed4.txt","mr","NN","Mr",2,"noun",NA,NA,NA,13,1
"14","tempTextFromObjectac71c9eeed4.txt","speaker","NN","speaker",7,"noun",NA,NA,NA,14,1
"15","tempTextFromObjectac71c9eeed4.txt","members","NNS","member",7,"noun",NA,NA,NA,15,1
"16","tempTextFromObjectac71c9eeed4.txt","of","IN","of",2,"preposition",NA,NA,NA,16,1
"17","tempTextFromObjectac71c9eeed4.txt","my","PP$","my",2,"pronoun",NA,NA,NA,17,1
"18","tempTextFromObjectac71c9eeed4.txt","family","NN","family",6,"noun",NA,NA,NA,18,1
"19","tempTextFromObjectac71c9eeed4.txt","and","CC","and",3,"conjunction",NA,NA,NA,19,1
"20","tempTextFromObjectac71c9eeed4.txt","friends","NNS","friend",7,"noun",NA,NA,NA,20,1
"21","tempTextFromObjectac71c9eeed4.txt","my","PP$","my",2,"pronoun",NA,NA,NA,21,1
"22","tempTextFromObjectac71c9eeed4.txt","countrymen","NNS","countryman",10,"noun",NA,NA,NA,22,1
"23","tempTextFromObjectac71c9eeed4.txt","and","CC","and",3,"conjunction",NA,NA,NA,23,1
"24","tempTextFromObjectac71c9eeed4.txt","the","DT","the",3,"determiner",NA,NA,NA,24,1
"25","tempTextFromObjectac71c9eeed4.txt","friends","NNS","friend",7,"noun",NA,NA,NA,25,1
"26","tempTextFromObjectac71c9eeed4.txt","of","IN","of",2,"preposition",NA,NA,NA,26,1
"27","tempTextFromObjectac71c9eeed4.txt","my","PP$","my",2,"pronoun",NA,NA,NA,27,1
"28","tempTextFromObjectac71c9eeed4.txt","country","NN","country",7,"noun",NA,NA,NA,28,1
"29","tempTextFromObjectac71c9eeed4.txt","wherever","WRB","wherever",8,"adverb",NA,NA,NA,29,1
"30","tempTextFromObjectac71c9eeed4.txt","they","PP","they",4,"pronoun",NA,NA,NA,30,1
"31","tempTextFromObjectac71c9eeed4.txt","may","MD","may",3,"modal",NA,NA,NA,31,1
"32","tempTextFromObjectac71c9eeed4.txt","be","VB","be",2,"verb",NA,NA,NA,32,1
"33","tempTextFromObjectac71c9eeed4.txt","we","PP","we",2,"pronoun",NA,NA,NA,33,1
"34","tempTextFromObjectac71c9eeed4.txt","meet","VBP","meet",4,"verb",NA,NA,NA,34,1
"35","tempTextFromObjectac71c9eeed4.txt","again","RB","again",5,"adverb",NA,NA,NA,35,1
"36","tempTextFromObjectac71c9eeed4.txt","as","RB","as",2,"adverb",NA,NA,NA,36,1
"37","tempTextFromObjectac71c9eeed4.txt","upon","IN","upon",4,"preposition",NA,NA,NA,37,1
"38","tempTextFromObjectac71c9eeed4.txt","a","DT","a",1,"determiner",NA,NA,NA,38,1
"39","tempTextFromObjectac71c9eeed4.txt","like","JJ","like",4,"adjective",NA,NA,NA,39,1
"40","tempTextFromObjectac71c9eeed4.txt","moment","NN","moment",6,"noun",NA,NA,NA,40,1
