"","doc_id","単語","品詞名","lemma","文字数","wclass","desc","stop","stem","idx","出現数"
"1","tempTextFromObjectac75cb6a253.txt","my","PP$","my",2,"pronoun",NA,NA,NA,1,1
"2","tempTextFromObjectac75cb6a253.txt","fellow","JJ","fellow",6,"adjective",NA,NA,NA,2,1
"3","tempTextFromObjectac75cb6a253.txt","countrymen","NNS","countryman",10,"noun",NA,NA,NA,3,1
"4","tempTextFromObjectac75cb6a253.txt","on","IN","on",2,"preposition",NA,NA,NA,4,1
"5","tempTextFromObjectac75cb6a253.txt","this","DT","this",4,"determiner",NA,NA,NA,5,1
"6","tempTextFromObjectac75cb6a253.txt","occasion","NN","occasion",8,"noun",NA,NA,NA,6,1
"7","tempTextFromObjectac75cb6a253.txt","the","DT","the",3,"determiner",NA,NA,NA,7,1
"8","tempTextFromObjectac75cb6a253.txt","oath","NN","oath",4,"noun",NA,NA,NA,8,1
"9","tempTextFromObjectac75cb6a253.txt","i","NNS","i",1,"noun",NA,NA,NA,9,1
"10","tempTextFromObjectac75cb6a253.txt","have","VBP","have",4,"verb",NA,NA,NA,10,1
"11","tempTextFromObjectac75cb6a253.txt","taken","VBN","take",5,"verb",NA,NA,NA,11,1
"12","tempTextFromObjectac75cb6a253.txt","before","IN","before",6,"preposition",NA,NA,NA,12,1
"13","tempTextFromObjectac75cb6a253.txt","you","PP","you",3,"pronoun",NA,NA,NA,13,1
"14","tempTextFromObjectac75cb6a253.txt","and","CC","and",3,"conjunction",NA,NA,NA,14,1
"15","tempTextFromObjectac75cb6a253.txt","before","IN","before",6,"preposition",NA,NA,NA,15,1
"16","tempTextFromObjectac75cb6a253.txt","god","NN","god",3,"noun",NA,NA,NA,16,1
"17","tempTextFromObjectac75cb6a253.txt","is","VBZ","be",2,"verb",NA,NA,NA,17,1
"18","tempTextFromObjectac75cb6a253.txt","not","RB","not",3,"adverb",NA,NA,NA,18,1
"19","tempTextFromObjectac75cb6a253.txt","mine","JJ","mine",4,"adjective",NA,NA,NA,19,1
"20","tempTextFromObjectac75cb6a253.txt","alone","RB","alone",5,"adverb",NA,NA,NA,20,1
"21","tempTextFromObjectac75cb6a253.txt","but","CC","but",3,"conjunction",NA,NA,NA,21,1
"22","tempTextFromObjectac75cb6a253.txt","ours","PP","ours",4,"pronoun",NA,NA,NA,22,1
