"","doc_id","単語","品詞名","lemma","文字数","wclass","desc","stop","stem","idx","出現数"
"1","tempTextFromObjectac72c76a3d.txt","senator","NN","senator",7,"noun",NA,NA,NA,1,1
"2","tempTextFromObjectac72c76a3d.txt","hatfield","NN","<unknown>",8,"noun",NA,NA,NA,2,1
"3","tempTextFromObjectac72c76a3d.txt","mr","NN","Mr",2,"noun",NA,NA,NA,3,1
"4","tempTextFromObjectac72c76a3d.txt","chief","JJ","chief",5,"adjective",NA,NA,NA,4,1
"5","tempTextFromObjectac72c76a3d.txt","justice","NN","justice",7,"noun",NA,NA,NA,5,1
"6","tempTextFromObjectac72c76a3d.txt","mr","NN","Mr",2,"noun",NA,NA,NA,6,1
"7","tempTextFromObjectac72c76a3d.txt","president","NN","president",9,"noun",NA,NA,NA,7,1
"8","tempTextFromObjectac72c76a3d.txt","vice","JJ","vice",4,"adjective",NA,NA,NA,8,1
"9","tempTextFromObjectac72c76a3d.txt","president","NN","president",9,"noun",NA,NA,NA,9,1
"10","tempTextFromObjectac72c76a3d.txt","bush","NN","bush",4,"noun",NA,NA,NA,10,1
"11","tempTextFromObjectac72c76a3d.txt","vice","JJ","vice",4,"adjective",NA,NA,NA,11,1
"12","tempTextFromObjectac72c76a3d.txt","president","NN","president",9,"noun",NA,NA,NA,12,1
"13","tempTextFromObjectac72c76a3d.txt","mondale","NN","<unknown>",7,"noun",NA,NA,NA,13,1
"14","tempTextFromObjectac72c76a3d.txt","senator","NN","senator",7,"noun",NA,NA,NA,14,1
"15","tempTextFromObjectac72c76a3d.txt","baker","NN","baker",5,"noun",NA,NA,NA,15,1
"16","tempTextFromObjectac72c76a3d.txt","speaker","NN","speaker",7,"noun",NA,NA,NA,16,1
"17","tempTextFromObjectac72c76a3d.txt","o","NN","o",1,"noun",NA,NA,NA,17,1
"18","tempTextFromObjectac72c76a3d.txt","'","POS","'",1,"possessive",NA,NA,NA,18,1
"19","tempTextFromObjectac72c76a3d.txt","neill","NN","<unknown>",5,"noun",NA,NA,NA,19,1
"20","tempTextFromObjectac72c76a3d.txt","reverend","JJ","reverend",8,"adjective",NA,NA,NA,20,1
"21","tempTextFromObjectac72c76a3d.txt","moomaw","NN","<unknown>",6,"noun",NA,NA,NA,21,1
"22","tempTextFromObjectac72c76a3d.txt","and","CC","and",3,"conjunction",NA,NA,NA,22,1
"23","tempTextFromObjectac72c76a3d.txt","my","PP$","my",2,"pronoun",NA,NA,NA,23,1
"24","tempTextFromObjectac72c76a3d.txt","fellow","JJ","fellow",6,"adjective",NA,NA,NA,24,1
"25","tempTextFromObjectac72c76a3d.txt","citizens","NNS","citizen",8,"noun",NA,NA,NA,25,1
"26","tempTextFromObjectac72c76a3d.txt",":","SENT",":",1,"fullstop",NA,NA,NA,26,1
"27","tempTextFromObjectac72c76a3d.txt","to","TO","to",2,"to",NA,NA,NA,27,2
"28","tempTextFromObjectac72c76a3d.txt","a","DT","a",1,"determiner",NA,NA,NA,28,2
