"","doc_id","単語","品詞名","lemma","文字数","wclass","desc","stop","stem","idx","出現数"
"1","tempTextFromObjectac72e7c43f2.txt","friends","NNS","friend",7,"noun",NA,NA,NA,1,1
"2","tempTextFromObjectac72e7c43f2.txt","delegates","NNS","delegate",9,"noun",NA,NA,NA,2,1
"3","tempTextFromObjectac72e7c43f2.txt","and","CC","and",3,"conjunction",NA,NA,NA,3,1
"4","tempTextFromObjectac72e7c43f2.txt","fellow","JJ","fellow",6,"adjective",NA,NA,NA,4,1
"5","tempTextFromObjectac72e7c43f2.txt","americans","NNS","American",9,"noun",NA,NA,NA,5,1
"6","tempTextFromObjectac72e7c43f2.txt",":","SENT",":",1,"fullstop",NA,NA,NA,6,1
"7","tempTextFromObjectac72e7c43f2.txt","i","NP","i",1,"name",NA,NA,NA,7,2
"8","tempTextFromObjectac72e7c43f2.txt","humbly","RB","humbly",6,"adverb",NA,NA,NA,8,2
"9","tempTextFromObjectac72e7c43f2.txt","and","CC","and",3,"conjunction",NA,NA,NA,9,2
"10","tempTextFromObjectac72e7c43f2.txt","gratefully","RB","gratefully",10,"adverb",NA,NA,NA,10,2
"11","tempTextFromObjectac72e7c43f2.txt","accept","VB","accept",6,"verb",NA,NA,NA,11,2
"12","tempTextFromObjectac72e7c43f2.txt","your","PP$","your",4,"pronoun",NA,NA,NA,12,2
"13","tempTextFromObjectac72e7c43f2.txt","nomination","NN","nomination",10,"noun",NA,NA,NA,13,2
"14","tempTextFromObjectac72e7c43f2.txt","for","IN","for",3,"preposition",NA,NA,NA,14,2
"15","tempTextFromObjectac72e7c43f2.txt","the","DT","the",3,"determiner",NA,NA,NA,15,2
"16","tempTextFromObjectac72e7c43f2.txt","presidency","NN","presidency",10,"noun",NA,NA,NA,16,2
"17","tempTextFromObjectac72e7c43f2.txt","of","IN","of",2,"preposition",NA,NA,NA,17,2
"18","tempTextFromObjectac72e7c43f2.txt","the","DT","the",3,"determiner",NA,NA,NA,18,2
"19","tempTextFromObjectac72e7c43f2.txt","united","VBN","unite",6,"verb",NA,NA,NA,19,2
"20","tempTextFromObjectac72e7c43f2.txt","states","NNS","state",6,"noun",NA,NA,NA,20,2
"21","tempTextFromObjectac72e7c43f2.txt","who","WP","who",3,"pronoun",NA,NA,NA,21,2
"22","tempTextFromObjectac72e7c43f2.txt","would","MD","would",5,"modal",NA,NA,NA,22,2
"23","tempTextFromObjectac72e7c43f2.txt","have","VB","have",4,"verb",NA,NA,NA,23,2
"24","tempTextFromObjectac72e7c43f2.txt","believed","VBN","believe",8,"verb",NA,NA,NA,24,2
"25","tempTextFromObjectac72e7c43f2.txt","that","IN","that",4,"preposition",NA,NA,NA,25,2
"26","tempTextFromObjectac72e7c43f2.txt","when","WRB","when",4,"adverb",NA,NA,NA,26,2
"27","tempTextFromObjectac72e7c43f2.txt","we","PP","we",2,"pronoun",NA,NA,NA,27,2
"28","tempTextFromObjectac72e7c43f2.txt","started","VBD","start",7,"verb",NA,NA,NA,28,2
"29","tempTextFromObjectac72e7c43f2.txt","this","DT","this",4,"determiner",NA,NA,NA,29,2
"30","tempTextFromObjectac72e7c43f2.txt","journey","NN","journey",7,"noun",NA,NA,NA,30,2
"31","tempTextFromObjectac72e7c43f2.txt","on","IN","on",2,"preposition",NA,NA,NA,31,2
"32","tempTextFromObjectac72e7c43f2.txt","june","NN","June",4,"noun",NA,NA,NA,32,2
"33","tempTextFromObjectac72e7c43f2.txt","16","CD","@card@",2,"number",NA,NA,NA,33,2
"34","tempTextFromObjectac72e7c43f2.txt","th","NN","th",2,"noun",NA,NA,NA,34,2
"35","tempTextFromObjectac72e7c43f2.txt","of","IN","of",2,"preposition",NA,NA,NA,35,2
"36","tempTextFromObjectac72e7c43f2.txt","last","JJ","last",4,"adjective",NA,NA,NA,36,2
"37","tempTextFromObjectac72e7c43f2.txt","year","NN","year",4,"noun",NA,NA,NA,37,2
"38","tempTextFromObjectac72e7c43f2.txt","we","PP","we",2,"pronoun",NA,NA,NA,38,2
"39","tempTextFromObjectac72e7c43f2.txt","–",":","-",1,"punctuation",NA,NA,NA,39,2
"40","tempTextFromObjectac72e7c43f2.txt","and","CC","and",3,"conjunction",NA,NA,NA,40,2
"41","tempTextFromObjectac72e7c43f2.txt","i","NP","i",1,"name",NA,NA,NA,41,2
"42","tempTextFromObjectac72e7c43f2.txt","say","VBP","say",3,"verb",NA,NA,NA,42,2
