"","doc_id","単語","品詞名","lemma","文字数","wclass","desc","stop","stem","idx","出現数"
"1","tempTextFromObjectac76050dcb5.txt","chief","JJ","chief",5,"adjective",NA,NA,NA,1,1
"2","tempTextFromObjectac76050dcb5.txt","justice","NN","justice",7,"noun",NA,NA,NA,2,1
"3","tempTextFromObjectac76050dcb5.txt","roberts","VBZ","<unknown>",7,"verb",NA,NA,NA,3,1
"4","tempTextFromObjectac76050dcb5.txt","vice","JJ","vice",4,"adjective",NA,NA,NA,4,1
"5","tempTextFromObjectac76050dcb5.txt","president","NN","president",9,"noun",NA,NA,NA,5,1
"6","tempTextFromObjectac76050dcb5.txt","harris","NN","<unknown>",6,"noun",NA,NA,NA,6,1
"7","tempTextFromObjectac76050dcb5.txt","speaker","NN","speaker",7,"noun",NA,NA,NA,7,1
"8","tempTextFromObjectac76050dcb5.txt","pelosi","NN","<unknown>",6,"noun",NA,NA,NA,8,1
"9","tempTextFromObjectac76050dcb5.txt","leaders","NNS","leader",7,"noun",NA,NA,NA,9,1
"10","tempTextFromObjectac76050dcb5.txt","schumer","NN","<unknown>",7,"noun",NA,NA,NA,10,1
"11","tempTextFromObjectac76050dcb5.txt","mcconnell","NP","Mcconnell",9,"name",NA,NA,NA,11,1
"12","tempTextFromObjectac76050dcb5.txt","vice","JJ","vice",4,"adjective",NA,NA,NA,12,1
"13","tempTextFromObjectac76050dcb5.txt","president","NN","president",9,"noun",NA,NA,NA,13,1
"14","tempTextFromObjectac76050dcb5.txt","pence","NNS","pence",5,"noun",NA,NA,NA,14,1
"15","tempTextFromObjectac76050dcb5.txt","my","PP$","my",2,"pronoun",NA,NA,NA,15,1
"16","tempTextFromObjectac76050dcb5.txt","distinguished","JJ","distinguished",13,"adjective",NA,NA,NA,16,1
"17","tempTextFromObjectac76050dcb5.txt","guests","NNS","guest",6,"noun",NA,NA,NA,17,1
"18","tempTextFromObjectac76050dcb5.txt","and","CC","and",3,"conjunction",NA,NA,NA,18,1
"19","tempTextFromObjectac76050dcb5.txt","my","PP$","my",2,"pronoun",NA,NA,NA,19,1
"20","tempTextFromObjectac76050dcb5.txt","fellow","JJ","fellow",6,"adjective",NA,NA,NA,20,1
"21","tempTextFromObjectac76050dcb5.txt","americans","NNS","American",9,"noun",NA,NA,NA,21,1
"22","tempTextFromObjectac76050dcb5.txt","this","DT","this",4,"determiner",NA,NA,NA,22,1
"23","tempTextFromObjectac76050dcb5.txt","is","VBZ","be",2,"verb",NA,NA,NA,23,1
"24","tempTextFromObjectac76050dcb5.txt","america","NN","<unknown>",7,"noun",NA,NA,NA,24,1
"25","tempTextFromObjectac76050dcb5.txt","s","JJ","<unknown>",1,"adjective",NA,NA,NA,25,1
"26","tempTextFromObjectac76050dcb5.txt","day","NN","day",3,"noun",NA,NA,NA,26,1
"27","tempTextFromObjectac76050dcb5.txt","this","DT","this",4,"determiner",NA,NA,NA,27,1
"28","tempTextFromObjectac76050dcb5.txt","is","VBZ","be",2,"verb",NA,NA,NA,28,1
"29","tempTextFromObjectac76050dcb5.txt","democracy","NN","democracy",9,"noun",NA,NA,NA,29,1
"30","tempTextFromObjectac76050dcb5.txt","s","JJ","<unknown>",1,"adjective",NA,NA,NA,30,1
"31","tempTextFromObjectac76050dcb5.txt","day","NN","day",3,"noun",NA,NA,NA,31,1
"32","tempTextFromObjectac76050dcb5.txt","a","DT","a",1,"determiner",NA,NA,NA,32,1
"33","tempTextFromObjectac76050dcb5.txt","day","NN","day",3,"noun",NA,NA,NA,33,1
"34","tempTextFromObjectac76050dcb5.txt","of","IN","of",2,"preposition",NA,NA,NA,34,1
"35","tempTextFromObjectac76050dcb5.txt","history","NN","history",7,"noun",NA,NA,NA,35,1
"36","tempTextFromObjectac76050dcb5.txt","and","CC","and",3,"conjunction",NA,NA,NA,36,1
"37","tempTextFromObjectac76050dcb5.txt","hope","NN","hope",4,"noun",NA,NA,NA,37,1
"38","tempTextFromObjectac76050dcb5.txt","of","IN","of",2,"preposition",NA,NA,NA,38,1
"39","tempTextFromObjectac76050dcb5.txt","renewal","NN","renewal",7,"noun",NA,NA,NA,39,1
"40","tempTextFromObjectac76050dcb5.txt","and","CC","and",3,"conjunction",NA,NA,NA,40,1
"41","tempTextFromObjectac76050dcb5.txt","resolve","VB","resolve",7,"verb",NA,NA,NA,41,1
"42","tempTextFromObjectac76050dcb5.txt","through","IN","through",7,"preposition",NA,NA,NA,42,1
"43","tempTextFromObjectac76050dcb5.txt","a","DT","a",1,"determiner",NA,NA,NA,43,1
"44","tempTextFromObjectac76050dcb5.txt","crucible","NN","crucible",8,"noun",NA,NA,NA,44,1
"45","tempTextFromObjectac76050dcb5.txt","for","IN","for",3,"preposition",NA,NA,NA,45,1
"46","tempTextFromObjectac76050dcb5.txt","the","DT","the",3,"determiner",NA,NA,NA,46,1
"47","tempTextFromObjectac76050dcb5.txt","ages","NNS","age",4,"noun",NA,NA,NA,47,1
"48","tempTextFromObjectac76050dcb5.txt","america","NN","<unknown>",7,"noun",NA,NA,NA,48,1
"49","tempTextFromObjectac76050dcb5.txt","has","VBZ","have",3,"verb",NA,NA,NA,49,1
"50","tempTextFromObjectac76050dcb5.txt","been","VBN","be",4,"verb",NA,NA,NA,50,1
"51","tempTextFromObjectac76050dcb5.txt","tested","VBN","test",6,"verb",NA,NA,NA,51,1
"52","tempTextFromObjectac76050dcb5.txt","anew","RB","anew",4,"adverb",NA,NA,NA,52,1
"53","tempTextFromObjectac76050dcb5.txt","and","CC","and",3,"conjunction",NA,NA,NA,53,1
"54","tempTextFromObjectac76050dcb5.txt","america","NP","America",7,"name",NA,NA,NA,54,1
"55","tempTextFromObjectac76050dcb5.txt","has","VBZ","have",3,"verb",NA,NA,NA,55,1
"56","tempTextFromObjectac76050dcb5.txt","risen","VBN","rise",5,"verb",NA,NA,NA,56,1
"57","tempTextFromObjectac76050dcb5.txt","to","TO","to",2,"to",NA,NA,NA,57,1
"58","tempTextFromObjectac76050dcb5.txt","the","DT","the",3,"determiner",NA,NA,NA,58,1
"59","tempTextFromObjectac76050dcb5.txt","challenge","NN","challenge",9,"noun",NA,NA,NA,59,1
"60","tempTextFromObjectac76050dcb5.txt","today","NN","today",5,"noun",NA,NA,NA,60,1
"61","tempTextFromObjectac76050dcb5.txt","we","PP","we",2,"pronoun",NA,NA,NA,61,1
"62","tempTextFromObjectac76050dcb5.txt","celebrate","VBP","celebrate",9,"verb",NA,NA,NA,62,1
"63","tempTextFromObjectac76050dcb5.txt","the","DT","the",3,"determiner",NA,NA,NA,63,1
"64","tempTextFromObjectac76050dcb5.txt","triumph","NN","triumph",7,"noun",NA,NA,NA,64,1
"65","tempTextFromObjectac76050dcb5.txt","not","RB","not",3,"adverb",NA,NA,NA,65,1
"66","tempTextFromObjectac76050dcb5.txt","of","IN","of",2,"preposition",NA,NA,NA,66,1
"67","tempTextFromObjectac76050dcb5.txt","a","DT","a",1,"determiner",NA,NA,NA,67,1
"68","tempTextFromObjectac76050dcb5.txt","candidate","NN","candidate",9,"noun",NA,NA,NA,68,1
"69","tempTextFromObjectac76050dcb5.txt","but","CC","but",3,"conjunction",NA,NA,NA,69,1
"70","tempTextFromObjectac76050dcb5.txt","of","IN","of",2,"preposition",NA,NA,NA,70,1
"71","tempTextFromObjectac76050dcb5.txt","a","DT","a",1,"determiner",NA,NA,NA,71,1
"72","tempTextFromObjectac76050dcb5.txt","cause","NN","cause",5,"noun",NA,NA,NA,72,1
"73","tempTextFromObjectac76050dcb5.txt","the","DT","the",3,"determiner",NA,NA,NA,73,1
"74","tempTextFromObjectac76050dcb5.txt","cause","NN","cause",5,"noun",NA,NA,NA,74,1
"75","tempTextFromObjectac76050dcb5.txt","of","IN","of",2,"preposition",NA,NA,NA,75,1
"76","tempTextFromObjectac76050dcb5.txt","democracy","NN","democracy",9,"noun",NA,NA,NA,76,1
"77","tempTextFromObjectac76050dcb5.txt","the","DT","the",3,"determiner",NA,NA,NA,77,1
"78","tempTextFromObjectac76050dcb5.txt","people","NNS","people",6,"noun",NA,NA,NA,78,1
